parent,cat,word,word_level,pos
,,管理百科,120,n
管理百科,categories,人力资源管理,119,n
管理百科,categories,生产管理,119,n
管理百科,categories,市场营销,119,n
市场营销,categories,产品,118,n
市场营销,categories,服务管理,118,n
市场营销,categories,广告,118,n
市场营销,categories,顾客管理,118,n
市场营销,categories,企业营销观念,118,n
市场营销,categories,渠道管理,118,n
市场营销,categories,市场研究公司,118,n
市场营销,categories,商业模式,118,n
市场营销,categories,市场预测,118,n
市场营销,categories,商品陈列方法,118,n
市场营销,categories,市场营销战略,118,n
市场营销,categories,市场调研,118,n
市场营销,categories,市场定位,118,n
市场营销,categories,市场细分,118,n
市场营销,categories,销售管理,118,n
市场营销,categories,营销理论,118,n
市场营销,categories,营销术语,118,n
市场营销,categories,营销人物,118,n
市场营销,categories,营销工具,118,n
市场营销,categories,营销决策,118,n
市场营销,categories,营销案例,118,n
市场营销,categories,营销模式,118,n
市场营销,categories,营销环境,118,n
市场营销,categories,营销文化,118,n
市场营销,categories,营销系统,118,n
市场营销,categories,营销类型,118,n
市场营销,categories,营销策划,118,n
市场营销,categories,营销组织,118,n
市场营销,categories,直销,118,n
市场营销,word,市场营销学,118,n
市场营销,word,奶昔错误,118,n
市场营销,word,心理变数,118,n
市场营销,word,职员市场营销,118,n
生产管理,categories,安全管理,118,n
生产管理,categories,采购,118,n
生产管理,categories,存货计价方法,118,n
生产管理,categories,定额管理,118,n
生产管理,categories,工艺管理,118,n
生产管理,categories,工序管理,118,n
生产管理,categories,工作班制,118,n
生产管理,categories,精益管理,118,n
生产管理,categories,可靠性管理,118,n
生产管理,categories,生产管理工具,118,n
生产管理,categories,生产管理术语,118,n
生产管理,categories,生产管理战略,118,n
生产管理,categories,生产成本管理,118,n
生产管理,categories,生产计划,118,n
生产管理,categories,生产类型,118,n
生产管理,categories,设备管理,118,n
生产管理,categories,生产系统,118,n
生产管理,categories,生产管理理论,118,n
生产管理,categories,生产管理方法,118,n
生产管理,categories,生产管理模式,118,n
生产管理,categories,生产布局,118,n
生产管理,categories,生产方式,118,n
生产管理,categories,生产指标,118,n
生产管理,categories,物料管理,118,n
生产管理,categories,作业时间管理,118,n
生产管理,word,生产管理,118,n
商品陈列方法,word,比较陈列,117,n
