parent,cat,word,word_level,pos
,,行业百科,120,n
行业百科,categories,广告,119,n
行业百科,categories,工业,119,n
行业百科,categories,化工,119,n
行业百科,categories,合同,119,n
行业百科,categories,行业协会,119,n
行业百科,categories,计算机,119,n
行业百科,categories,建筑,119,n
行业百科,categories,家电,119,n
行业百科,categories,家居,119,n
行业百科,categories,零售,119,n
行业百科,categories,媒体,119,n
行业百科,categories,能源,119,n
行业百科,categories,拍卖,119,n
行业百科,categories,培训,119,n
行业百科,categories,汽车,119,n
家居,categories,家居用品公司,118,n
家居,categories,建材,118,n
家居,categories,家具,118,n
家居,word,家居,118,n
家居,word,包工包料,118,n
家居,word,包清工,118,n
家居,word,包工辅料,118,n
家居,word,初装修,118,n
家居,word,床上用品,118,n
家居,word,公装,118,n
家居,word,家具,118,n
家居,word,集成家居,118,n
家居,word,家装,118,n
家居,word,家居设计,118,n
家居,word,家居设计师,118,n
家居,word,精装修,118,n
家居,word,家居智能化,118,n
家居,word,绿色家居,118,n
家居,word,绿色家电,118,n
家居,word,配筋率,118,n
家居,word,网络家电,118,n
家居,word,信息家电,118,n
家居,word,住宅装饰装修,118,n
家居,word,智能家居,118,n
家居,word,智能家电,118,n
家居,word,装修流程,118,n
家电,categories,家电零售,118,n
家电,categories,消费电子家电公司,118,n
家电,word,家电,118,n
家电,word,白电,118,n
家电,word,变频技术,118,n
家电,word,CRT显示器,118,n
家电,word,电器,118,n
家电,word,等离子显示器,118,n
家电,word,多媒体电视,118,n
家电,word,待机能耗,118,n
家电,word,额定功率,118,n
家电,word,分辨率,118,n
家电,word,黑电,118,n
家电,word,家电下乡,118,n
家电,word,家电物流,118,n
家电,word,家庭影院,118,n
家电,word,空调运行能耗,118,n
家电,word,空调匹数,118,n
家电,word,能效标识,118,n
家电,word,能耗,118,n
家电,word,能源效率等级,118,n
家电,word,能效比,118,n
家电,word,强制性能效标准,118,n
家电,word,数字电视,118,n
家电,word,网络家电,118,n
家电,word,信息家电,118,n
家电,word,小家电,118,n
家电,word,性能系数,118,n
家电,word,液晶显示器,118,n
家电,word,液晶电视,118,n
家电,word,云电视,118,n
家电,word,智能家电,118,n
建筑,categories,建筑材料公司,118,n
建筑,categories,建筑设计所,118,n
建筑,categories,建材,118,n
建筑,word,建筑,118,n
建筑,word,玻璃,118,n
建筑,word,标高,118,n
建筑,word,变形缝,118,n
建筑,word,办公空间规划,118,n
建筑,word,办公辅助空间,118,n
建筑,word,板柱结构,118,n
建筑,word,博览建筑,118,n
建筑,word,办公室内部设计,118,n
建筑,word,承重墙,118,n
建筑,word,采光井,118,n
建筑,word,初装修,118,n
建筑,word,餐饮建筑,118,n
建筑,word,产业建筑,118,n
建筑,word,传统邻里开发,118,n
建筑,word,城市建筑短命症,118,n
建筑,word,垂直城市,118,n
建筑,word,地下工程,118,n
建筑,word,地标,118,n
建筑,word,定位轴线,118,n
建筑,word,低碳建筑,118,n
建筑,word,大量性建筑,118,n
建筑,word,大型性建筑,118,n
建筑,word,滴水线,118,n
建筑,word,带型城市,118,n
建筑,word,房屋构件,118,n
建筑,word,非承重墙,118,n
建筑,word,方格形城市,118,n
建筑,word,分户验收,118,n
建筑,word,构筑物,118,n
建筑,word,钢筋混凝土,118,n
建筑,word,隔墙,118,n
建筑,word,构造柱,118,n
建筑,word,钢筋,118,n
建筑,word,隔断,118,n
建筑,word,工业建筑,118,n
建筑,word,钢结构,118,n
建筑,word,拱结构,118,n
建筑,word,工程承发包,118,n
建筑,word,工程实际成本,118,n
建筑,word,公共建筑,118,n
建筑,word,工程计量,118,n
建筑,word,供热计量,118,n
建筑,word,工程规费,118,n
建筑,word,广亩城市,118,n
建筑,word,户型,118,n
建筑,word,混凝土,118,n
建筑,word,建筑工程,118,n
建筑,word,建筑安装工程,118,n
建筑,word,建筑法,118,n
建筑,word,居住面积系数,118,n
建筑,word,家庭装饰工程,118,n
建筑,word,基础拉梁,118,n
建筑,word,脚手架,118,n
建筑,word,建筑小品,118,n
建筑,word,建筑平均层数,118,n
建筑,word,建筑总高度,118,n
建筑,word,建筑用地面积,118,n
建筑,word,建筑红线,118,n
建筑,word,建设用地面积,118,n
建筑,word,地基,118,n
建筑,word,建筑模数,118,n
建筑,word,建筑设计,118,n
建筑,word,建筑标准化,118,n
建筑,word,建筑构造,118,n
建筑,word,健康住宅,118,n
建筑,word,节能住宅,118,n
建筑,word,居住建筑,118,n
建筑,word,剪力墙结构,118,n
建筑,word,剪力墙,118,n
建筑,word,框剪结构,118,n
建筑,word,建筑企业,118,n
建筑,word,建设工程投标,118,n
建筑,word,房屋工程保险,118,n
建筑,word,建筑能耗,118,n
建筑,word,建筑节能,118,n
建筑,word,精装修,118,n
建筑,word,教育建筑,118,n
建筑,word,建筑形象,118,n
建筑,word,建筑功能,118,n
建筑,word,建筑技术,118,n
建筑,word,建筑结构,118,n
建筑,word,建筑等级,118,n
建筑,word,建筑主体,118,n
建筑,word,建筑经济,118,n
建筑,word,建筑业增加值,118,n
建筑,word,建筑业总产值,118,n
建筑,word,建筑工程产值,118,n
建筑,word,建设工程规划许可证,118,n
建筑,word,基建投资,118,n
建筑,word,建筑结构概念设计,118,n
建筑,word,建筑业统计单位,118,n
建筑,word,建筑信息模型,118,n
建筑,word,建筑节能工程,118,n
建筑,word,建筑节能检测,118,n
建筑,word,建筑工程事故罪,118,n
建筑,word,见证取样,118,n
建筑,word,建造师,118,n
建筑,word,建筑基地,118,n
建筑,word,建设工程优先受偿权,118,n
建筑,word,结构可靠性,118,n
建筑,word,框架梁,118,n
建筑,word,框架建筑,118,n
建筑,word,框架结构,118,n
建筑,word,可持续建筑,118,n
建筑,word,空隙率,118,n
建筑,word,临时设施,118,n
建筑,word,连梁,118,n
建筑,word,楼板,118,n
建筑,word,楼梯,118,n
建筑,word,路基,118,n
建筑,word,临时建筑,118,n
建筑,word,绿色建筑,118,n
建筑,word,LEED认证,118,n
建筑,word,零能源建筑,118,n
建筑,word,幕墙,118,n
