parent,cat,word,word_level,pos
,,金融百科,120,n
金融百科,categories,拍卖,119,n
金融百科,categories,质押,119,n
金融百科,categories,抵押,119,n
金融百科,categories,典当,119,n
金融百科,categories,金融学家,119,n
金融百科,categories,金融投资家,119,n
金融百科,categories,金融关系,119,n
金融百科,categories,金融危机,119,n
金融百科,categories,理财,119,n
金融关系,word,金融关系,118,n
金融关系,word,间接金融关系,118,n
金融关系,word,金融监管关系,118,n
金融关系,word,金融中介服务关系,118,n
金融关系,word,金融信托法律关系,118,n
金融关系,word,金融调控关系,118,n
金融关系,word,金融监管法律关系,118,n
金融关系,word,直接金融关系,118,n
金融投资家,word,埃德加·E·彼得斯,118,n
金融投资家,word,安德烈·科斯托兰尼,118,n
金融投资家,word,阿瑟·洛克,118,n
金融投资家,word,安东尼·波顿,118,n
金融投资家,word,彼得·林奇,118,n
金融投资家,word,本杰明·格雷厄姆,118,n
金融投资家,word,伯纳德·巴鲁克,118,n
金融投资家,word,比尔·格罗斯,118,n
金融投资家,word,比尔·米勒,118,n
金融投资家,word,伯顿·麦基尔,118,n
金融投资家,word,保罗·都铎·琼斯,118,n
金融投资家,word,查尔斯·亨利·道,118,n
金融投资家,word,查理·芒格,118,n
金融投资家,word,戴若·顾比,118,n
金融投资家,word,大卫·德雷曼,118,n
金融投资家,word,菲利普·费雪,118,n
金融投资家,word,吉姆·罗杰斯,118,n
金融投资家,word,杰米·戴蒙,118,n
金融投资家,word,杰西·利弗摩尔,118,n
金融投资家,word,卡尔·伊坎,118,n
金融投资家,word,罗伊·纽伯格,118,n
金融投资家,word,拉尔夫·尼尔森·艾略特,118,n
金融投资家,word,利奥·梅拉梅德,118,n
金融投资家,word,罗伯特·迈尔斯,118,n
金融投资家,word,理查德·丹尼斯,118,n
金融投资家,word,拉瑞·威廉姆斯,118,n
金融投资家,word,利昂·库珀曼,118,n
金融投资家,word,迈克尔·斯坦哈特,118,n
金融投资家,word,麦克尔‧普里斯,118,n
金融投资家,word,马克·墨比尔斯,118,n
金融投资家,word,马克·鲁宾斯坦,118,n
金融投资家,word,迈克尔·米尔肯,118,n
金融投资家,word,乔治·索罗斯,118,n
金融投资家,word,邱永汉,118,n
金融投资家,word,斯蒂芬·罗斯,118,n
金融投资家,word,桑迪·威尔,118,n
金融投资家,word,是川银藏,118,n
金融投资家,word,苏茜·欧曼,118,n
金融投资家,word,唐·瓦伦丁,118,n
金融投资家,word,詹姆斯·蒙泰尔,118,n
金融投资家,word,沃伦·巴菲特,118,n
金融投资家,word,威廉·江恩,118,n
金融投资家,word,维诺德·科斯拉,118,n
金融投资家,word,王亚伟,118,n
金融投资家,word,维克多·斯波朗迪,118,n
金融投资家,word,小乔纳森·E·英格索尔,118,n
金融投资家,word,约翰·邓普顿,118,n
金融投资家,word,约翰·内夫,118,n
金融投资家,word,约翰·博格尔,118,n
金融投资家,word,约翰·杜尔,118,n
金融投资家,word,约翰·考克斯,118,n
金融投资家,word,约翰·布林格,118,n
金融投资家,word,伊瓦·克鲁格,118,n
金融投资家,word,约翰·保尔森,118,n
金融投资家,word,朱利安‧罗伯逊,118,n
金融投资家,word,赵丹阳,118,n
金融投资家,word,詹姆斯·西蒙斯,118,n
金融投资家,word,詹姆斯·查诺斯,118,n
金融学家,categories,金融学家图像,118,n
金融学家,word,白钦先,118,n
金融学家,word,肯尼思·弗伦奇,118,n
金融学家,word,理查德·塞勒,118,n
金融学家,word,王永利,118,n
典当,word,典当,118,n
典当,word,不动产典当,118,n
典当,word,出典人,118,n
典当,word,财产权利质押典当业务,118,n
典当,word,抽当,118,n
典当,word,典当市场,118,n
典当,word,典当行,118,n
典当,word,典当融资,118,n
典当,word,典权,118,n
典当,word,典权人,118,n
典当,word,动产质押典当,118,n
典当,word,典当房屋回赎期限,118,n
典当,word,典期,118,n
典当,word,典物出租,118,n
典当,word,转典,118,n
典当,word,典物留买,118,n
典当,word,典金,118,n
典当,word,典当利率,118,n
典当,word,找贴差额款,118,n
典当,word,典权转让,118,n
典当,word,典当行为,118,n
典当,word,动产典当,118,n
典当,word,典当当事人,118,n
典当,word,典当法,118,n
典当,word,典当法律关系,118,n
典当,word,当票,118,n
典当,word,典物估价,118,n
典当,word,典当合同,118,n
典当,word,典当综合费用,118,n
典当,word,当户,118,n
典当,word,典当文化,118,n
典当,word,典当费率,118,n
典当,word,顶当,118,n
典当,word,动产抵押典当,118,n
典当,word,典当物品,118,n
典当,word,典当物品保管,118,n
典当,word,房地产典当,118,n
典当,word,房屋典当纠纷,118,n
典当,word,股票典当,118,n
典当,word,回赎期限,118,n
典当,word,绝当品,118,n
典当,word,绝卖,118,n
典当,word,机动车典当,118,n
典当,word,民品典当,118,n
典当,word,死当,118,n
典当,word,收当,118,n
典当,word,赎当,118,n
典当,word,审当,118,n
典当,word,提前赎当,118,n
典当,word,续当,118,n
典当,word,消费型典当,118,n
典当,word,以物换钱规则,118,n
典当,word,应急型典当,118,n
典当,word,验当,118,n
典当,word,逾期赎当,118,n
典当,word,找贴,118,n
典当,word,折当率,118,n
典当,word,折当,118,n
抵押,word,抵押,118,n
抵押,word,按揭,118,n
抵押,word,按份共同抵押,118,n
抵押,word,不动产抵押,118,n
抵押,word,标准抵押贷款证券,118,n
抵押,word,保全抵押权,118,n
抵押,word,次级抵押贷款,118,n
抵押,word,财团抵押,118,n
抵押,word,重复抵押,118,n
抵押,word,次优级抵押贷款,118,n
抵押,word,超额抵押,118,n
抵押,word,超值抵押,118,n
抵押,word,打包放款,118,n
抵押,word,抵押参与证,118,n
抵押,word,抵押银行,118,n
抵押,word,动产抵押,118,n
抵押,word,抵押贷款,118,n
抵押,word,抵押合同,118,n
抵押,word,抵押权登记,118,n
抵押,word,抵押权,118,n
抵押,word,抵押债券,118,n
抵押,word,抵押人,118,n
抵押,word,抵押权人,118,n
抵押,word,对外抵押,118,n
抵押,word,动产浮动抵押,118,n
抵押,word,抵押率,118,n
抵押,word,抵押贷款限额,118,n
抵押,word,抵押当事人,118,n
抵押,word,抵押权顺序,118,n
抵押,word,抵押实现,118,n
抵押,word,抵押消灭,118,n
抵押,word,抵押借贷,118,n
抵押,word,贷款抵押额度,118,n
抵押,word,抵质押品,118,n
抵押,word,贷款抵押风险,118,n
抵押,word,抵押物产权风险,118,n
抵押,word,抵押物处置风险,118,n
抵押,word,抵押物变现风险,118,n
抵押,word,抵押贷款利率,118,n
抵押,word,抵押权顺位,118,n
抵押,word,等额还款抵押贷款,118,n
抵押,word,等本金还款抵押贷款,118,n
抵押,word,抵押物折价,118,n
抵押,word,抵押贷款合同公证,118,n
抵押,word,抵押物放大倍数,118,n
抵押,word,贷款抵押,118,n
抵押,word,抵押财产,118,n
抵押,word,抵押贷款定期人寿保险,118,n
抵押,word,抵押登记费,118,n
抵押,word,恶意抵押,118,n
抵押,word,二手房抵押贷款,118,n
抵押,word,二次抵押贷款,118,n
抵押,word,浮动抵押,118,n
抵押,word,房地产抵押贷款,118,n
抵押,word,法定抵押权,118,n
抵押,word,房地产抵押,118,n
抵押,word,房契抵押,118,n
抵押,word,房产抵押,118,n
抵押,word,房屋抵押权,118,n
抵押,word,房地产分割抵押,118,n
抵押,word,共同抵押,118,n
抵押,word,固定抵押,118,n
抵押,word,贷款抵押书,118,n
抵押,word,海域使用权抵押,118,n
抵押,word,合格抵押品,118,n
抵押,word,经营性物业抵押贷款,118,n
抵押,word,建设工程抵押,118,n
抵押,word,可转换抵押贷款,118,n
抵押,word,连带共同抵押,118,n
抵押,word,流通抵押权,118,n
抵押,word,留置抵押质押对比,118,n
抵押,word,逆向年金抵押贷款,118,n
抵押,word,票据抵押,118,n
抵押,word,切块抵押贷款证券,118,n
抵押,word,权利抵押,118,n
抵押,word,权利抵押权,118,n
抵押,word,企业财产集合抵押,118,n
抵押,word,人寿保险单抵押,118,n
抵押,word,软抵押,118,n
抵押,word,所有人抵押,118,n
抵押,word,随同抵押,118,n
抵押,word,森林资源资产抵押处置物资产,118,n
抵押,word,土地使用权抵押,118,n
抵押,word,土地抵押权,118,n
抵押,word,特殊抵押权,118,n
抵押,word,土地抵押权的消灭,118,n
抵押,word,土地抵押权效力,118,n
抵押,word,土地抵押权实现,118,n
抵押,word,土地使用权分割抵押,118,n
抵押,word,物业抵押,118,n
抵押,word,无效抵押,118,n
抵押,word,无效抵押合同,118,n
抵押,word,无抵押无担保贷款,118,n
抵押,word,信托契书,118,n
抵押,word,现房抵押,118,n
抵押,word,虚拟抵押,118,n
抵押,word,循环住房抵押贷款,118,n
抵押,word,一般抵押权,118,n
抵押,word,预购商品房期权抵押,118,n
抵押,word,押金抵物,118,n
抵押,word,一物多押,118,n
抵押,word,应收账款抵押,118,n
抵押,word,余额抵押,118,n
抵押,word,转手证券,118,n
抵押,word,转按揭,118,n
抵押,word,最高额抵押,118,n
抵押,word,住房反向抵押贷款,118,n
抵押,word,纳税抵押,118,n
抵押,word,资产抵押,118,n
抵押,word,在建工程抵押,118,n
抵押,word,证券经济账户质押,118,n
抵押,word,再抵押贷款,118,n
抵押,word,再抵押,118,n
质押,word,质押,118,n
质押,word,保单贷款,118,n
质押,word,保证金质押,118,n
质押,word,不动产收益权质押,118,n
质押,word,不动产质权,118,n
质押,word,版权质押,118,n
质押,word,报价回购,118,n
质押,word,仓单质押,118,n
质押,word,承诺转质,118,n
质押,word,存货质押,118,n
质押,word,仓单质押贷款,118,n
质押,word,出质人,118,n
质押,word,存单质押,118,n
质押,word,重复质押,118,n
质押,word,存货质押融资,118,n
质押,word,储备土地收益权质押,118,n
质押,word,存货质押授信,118,n
质押,word,动产质押,118,n
质押,word,对外质押,118,n
质押,word,动态质押,118,n
质押,word,动产质押实现,118,n
质押,word,动产质押消灭,118,n
质押,word,抵押效力,118,n
质押,word,动产质物,118,n
质押,word,抵质押品,118,n
质押,word,贷款质押风险,118,n
质押,word,动产质权善意取得,118,n
质押,word,电费收费权质押,118,n
质押,word,动产质权合同,118,n
质押,word,对外动产质押,118,n
质押,word,对外权利质押,118,n
质押,word,动产质押贷款,118,n
质押,word,动产质押监管,118,n
质押,word,动产质押融资,118,n
质押,word,动产质押授信,118,n
质押,word,电子商业汇票质押,118,n
质押,word,动态动产质押,118,n
质押,word,法定质权,118,n
质押,word,法人股质押贷款,118,n
质押,word,非典型权利质押,118,n
质押,word,非标准仓单质押,118,n
质押,word,股权质押,118,n
质押,word,个人存单质押贷款,118,n
质押,word,工程保证担保,118,n
质押,word,共同质押,118,n
质押,word,公路收费权质押,118,n
质押,word,滚动质押,118,n
质押,word,归属质权,118,n
质押,word,个人权利质押贷款,118,n
质押,word,股权质押贷款,118,n
质押,word,个人保单质押贷款,118,n
质押,word,隔夜质押式回购利率,118,n
质押,word,合同债权质押,118,n
质押,word,核押,118,n
质押,word,黄金质押贷款,118,n
质押,word,静态质押,118,n
质押,word,集合信托产品质押融资,118,n
质押,word,经营权质押,118,n
质押,word,林权质押贷款,118,n
质押,word,民事质权,118,n
质押,word,纳税质押,118,n
质押,word,孳息收取权,118,n
质押,word,票据质押,118,n
质押,word,品牌质押贷款,118,n
质押,word,普通质押,118,n
质押,word,排污权质押贷款,118,n
质押,word,权利质押,118,n
质押,word,权利质物,118,n
质押,word,权利质押合同,118,n
质押,word,权益质押,118,n
质押,word,人寿保险单质押,118,n
