parent,cat,word,word_level,pos
,,综合条目,120,n
综合条目,categories,排行榜,119,n
排行榜,categories,大学排行榜,118,n
排行榜,categories,500强排名,118,n
排行榜,categories,Armstrong & Associates排行榜,118,n
排行榜,categories,巴伦周刊排行榜,118,n
排行榜,categories,财富排行榜,118,n
排行榜,categories,慈善排行榜,118,n
排行榜,categories,Crainer Dearlove排行榜,118,n
排行榜,categories,管理学家排行榜,118,n
排行榜,categories,福布斯排行榜,118,n
排行榜,categories,Fast Company排行榜,118,n
排行榜,categories,广告排行榜,118,n
排行榜,categories,富豪排行榜,118,n
排行榜,categories,《环球金融杂志》排行榜,118,n
排行榜,categories,金融时报排行榜,118,n
排行榜,categories,会计师事务所排行榜,118,n
排行榜,categories,MBA排名,118,n
排行榜,categories,名人排行榜,118,n
排行榜,categories,品牌排行榜,118,n
排行榜,categories,排行榜图像,118,n
排行榜,categories,企业排行榜,118,n
排行榜,categories,商业领袖排行榜,118,n
排行榜,categories,商业周刊排行榜,118,n
排行榜,categories,书籍排行榜,118,n
排行榜,categories,SJ咨询公司排行榜,118,n
排行榜,categories,泰晤士报排行榜,118,n
排行榜,categories,《新闻周刊》排行榜,118,n
排行榜,word,20世纪全球广告人TOP100,118,n
排行榜,word,2007年《Business 2.0》影响世界商业50强人,118,n
排行榜,word,25种全球最流行的管理工具,118,n
排行榜,word,20世纪全球十大顶尖基金经理人,118,n
排行榜,word,洛桑国际管理发展学院2007年度世界竞争力排行榜,118,n
排行榜,word,世界最具影响力的十大管理大师,118,n
排行榜,word,世界各大汽车品牌,118,n
排行榜,word,影响世界的100个经典管理定律,118,n
排行榜,word,影响世界进程的100位管理大师,118,n
MBA排名,categories,《福布斯》中国最佳商学院,117,n
MBA排名,categories,《金融时报》全球MBA排名,117,n
MBA排名,categories,《金融时报》全球EMBA排名,117,n
MBA排名,word,2007年《福布斯》中国最具价值商学院排行榜,117,n
会计师事务所排行榜,word,全球五大会计师事务所,117,n
会计师事务所排行榜,word,2007年Vault全球最具威望会计师事务所40强排名,117,n
金融时报排行榜,categories,《金融时报》500强,117,n
金融时报排行榜,categories,《金融时报》全球MBA排名,117,n
金融时报排行榜,categories,《金融时报》全球EMBA排名,117,n
金融时报排行榜,word,2007年《金融时报》中国十大世界级品牌排行榜,117,n
《环球金融杂志》排行榜,word,2009年《环球金融杂志》全球最佳银行50强排行榜,117,n
富豪排行榜,categories,福布斯富豪榜,117,n
富豪排行榜,categories,胡润富豪榜,117,n
广告排行榜,word,20世纪全球百年最佳广告策划,117,n
Fast Company排行榜,word,2018年度全球最具创新力企业,117,n
福布斯排行榜,categories,福布斯富豪榜,117,n
福布斯排行榜,categories,《福布斯》中国最佳商学院,117,n
福布斯排行榜,categories,上市公司2000强,117,n
福布斯排行榜,word,20世纪《福布斯》二十本最具影响力的商业书籍,117,n
福布斯排行榜,word,2017年《福布斯》中国最佳创业投资人排行榜,117,n
福布斯排行榜,word,2018年《福布斯》中国最佳创业投资人排行榜,117,n
福布斯排行榜,word,2006《福布斯》全球2000领先企业榜,117,n
福布斯排行榜,word,2007《福布斯》中国潜力100榜,117,n
福布斯排行榜,word,2007年《福布斯》百位名人排行榜,117,n
福布斯排行榜,word,2007年《福布斯》中国最具价值商学院排行榜,117,n
福布斯排行榜,word,2007年《福布斯》世界顶级奢侈品牌榜,117,n
福布斯排行榜,word,2008《福布斯》全球最具声望排行榜,117,n
福布斯排行榜,word,2008福布斯中国顶尖企业榜,117,n
福布斯排行榜,word,2008《福布斯》亚洲企业50强,117,n
福布斯排行榜,word,2008年《福布斯》中国最佳创业投资人排行榜,117,n
福布斯排行榜,word,2009年《福布斯》中国慈善榜,117,n
福布斯排行榜,word,2009年《福布斯》中国最佳创业投资人排行榜,117,n
福布斯排行榜,word,2010年《福布斯》中国最佳创业投资人排行榜,117,n
福布斯排行榜,word,2011年《福布斯》中国最佳创业投资人排行榜,117,n
福布斯排行榜,word,2012年《福布斯》中国慈善榜,117,n
福布斯排行榜,word,2013年《福布斯》中国慈善榜,117,n
福布斯排行榜,word,2013年《福布斯》中国最佳创业投资人排行榜,117,n
福布斯排行榜,word,2014年《福布斯》中国慈善榜,117,n
福布斯排行榜,word,2014年《福布斯》中国最佳创业投资人排行榜,117,n
福布斯排行榜,word,2015年《福布斯》中国慈善榜,117,n
福布斯排行榜,word,2015年《福布斯》中国最佳创业投资人排行榜,117,n
福布斯排行榜,word,2017年《福布斯》最受信赖公司榜,117,n
福布斯排行榜,word,2017年《福布斯》中国慈善榜,117,n
福布斯排行榜,word,2017《福布斯》品牌价值榜,117,n
福布斯排行榜,word,2018年《福布斯》中国慈善榜,117,n
福布斯排行榜,word,2019年《福布斯》中国慈善榜,117,n
管理学家排行榜,word,2009年Crainer Dearlove最具影响力的50位商业思想家,117,n
Crainer Dearlove排行榜,word,2009年Crainer Dearlove最具影响力的50位商业思想家,117,n
慈善排行榜,word,2009年《福布斯》中国慈善榜,117,n
慈善排行榜,word,2012年《福布斯》中国慈善榜,117,n
慈善排行榜,word,2013年《福布斯》中国慈善榜,117,n
慈善排行榜,word,2014年《福布斯》中国慈善榜,117,n
慈善排行榜,word,2015年《福布斯》中国慈善榜,117,n
慈善排行榜,word,2017年《福布斯》中国慈善榜,117,n
慈善排行榜,word,2018年《福布斯》中国慈善榜,117,n
慈善排行榜,word,2019年《福布斯》中国慈善榜,117,n
财富排行榜,categories,《财富》500强,117,n
财富排行榜,word,2006年《财富》MBA雇主100强排名,117,n
财富排行榜,word,2007年《财富》全球最受赞赏公司排行榜,117,n
财富排行榜,word,2007年《财富》企业社会责任评估排行榜,117,n
财富排行榜,word,2007年《财富》全球25位最具影响力商界领袖,117,n
财富排行榜,word,2007年《财富》全球最具品牌价值十大公司,117,n
财富排行榜,word,2008年《财富》全球最受尊敬50家公司,117,n
财富排行榜,word,2009年《财富》全球最受尊敬50家公司,117,n
财富排行榜,word,2010年《财富》全球最受赞赏50家公司,117,n
财富排行榜,word,2013年《财富》全球最受赞赏50家公司,117,n
财富排行榜,word,2014年《财富》全球最受赞赏50家公司,117,n
财富排行榜,word,2015年《财富》全球最受赞赏50家公司,117,n
财富排行榜,word,2016年《财富》全球最受赞赏50家公司,117,n
财富排行榜,word,2017年《财富》全球最受赞赏50家公司,117,n
财富排行榜,word,2018年《财富》全球最受赞赏50家公司,117,n
财富排行榜,word,2018年《财富》最受赞赏的中国公司,117,n
财富排行榜,word,2019年《财富》全球最受赞赏50家公司,117,n
巴伦周刊排行榜,word,2006年《巴伦周刊》全球最受尊敬大公司排行榜,117,n
巴伦周刊排行榜,word,2007年《巴伦周刊》全球最具影响力的30名CEO,117,n
巴伦周刊排行榜,word,2010年《巴伦周刊》全球最具影响力的30名CEO,117,n
巴伦周刊排行榜,word,2011年《巴伦周刊》全球最具影响力的30名CEO,117,n
巴伦周刊排行榜,word,2012年《巴伦周刊》全球最具影响力的30名CEO,117,n
巴伦周刊排行榜,word,2012年《巴伦周刊》全球最受尊敬大公司排行榜,117,n
巴伦周刊排行榜,word,2013年《巴伦周刊》全球最具影响力的30名CEO,117,n
巴伦周刊排行榜,word,2014年《巴伦周刊》全球最具影响力的30名CEO全榜单,117,n
巴伦周刊排行榜,word,2016年《巴伦周刊》全球最具影响力的30名CEO,117,n
Armstrong & Associates排行榜,word,2007年Armstrong & Associates全球物流公司50强,117,n
500强排名,categories,《财富》500强,117,n
500强排名,categories,《金融时报》500强,117,n
500强排名,word,2007年中国企业500强排行榜,117,n
500强排名,word,2009中国企业500强,117,n
500强排名,word,2008中国企业500强,117,n
500强排名,word,2019年中国企业500强,117,n
500强排名,word,2020年中国企业500强,117,n
大学排行榜,word,2008美国最好大学排行榜,117,n
大学排行榜,word,2017年中国大学排行榜,117,n
大学排行榜,word,2007年《新闻周刊》全球最优秀的100所大学,117,n
大学排行榜,word,2007年中国大学排行榜,117,n
大学排行榜,word,2007年世界大学科研竞争力排行榜,117,n
大学排行榜,word,2008年中国大学排行榜,117,n
大学排行榜,word,《泰晤士报》2008年全球大学排行榜,117,n
大学排行榜,word,2009年中国大学排行榜,117,n
大学排行榜,word,《泰晤士报》2010年全球大学排行榜,117,n
大学排行榜,word,2010年中国大学排行榜,117,n
大学排行榜,word,2011年中国大学排行榜,117,n
大学排行榜,word,2012年中国大学排行榜,117,n
大学排行榜,word,2013年中国大学排行榜,117,n
大学排行榜,word,2014年中国大学排行榜,117,n
大学排行榜,word,2015年中国大学排行榜,117,n
大学排行榜,word,2016年中国大学排行榜,117,n
大学排行榜,word,2016年FT管理硕士排行榜,117,n
大学排行榜,word,2016-2017年泰晤士高等教育世界大学排名,117,n
大学排行榜,word,2018年中国大学排行榜,117,n
大学排行榜,word,2018-2019年QS世界大学排名,117,n
大学排行榜,word,2019-2020年QS世界大学排名,117,n
大学排行榜,word,2020-2021年QS世界大学排名,117,n
大学排行榜,word,2021年QS亚洲大学排名,117,n
《新闻周刊》排行榜,word,2007年《新闻周刊》全球最优秀的100所大学,117,n
《金融时报》全球EMBA排名,word,2007年《金融时报》全球EMBA排名,116,n
《金融时报》全球EMBA排名,word,2008年《金融时报》全球EMBA排名,116,n
《金融时报》全球EMBA排名,word,2009年《金融时报》全球EMBA排名,116,n
《金融时报》全球EMBA排名,word,2010年《金融时报》全球EMBA排名,116,n
《金融时报》全球EMBA排名,word,2011年《金融时报》全球EMBA排名,116,n
《金融时报》全球EMBA排名,word,2012年《金融时报》全球EMBA排名,116,n
《金融时报》全球EMBA排名,word,2013年《金融时报》全球EMBA排名,116,n
《金融时报》全球EMBA排名,word,2014年《金融时报》全球EMBA排名,116,n
《金融时报》全球EMBA排名,word,2015《金融时报》全球EMBA排行,116,n
《金融时报》全球EMBA排名,word,2016年《金融时报》全球EMBA排名,116,n
《金融时报》全球EMBA排名,word,2017《金融时报》全球EMBA排名,116,n
《金融时报》全球MBA排名,word,2006年《金融时报》全球MBA排名,116,n
