parent,cat,word,word_level,pos
,,行业百科,120,n
行业百科,categories,日化,119,n
行业百科,categories,投资,119,n
投资,categories,实业投资公司,118,n
投资,categories,投资银行,118,n
投资,categories,投资术语,118,n
投资,categories,投资理论,118,n
投资,categories,投资学名著,118,n
投资,categories,投资方式,118,n
投资,categories,投资公司,118,n
投资,categories,投资类型,118,n
投资,categories,投资分析,118,n
投资,categories,投资评估,118,n
投资,word,投资,118,n
投资,word,投资需求规模,118,n
投资,word,物业投资者,118,n
投资,word,投资七大定律,118,n
日化,categories,化妆品公司,118,n
日化,categories,日用消费品公司,118,n
日化,word,日化,118,n
日化,word,半功效型护肤品,118,n
日化,word,本土日化企业,118,n
日化,word,除臭剂,118,n
日化,word,唇膏,118,n
日化,word,除垢剂,118,n
日化,word,唇彩,118,n
日化,word,地板蜡,118,n
日化,word,碘值,118,n
日化,word,防晒剂,118,n
日化,word,发乳,118,n
日化,word,发蜡,118,n
日化,word,发胶,118,n
日化,word,肥皂,118,n
日化,word,粉底,118,n
日化,word,防晒霜,118,n
日化,word,发泡力,118,n
日化,word,非离子型洗涤剂,118,n
日化,word,干洗剂,118,n
日化,word,隔离霜,118,n
日化,word,钙皂分散剂,118,n
日化,word,功能性护肤品,118,n
日化,word,化妆品,118,n
日化,word,合成洗涤剂,118,n
日化,word,化妆品专业线,118,n
日化,word,合成洗衣粉,118,n
日化,word,护发素,118,n
日化,word,化妆水,118,n
日化,word,花露水,118,n
日化,word,护肤品,118,n
日化,word,化妆品专卖店,118,n
日化,word,匀染剂,118,n
日化,word,焗油,118,n
日化,word,睫毛膏,118,n
日化,word,洁厕剂,118,n
日化,word,口腔用品,118,n
日化,word,空气清新剂,118,n
日化,word,润发油,118,n
日化,word,两性洗涤剂,118,n
日化,word,摩丝,118,n
日化,word,沐浴露,118,n
日化,word,沐浴凝胶,118,n
日化,word,蜜粉,118,n
日化,word,美乳剂,118,n
日化,word,美白祛斑剂,118,n
日化,word,面膜,118,n
日化,word,轻垢型洗涤剂,118,n
日化,word,日化线,118,n
日化,word,柔软剂,118,n
日化,word,染发剂,118,n
日化,word,日化品牌,118,n
日化,word,润肤剂,118,n
日化,word,日化香精,118,n
日化,word,腮红,118,n
日化,word,漱口水,118,n
日化,word,色淀,118,n
日化,word,瞬间粘合剂,118,n
日化,word,生态床上用品,118,n
日化,word,烫发剂,118,n
日化,word,调理香波,118,n
日化,word,脱毛剂,118,n
日化,word,剃须膏,118,n
日化,word,洗手液,118,n
日化,word,洗洁精,118,n
日化,word,香水,118,n
日化,word,洗面奶,118,n
日化,word,洗发水,118,n
日化,word,香皂,118,n
日化,word,洗涤用品,118,n
日化,word,洗衣皂,118,n
日化,word,鞋油,118,n
日化,word,洗漱用品,118,n
日化,word,牙膏,118,n
日化,word,浴盐,118,n
日化,word,浴油,118,n
日化,word,硬挺剂,118,n
日化,word,育发剂,118,n
日化,word,眼影膏,118,n
日化,word,研磨剂,118,n
日化,word,油墨,118,n
日化,word,阴离子型洗涤剂,118,n
日化,word,阳离子型洗涤剂,118,n
日化,word,颜料,118,n
日化,word,重垢型洗涤剂,118,n
日化,word,专柜化妆品,118,n
日化,word,指甲油,118,n
日化,word,指甲油去除剂,118,n
日化,word,指甲白,118,n
日化,word,皂化值,118,n
日化,word,助洗剂,118,n
日化,word,洗衣液,118,n
投资分析,word,成本效益分析,117,n
投资分析,word,动态资产配置策略,117,n
投资分析,word,收支平衡分析,117,n
投资分析,word,方案比较分析法,117,n
投资分析,word,固定资产投资经济效益,117,n
投资分析,word,技术经济分析法,117,n
投资分析,word,谨慎投资原则,117,n
投资分析,word,历史数据法,117,n
投资分析,word,人力资本投资效率,117,n
投资分析,word,时间优惠率,117,n
投资分析,word,投资报酬分析,117,n
投资分析,word,投资价值指标,117,n
投资分析,word,投资决策分析,117,n
投资分析,word,投资分析图,117,n
投资分析,word,投资财务标准,117,n
投资分析,word,投资质量标准,117,n
投资分析,word,投资分析法,117,n
投资分析,word,投资决策标准,117,n
投资分析,word,詹森测度,117,n
投资类型,categories,风险投资,117,n
投资类型,word,国际直接撤资,117,n
投资类型,word,安装工程投资,117,n
投资类型,word,保险投资,117,n
投资类型,word,不动产投资,117,n
投资类型,word,不增加固定资产投资,117,n
投资类型,word,创业投资,117,n
投资类型,word,长期股权投资,117,n
投资类型,word,产业投资,117,n
投资类型,word,长期投资,117,n
投资类型,word,重置投资,117,n
投资类型,word,长期债权投资,117,n
投资类型,word,存货投资,117,n
投资类型,word,产权投资,117,n
投资类型,word,长期债券投资,117,n
投资类型,word,长期股票投资,117,n
投资类型,word,重振资本,117,n
投资类型,word,长期对外投资,117,n
投资类型,word,垂直型对外直接投资,117,n
投资类型,word,城镇固定资产投资,117,n
投资类型,word,重复投资,117,n
投资类型,word,长期期权投资,117,n
投资类型,word,创意投资,117,n
投资类型,word,财务投资,117,n
投资类型,word,初创投资,117,n
投资类型,word,纯粹的金融投资,117,n
投资类型,word,城市建设投资,117,n
投资类型,word,对外投资,117,n
投资类型,word,对内投资,117,n
投资类型,word,企业对外投资,117,n
投资类型,word,短期股权投资,117,n
投资类型,word,短期债券投资,117,n
投资类型,word,短期股票投资,117,n
投资类型,word,短期对外投资,117,n
投资类型,word,多元化投资,117,n
投资类型,word,单项投资,117,n
投资类型,word,低碳投资,117,n
投资类型,word,多边投资,117,n
投资类型,word,返程投资,117,n
投资类型,word,房地产投资,117,n
投资类型,word,非生产性投资,117,n
投资类型,word,防御性投资,117,n
投资类型,word,非生产性建设投资,117,n
投资类型,word,房地产企业投资,117,n
投资类型,word,发展投资,117,n
投资类型,word,房地产开发投资,117,n
投资类型,word,房地产置业投资,117,n
投资类型,word,房地产买卖投资,117,n
投资类型,word,房地产租赁投资,117,n
投资类型,word,房地产自营投资,117,n
投资类型,word,房地产混合投资,117,n
投资类型,word,非营利组织投资,117,n
投资类型,word,风格投资,117,n
投资类型,word,非效率投资,117,n
投资类型,word,国际间接投资,117,n
投资类型,word,国际直接投资,117,n
投资类型,word,国际投资,117,n
投资类型,word,固定资产投资,117,n
投资类型,word,股权投资,117,n
投资类型,word,股票投资,117,n
投资类型,word,公益性项目投资,117,n
投资类型,word,关系专用性投资,117,n
投资类型,word,国家投资,117,n
投资类型,word,国际私人直接投资,117,n
投资类型,word,高科技风险投资,117,n
投资类型,word,国际投资风险,117,n
