parent,cat,word,word_level,pos
,,法律百科,120,n
法律百科,categories,法律术语,119,n
法律百科,categories,金融法规,119,n
法律百科,categories,财务法规,119,n
法律百科,categories,知识产权,119,n
法律百科,categories,国际公约,119,n
法律百科,categories,工商法规,119,n
法律百科,categories,贸易协定,119,n
法律百科,categories,税收协定,119,n
法律百科,categories,WTO协议,119,n
法律百科,categories,商法学,119,n
商法学,word,单方商行为,118,n
商法学,word,附属商行为,118,n
商法学,word,国有商法人,118,n
商法学,word,行纪商,118,n
商法学,word,基本商行为,118,n
商法学,word,集体商法人,118,n
商法学,word,居间商,118,n
商法学,word,开业登记,118,n
商法学,word,民商合一,118,n
商法学,word,民商分立,118,n
商法学,word,商行为,118,n
商法学,word,商主体,118,n
商法学,word,商事法,118,n
商法学,word,商事法律关系,118,n
商法学,word,商事能力,118,n
商法学,word,商法人,118,n
商法学,word,商辅助人,118,n
商法学,word,商法学,118,n
商法学,word,双方商行为,118,n
商法学,word,私营商法人,118,n
商法学,word,商个人,118,n
商法学,word,商事买卖,118,n
商法学,word,商事名称权,118,n
商法学,word,商事登记效力,118,n
商法学,word,商事登记机关,118,n
商法学,word,商事变更登记,118,n
商法学,word,商事营业能力,118,n
商法学,word,推定商行为,118,n
商法学,word,相对商行为,118,n
商法学,word,绝对商行为,118,n
商法学,word,中华人民共和国外商投资法,118,n
WTO协议,word,《补贴与反补贴措施协议》,118,n
WTO协议,word,《保障措施协定》,118,n
WTO协议,word,《反倾销协议》,118,n
WTO协议,word,《服务贸易总协定》,118,n
WTO协议,word,服务贸易总协定电信服务补充规定,118,n
WTO协议,word,《关于争端解决规则与程序的谅解》,118,n
WTO协议,word,《国际牛肉协议》,118,n
WTO协议,word,《国际奶制品协议》,118,n
WTO协议,word,《海关估价协议》,118,n
WTO协议,word,《进口许可程序协定》,118,n
WTO协议,word,《马拉喀什建立世界贸易组织协定》,118,n
WTO协议,word,《民用航空器贸易协议》,118,n
WTO协议,word,《贸易政策审议机制》,118,n
WTO协议,word,《农业协定》,118,n
WTO协议,word,Protocol on the Accession of the People's Republic of China,118,n
WTO协议,word,《世界贸易组织贸易技术壁垒协议》,118,n
WTO协议,word,《实施动植物卫生检疫措施的协议》,118,n
WTO协议,word,《信息技术产品协议》,118,n
WTO协议,word,《与贸易有关的知识产权协定》,118,n
WTO协议,word,《与贸易有关的投资措施协议》,118,n
WTO协议,word,《原产地规则协议》,118,n
WTO协议,word,《政府采购协议》,118,n
WTO协议,word,《装运前检验协议》,118,n
WTO协议,word,《中华人民共和国加入WTO议定书》,118,n
税收协定,word,《避免双重征收版税马德里多边条约》,118,n
税收协定,word,多边税收协定,118,n
税收协定,word,多边税收征管互助公约,118,n
税收协定,word,关税及贸易总协定,118,n
税收协定,word,《关于对所得和财产避免双重征税的协定范本》,118,n
税收协定,word,《关于发达国家与发展中国家间避免双重课税的协定范本》,118,n
税收协定,word,滥用税收协定,118,n
税收协定,word,国际税收协定,118,n
税收协定,word,避免双重税收协定,118,n
税收协定,word,双边税收协定,118,n
税收协定,word,税收协定待遇,118,n
税收协定,word,特定税收协定,118,n
税收协定,word,一般税收协定,118,n
贸易协定,word,《跟单票据争议专家解决规则》,118,n
贸易协定,word,北美自由贸易协定,118,n
贸易协定,word,巴塞尔协议,118,n
贸易协定,word,巴塞尔协议III,118,n
贸易协定,word,出口信贷君子协定,118,n
贸易协定,word,促进与保护投资协定,118,n
贸易协定,word,ECFA,118,n
贸易协定,word,《纺织品与服装协议》,118,n
贸易协定,word,关税及贸易总协定,118,n
贸易协定,word,《国际纺织品贸易协定》,118,n
贸易协定,word,《国际橄榄油协定》,118,n
贸易协定,word,《国际专利分类斯特拉斯堡协定》,118,n
贸易协定,word,《国际金融公司协定》,118,n
贸易协定,word,《国际海事委员会电子提单规则》,118,n
贸易协定,word,《工业品外观设计国际保存海牙协定》,118,n
贸易协定,word,《跟单信用证统一惯例》,118,n
贸易协定,word,国际黄麻和黄麻制品协定,118,n
贸易协定,word,《建立商品共同基金协定》,118,n
贸易协定,word,《科托努协定》,118,n
贸易协定,word,考克斯圆桌商业原则,118,n
贸易协定,word,洛美协定,118,n
贸易协定,word,《联合国国际货物销售合同公约》,118,n
贸易协定,word,《鹿特丹规则》,118,n
贸易协定,word,《亚太贸易协定》,118,n
贸易协定,word,全面与进步跨太平洋伙伴关系协定,118,n
贸易协定,word,区域贸易协定,118,n
贸易协定,word,双边自由贸易协定,118,n
贸易协定,word,双边投资条约,118,n
贸易协定,word,《世界贸易组织贸易技术壁垒协议》,118,n
贸易协定,word,《商标法新加坡条约》,118,n
贸易协定,word,《商标国际注册马德里协定》,118,n
贸易协定,word,《商标国际注册马德里协定有关议定书》,118,n
贸易协定,word,商标互惠协议,118,n
贸易协定,word,特惠贸易协定,118,n
贸易协定,word,投资保证协定,118,n
贸易协定,word,TTIP,118,n
贸易协定,word,瓦圣那协议,118,n
贸易协定,word,新巴塞尔协议,118,n
贸易协定,word,友好通商航海条约,118,n
贸易协定,word,有秩序销售协定,118,n
贸易协定,word,《中国-东盟全面经济合作框架协议》,118,n
贸易协定,word,自由贸易协定,118,n
贸易协定,word,《中国-新西兰自贸区协定》,118,n
贸易协定,word,《中国-新加坡自贸区协定》,118,n
贸易协定,word,早期收获计划,118,n
工商法规,word,《安全生产许可证条例》,118,n
工商法规,word,《出版管理条例》,118,n
工商法规,word,担保法,118,n
工商法规,word,《工伤保险条例》,118,n
工商法规,word,个人独资企业法,118,n
工商法规,word,公司法,118,n
工商法规,word,广告法,118,n
工商法规,word,合同法,118,n
工商法规,word,《互联网新闻信息服务管理规定》,118,n
工商法规,word,《互联网广告管理暂行办法》,118,n
工商法规,word,竞争法,118,n
工商法规,word,《禁止传销条例》,118,n
工商法规,word,会计审计法,118,n
工商法规,word,劳动法,118,n
工商法规,word,美国破产法,118,n
工商法规,word,企业破产法,118,n
工商法规,word,票据法,118,n
工商法规,word,企业法,118,n
工商法规,word,企业登记公示制度,118,n
工商法规,word,《企业职工奖惩条例》,118,n
工商法规,word,《侵害消费者权益行为处罚办法》,118,n
工商法规,word,《全国社会保障基金条例》,118,n
工商法规,word,税收征管法,118,n
工商法规,word,《商业特许经营管理条例》,118,n
工商法规,word,《失业保险条例》,118,n
工商法规,word,《社会保险费征缴暂行条例》,118,n
工商法规,word,审计法,118,n
工商法规,word,社会保障法,118,n
工商法规,word,社会福利法,118,n
工商法规,word,物权法,118,n
工商法规,word,外商投资企业法,118,n
工商法规,word,《网络发票管理办法》,118,n
工商法规,word,《网络商品交易及有关服务行为管理暂行办法》,118,n
工商法规,word,《网络购买商品七日无理由退货暂行办法》,118,n
工商法规,word,《娱乐场所管理条例》,118,n
工商法规,word,《营业性演出管理条例》,118,n
工商法规,word,《中华人民共和国税收征收管理法》,118,n
工商法规,word,《中华人民共和国票据法》,118,n
工商法规,word,仲裁法,118,n
工商法规,word,《中华人民共和国仲裁法》,118,n
工商法规,word,《中华人民共和国劳动合同法》,118,n
工商法规,word,《中华人民共和国消费者权益保护法》,118,n
工商法规,word,《中华人民共和国商标法》,118,n
工商法规,word,《中华人民共和国专利法》,118,n
工商法规,word,《中华人民共和国合同法》,118,n
工商法规,word,《中华人民共和国产品质量法》,118,n
工商法规,word,《中华人民共和国公司法》,118,n
工商法规,word,《中华人民共和国劳动法》,118,n
工商法规,word,《中华人民共和国拍卖法》,118,n
工商法规,word,《中华人民共和国反垄断法》,118,n
工商法规,word,《中华人民共和国就业促进法》,118,n
工商法规,word,《中华人民共和国企业破产法》,118,n
工商法规,word,《中华人民共和国广告法》,118,n
工商法规,word,《中华人民共和国价格法》,118,n
工商法规,word,《中华人民共和国中外合资经营企业法》,118,n
工商法规,word,《中华人民共和国中外合作经营企业法》,118,n
工商法规,word,《中华人民共和国外资企业法》,118,n
工商法规,word,《中华人民共和国合伙企业法》,118,n
工商法规,word,《中华人民共和国审计法》,118,n
工商法规,word,《中华人民共和国工会法》,118,n
工商法规,word,《中华人民共和国乡镇企业法》,118,n
工商法规,word,《中华人民共和国安全生产法》,118,n
工商法规,word,《中华人民共和国劳动争议调解仲裁法》,118,n
工商法规,word,《中华人民共和国企业所得税法》,118,n
工商法规,word,《中华人民共和国行政许可法》,118,n
工商法规,word,《中华人民共和国计量法》,118,n
工商法规,word,《中华人民共和国全民所有制工业企业法》,118,n
工商法规,word,《中华人民共和国个人独资企业法》,118,n
工商法规,word,《中华人民共和国职业病防治法》,118,n
工商法规,word,《中华人民共和国外商投资企业和外国企业所得税法》,118,n
工商法规,word,《中华人民共和国企业劳动争议处理条例》,118,n
工商法规,word,《中华人民共和国标准化法》,118,n
工商法规,word,《中华人民共和国公司登记管理条例》,118,n
工商法规,word,《中华人民共和国企业法人登记管理条例》,118,n
工商法规,word,《直销管理条例》,118,n
工商法规,word,《职工带薪年休假条例》,118,n
工商法规,word,《中华人民共和国工业产品生产许可证管理条例》,118,n
工商法规,word,《中华人民共和国认证认可条例》,118,n
工商法规,word,《政府价格决策听证办法》,118,n
工商法规,word,《中华人民共和国职业教育法》,118,n
工商法规,word,《中华人民共和国发票管理办法》,118,n
工商法规,word,《中华人民共和国产品质量认证管理条例》,118,n
工商法规,word,《中华人民共和国劳动保险条例》,118,n
工商法规,word,《中华人民共和国劳动合同法实施条例》,118,n
工商法规,word,《中华人民共和国企业国有资产法》,118,n
工商法规,word,《中华人民共和国食品安全法》,118,n
工商法规,word,《中华人民共和国标准化法实施条例》,118,n
工商法规,word,《中国名牌产品管理办法》,118,n
工商法规,word,《中华人民共和国发票管理办法实施细则》,118,n
工商法规,word,《票据管理实施办法》,118,n
工商法规,word,知识产权法,118,n
工商法规,word,《专利行政执法办法》,118,n
工商法规,word,《中华人民共和国企业所得税法实施条例》,118,n
工商法规,word,《中华人民共和国中外合资经营企业法实施条例》,118,n
工商法规,word,《中华人民共和国审计法实施条例》,118,n
工商法规,word,《中华人民共和国外资企业法实施细则》,118,n
工商法规,word,《中华人民共和国资产评估法》,118,n
工商法规,word,《政府制定价格听证办法》,118,n
国际公约,word,《保护工业产权巴黎公约》,118,n
国际公约,word,《避免双重征收版税马德里多边条约》,118,n
国际公约,word,《保护表演者、音像制品制作者和广播组织罗马公约》,118,n
国际公约,word,《保护文学艺术作品伯尔尼公约》,118,n
国际公约,word,《比荷卢经济联盟商标公约》,118,n
国际公约,word,《比荷卢经济联盟统一商标法》,118,n
国际公约,word,《承认和执行外国仲裁裁决公约》,118,n
国际公约,word,《代理法律适用公约》,118,n
国际公约,word,《多式联运单证规则》,118,n
国际公约,word,东南欧稳定公约,118,n
国际公约,word,《2004年约克·安特卫普规则》,118,n
国际公约,word,国际经济法,118,n
国际公约,word,《关于货物实行国际转运或过境运输的海关公约》,118,n
国际公约,word,《国际融资租赁公约》,118,n
国际公约,word,《关于防止、调查和惩处违犯海关法罪实行行政互助的国际公约》,118,n
国际公约,word,《关于简化和协调海关业务制度的国际公约》,118,n
国际公约,word,《国际集装箱安全公约》,118,n
国际公约,word,《国际货物买卖统一法公约》,118,n
国际公约,word,《国际开发协会协定》,118,n
国际公约,word,《国际海事组织公约》,118,n
国际公约,word,《关于解决国家与其他国家国民之间投资争端公约》,118,n
国际公约,word,《国际货币基金协定》,118,n
国际公约,word,《国际航空过境协定》,118,n
国际公约,word,《跟单信用证统一惯例》,118,n
国际公约,word,《跟单信用证项下银行间偿付统一规则》,118,n
国际公约,word,《国际海港制度公约》,118,n
国际公约,word,《国际保理通则》,118,n
国际公约,word,《国际货物买卖合同法律适用公约》,118,n
国际公约,word,《国际商事合同通则》,118,n
国际公约,word,《国际商会广告行为准则》,118,n
国际公约,word,《国际商会友好争议解决规则》,118,n
国际公约,word,公平互利原则,118,n
国际公约,word,国际劳工公约,118,n
国际公约,word,《国际海运危险货物规则》,118,n
国际公约,word,《国际海上避碰规则》,118,n
国际公约,word,国际商事法,118,n
国际公约,word,《国际商事合同通则》(2010版),118,n
国际公约,word,《海关商品估价公约》,118,n
国际公约,word,《海关合作理事会商品分类目录》,118,n
国际公约,word,《建立海关合作理事会的公约》,118,n
国际公约,word,《建立非洲开发银行协定》,118,n
国际公约,word,《见索即付保函统一规则》,118,n
国际公约,word,经济主权原则,118,n
国际公约,word,《联合国国际货物销售合同公约》,118,n
国际公约,word,《联合国国际货物买卖时效期限公约》,118,n
国际公约,word,《联合国国际汇票和国际本票公约》,118,n
国际公约,word,《联合国国际合同使用电子通信公约》,118,n
