parent,cat,word,word_level,pos
,,管理百科,120,n
管理百科,categories,知识产权,119,n
管理百科,categories,创新,119,n
管理百科,categories,危机管理,119,n
管理百科,categories,行政管理,119,n
管理百科,categories,招投标,119,n
管理百科,categories,供应商管理,119,n
供应商管理,categories,供应商选择方法,118,n
招投标,categories,投标类型,118,n
招投标,categories,招投标术语,118,n
招投标,categories,招投标策略,118,n
招投标,categories,招标类型,118,n
招投标,word,招标与投标,118,n
招投标,word,拆分招标,118,n
行政管理,categories,行政管理图像,118,n
行政管理,word,行政管理,118,n
行政管理,word,并联审批,118,n
行政管理,word,比较行政学,118,n
行政管理,word,比较公共行政学,118,n
行政管理,word,行政比例原则,118,n
行政管理,word,巴纳德的系统行政组织理论,118,n
行政管理,word,补充性立法,118,n
行政管理,word,不相隶属机关,118,n
行政管理,word,备案审查,118,n
行政管理,word,报复性执法,118,n
行政管理,word,办照,118,n
行政管理,word,财务行政管理,118,n
行政管理,word,抽象行政行为,118,n
行政管理,word,城市文化管理,118,n
行政管理,word,城市经济管理,118,n
行政管理,word,城市市场管理,118,n
行政管理,word,城市财政管理,118,n
行政管理,word,城市物价管理,118,n
行政管理,word,城市金融管理,118,n
行政管理,word,城市房地产管理,118,n
行政管理,word,厂长负责制,118,n
行政管理,word,厂长,118,n
行政管理,word,创制性文件,118,n
行政管理,word,成本监审,118,n
行政管理,word,辞去领导职务,118,n
行政管理,word,程序性免职,118,n
行政管理,word,差额选举,118,n
行政管理,word,财产强制,118,n
行政管理,word,创制性立法,118,n
行政管理,word,城市应急机制,118,n
行政管理,word,抽象行政程序,118,n
行政管理,word,船舶签证,118,n
行政管理,word,超时默认制度,118,n
行政管理,word,城市综合管理,118,n
行政管理,word,城市精细化管理,118,n
行政管理,word,多向沟通模式,118,n
行政管理,word,单方行政行为,118,n
行政管理,word,地方政府职能,118,n
行政管理,word,定员定额,118,n
行政管理,word,道德手段,118,n
行政管理,word,地区回避,118,n
行政管理,word,单纯性免职,118,n
行政管理,word,等额选举,118,n
行政管理,word,单一行政违法,118,n
行政管理,word,代执行,118,n
行政管理,word,地方政府规章,118,n
行政管理,word,电视问政,118,n
行政管理,word,档案价值鉴定,118,n
行政管理,word,大部制,118,n
行政管理,word,钓鱼执法,118,n
行政管理,word,顶格罚款,118,n
行政管理,word,法约尔的一般管理理论,118,n
行政管理,word,负面原理,118,n
行政管理,word,分权扁平模式,118,n
行政管理,word,法治行政,118,n
行政管理,word,非要式行政行为,118,n
行政管理,word,反洗钱行政调查,118,n
行政管理,word,发展行政学,118,n
行政管理,word,法律手段,118,n
