parent,cat,word,word_level,pos
,,行业百科,120,n
行业百科,categories,通信,119,n
行业百科,categories,物流管理,119,n
物流管理,categories,报关,118,n
物流管理,categories,采购,118,n
物流管理,categories,存储,118,n
物流管理,categories,第三方物流,118,n
物流管理,categories,供应链,118,n
物流管理,categories,集装箱,118,n
物流管理,categories,流通加工,118,n
物流管理,categories,绿色物流,118,n
物流管理,categories,流通,118,n
物流管理,categories,配送,118,n
物流管理,categories,物流公司,118,n
物流管理,categories,物流管理术语,118,n
物流管理,categories,物流协会,118,n
物流管理,categories,物流管理图像,118,n
物流管理,categories,物流战略管理,118,n
物流管理,categories,物流成本,118,n
物流管理,categories,物流信息管理,118,n
物流管理,categories,物流企业类型,118,n
物流管理,categories,物流系统工程,118,n
物流管理,categories,物流管理理论,118,n
物流管理,categories,物流技术,118,n
物流管理,categories,物流类型,118,n
物流管理,categories,运输,118,n
物流管理,categories,装卸搬运,118,n
物流管理,word,物流管理,118,n
通信,categories,电信公司,118,n
通信,word,通信,118,n
通信,word,6G,118,n
通信,word,ADSL,118,n
通信,word,ATM中央控制模块,118,n
通信,word,APP,118,n
通信,word,AODV,118,n
通信,word,APON,118,n
通信,word,BGP,118,n
通信,word,闭合用户群,118,n
通信,word,闭路电视监控系统,118,n
通信,word,半双工通信,118,n
通信,word,宽带综合业务数字网,118,n
通信,word,比特洪流,118,n
通信,word,比特率,118,n
通信,word,波特率,118,n
通信,word,波分复用技术,118,n
通信,word,通信保密,118,n
通信,word,报文交换,118,n
通信,word,不间断电源,118,n
通信,word,并行通信,118,n
通信,word,比特流,118,n
通信,word,表示层,118,n
通信,word,笨水管,118,n
通信,word,CDMA,118,n
通信,word,超媒体数据库,118,n
通信,word,超文本,118,n
通信,word,传输控制协议,118,n
通信,word,长波通信,118,n
通信,word,超光网,118,n
通信,word,串行通信,118,n
通信,word,传真通信,118,n
通信,word,程控交换机,118,n
通信,word,CDPD,118,n
通信,word,传送网,118,n
通信,word,CWDM,118,n
通信,word,CSMA/CA,118,n
通信,word,CSMA/CD,118,n
通信,word,传输时间间隔,118,n
通信,word,CMPP协议,118,n
通信,word,场地出租(通信),118,n
通信,word,城市光网,118,n
通信,word,策略路由,118,n
通信,word,重路由,118,n
通信,word,长途电话,118,n
通信,word,差错控制,118,n
通信,word,传输层,118,n
通信,word,电视会议系统,118,n
通信,word,视频会议系统,118,n
通信,word,电话会议系统,118,n
通信,word,DHCP,118,n
通信,word,多媒体电视,118,n
通信,word,多媒体点播系统,118,n
通信,word,点到点协议,118,n
通信,word,多媒体宽带接入网,118,n
通信,word,电子邮件,118,n
通信,word,多媒体计算机,118,n
通信,word,多媒体通信,118,n
通信,word,多维数据库,118,n
通信,word,多媒体,118,n
通信,word,多媒体办公自动化系统,118,n
通信,word,多媒体终端,118,n
通信,word,多媒体电话通信,118,n
通信,word,多媒体移动通信系统,118,n
通信,word,多点视频会议系统,118,n
通信,word,多媒体用户接口,118,n
通信,word,电子邮件系统,118,n
通信,word,电子邮箱,118,n
通信,word,电话,118,n
通信,word,单工通信,118,n
通信,word,电写通信,118,n
通信,word,电力通信,118,n
通信,word,电信普遍服务,118,n
通信,word,电信普遍服务基金,118,n
通信,word,电信资源费,118,n
通信,word,DSRC,118,n
通信,word,带通滤波器,118,n
通信,word,电信息通信,118,n
通信,word,对称通信,118,n
通信,word,电话实名制,118,n
通信,word,电信运营商,118,n
通信,word,电信监管,118,n
通信,word,电信管理体制,118,n
通信,word,电信网,118,n
通信,word,大气激光通信,118,n
通信,word,短波通信,118,n
通信,word,地下通信,118,n
通信,word,多址通信,118,n
通信,word,电力线通信,118,n
通信,word,多机通信,118,n
通信,word,电信媒介,118,n
通信,word,电信管理网,118,n
通信,word,多址协议,118,n
通信,word,动态信道分配,118,n
通信,word,DWDM,118,n
通信,word,电话网,118,n
通信,word,DPT,118,n
通信,word,DSTM,118,n
通信,word,短距离通信,118,n
通信,word,短消息服务,118,n
通信,word,多媒体短信业务,118,n
通信,word,DVB-H,118,n
通信,word,DCAP,118,n
通信,word,D2D通信技术,118,n
通信,word,多链接透明互联,118,n
通信,word,DAMPS,118,n
通信,word,电信,118,n
通信,word,短信认证,118,n
通信,word,电信公司,118,n
通信,word,多路通信,118,n
通信,word,多普勒效应,118,n
通信,word,EDGE,118,n
通信,word,EV-DO,118,n
通信,word,EHRPD,118,n
通信,word,Ethernet/IP,118,n
通信,word,EMBB,118,n
通信,word,ESIM卡,118,n
通信,word,FTTH,118,n
通信,word,FTTX,118,n
通信,word,分布式网络,118,n
通信,word,访问协议,118,n
通信,word,分组交换机,118,n
通信,word,FDD-LTE,118,n
通信,word,非智能终端,118,n
通信,word,分组交换,118,n
通信,word,幅频均衡,118,n
通信,word,分组传送网,118,n
通信,word,FCS系统,118,n
通信,word,蜂窝通信,118,n
