parent,cat,word,word_level,pos
,,行业百科,120,n
行业百科,categories,银行,119,n
行业百科,categories,印刷,119,n
印刷,word,印刷,118,n
印刷,word,凹版印刷,118,n
印刷,word,按需印刷,118,n
印刷,word,包装印刷,118,n
印刷,word,玻璃印刷,118,n
印刷,word,表格印刷,118,n
印刷,word,不干胶印刷,118,n
印刷,word,承印物,118,n
印刷,word,裁切线,118,n
印刷,word,彩色印刷,118,n
印刷,word,磁性油墨印刷,118,n
印刷,word,出版印刷,118,n
印刷,word,重影,118,n
印刷,word,多语言排版,118,n
印刷,word,电解印刷,118,n
印刷,word,单色印刷,118,n
印刷,word,单张印刷,118,n
印刷,word,多色印刷,118,n
印刷,word,复印,118,n
印刷,word,复印效应,118,n
印刷,word,发泡印刷,118,n
印刷,word,防伪印刷,118,n
印刷,word,发行量稽核机构,118,n
印刷,word,滚翻印刷,118,n
印刷,word,功能印刷,118,n
印刷,word,混合印刷服务,118,n
印刷,word,静电印刷,118,n
印刷,word,金属印刷,118,n
印刷,word,机械印刷,118,n
印刷,word,孔版印刷,118,n
印刷,word,拓印,118,n
印刷,word,开孔面积百分率,118,n
印刷,word,离子沉积印刷,118,n
印刷,word,立体印刷,118,n
印刷,word,绿色印刷,118,n
印刷,word,旅游印刷品,118,n
印刷,word,模版印刷,118,n
印刷,word,盲文印刷,118,n
印刷,word,木版水印,118,n
印刷,word,平版印刷,118,n
印刷,word,喷墨印刷,118,n
印刷,word,喷雾印刷,118,n
印刷,word,全自动印刷机,118,n
印刷,word,全息印刷,118,n
印刷,word,曲面印刷,118,n
印刷,word,热敏印刷,118,n
印刷,word,柔性版印刷,118,n
印刷,word,软管印刷,118,n
印刷,word,数字印刷,118,n
印刷,word,手工印刷,118,n
印刷,word,双面印刷,118,n
印刷,word,双色印刷,118,n
印刷,word,塑料印刷,118,n
印刷,word,四色印刷,118,n
印刷,word,凸版印刷,118,n
印刷,word,特种印刷,118,n
印刷,word,烫印,118,n
印刷,word,贴花印刷,118,n
印刷,word,套印,118,n
印刷,word,图书重印,118,n
印刷,word,图书再版,118,n
印刷,word,无版印刷,118,n
印刷,word,网络印刷,118,n
印刷,word,香味印刷,118,n
印刷,word,陷印,118,n
印刷,word,印刷媒介,118,n
印刷,word,压印线,118,n
印刷,word,印刷机,118,n
印刷,word,印刷电路,118,n
印刷,word,印刷纸,118,n
印刷,word,移印,118,n
印刷,word,压印压力,118,n
印刷,word,压印面,118,n
印刷,word,液晶印刷,118,n
印刷,word,印后加工,118,n
印刷,word,印刷适性,118,n
印刷,word,印刷故障,118,n
印刷,word,印刷机械,118,n
印刷,word,印刷计价,118,n
印刷,word,印刷报价,118,n
印刷,word,印刷品,118,n
印刷,word,印刷色,118,n
印刷,word,云印刷,118,n
印刷,word,印刷复制单位,118,n
印刷,word,印刷单位审批,118,n
印刷,word,转印,118,n
印刷,word,自翻身印刷,118,n
印刷,word,折光印刷,118,n
印刷,word,直接印刷,118,n
印刷,word,间接印刷,118,n
印刷,word,织物印刷,118,n
印刷,word,专色印刷,118,n
印刷,word,制版,118,n
银行,categories,贷款,118,n
银行,categories,利率,118,n
银行,categories,银行制度,118,n
银行,categories,商业银行,118,n
银行,categories,商业票据,118,n
银行,categories,投资银行,118,n
银行,categories,信用卡,118,n
银行,categories,银行术语,118,n
银行,categories,银行法规,118,n
银行,categories,银行账户,118,n
银行,categories,银行理论,118,n
银行,categories,银行业务,118,n
银行,categories,银行类型,118,n
银行,categories,银行存款,118,n
银行,categories,银行结算,118,n
银行,categories,银行监管,118,n
银行,categories,银行排行榜,118,n
银行,categories,专业银行,118,n
银行,categories,中央银行,118,n
银行,word,银行,118,n
银行术语,word,常见银行术语英汉对照,117,n
银行术语,word,备付金率,117,n
银行术语,word,不良资产,117,n
银行术语,word,保值贴补率,117,n
银行术语,word,边际储蓄倾向,117,n
银行术语,word,BACS,117,n
银行术语,word,保兑仓,117,n
银行术语,word,备付金比例,117,n
银行术语,word,不良信贷资产,117,n
银行术语,word,标准仓单质押贷款,117,n
银行术语,word,败诉风险,117,n
银行术语,word,不定值保单,117,n
银行术语,word,表内管理方法,117,n
银行术语,word,表外管理方法,117,n
银行术语,word,保证人管理,117,n
银行术语,word,巴塞尔体制,117,n
银行术语,word,标准风险权重,117,n
银行术语,word,被动负债,117,n
银行术语,word,结构性不良资产,117,n
银行术语,word,巴杰特规则,117,n
银行术语,word,拨头寸,117,n
银行术语,word,本金保障,117,n
银行术语,word,承兑交单,117,n
银行术语,word,存款准备金,117,n
银行术语,word,存款准备金政策,117,n
银行术语,word,储蓄机构,117,n
银行术语,word,超额准备金,117,n
银行术语,word,城市信用合作社,117,n
银行术语,word,储蓄成本,117,n
银行术语,word,拆放同业,117,n
银行术语,word,操作风险,117,n
银行术语,word,CHAPS,117,n
银行术语,word,次级债,117,n
银行术语,word,存款乘数,117,n
银行术语,word,存款货币,117,n
银行术语,word,存款稳定率,117,n
银行术语,word,存款创新,117,n
银行术语,word,储值卡,117,n
银行术语,word,储备头寸负债管理,117,n
银行术语,word,存款风险,117,n
银行术语,word,CHIPS,117,n
银行术语,word,存贷款比率,117,n
银行术语,word,财务收入,117,n
银行术语,word,重估储备,117,n
银行术语,word,拆借资金比例,117,n
银行术语,word,储蓄倾向,117,n
银行术语,word,存款创造,117,n
银行术语,word,存贷差额,117,n
银行术语,word,存款结构比率,117,n
银行术语,word,长期存款,117,n
银行术语,word,拆借资金盈亏平衡点,117,n
银行术语,word,存款负债,117,n
银行术语,word,存款与资产比率,117,n
银行术语,word,存款平均利息率,117,n
银行术语,word,出纳差错率,117,n
银行术语,word,出纳交接制度,117,n
银行术语,word,存款承担法,117,n
银行术语,word,出租保管箱业务,117,n
银行术语,word,储蓄曲线,117,n
银行术语,word,出租出借银行账户,117,n
银行术语,word,仓单质押贷款,117,n
银行术语,word,储蓄者剩余,117,n
银行术语,word,存折补登机,117,n
银行术语,word,拆借,117,n
银行术语,word,参与行,117,n
银行术语,word,存款运用率,117,n
银行术语,word,存款管理,117,n
银行术语,word,存款工具创新,117,n
银行术语,word,沉默保兑,117,n
银行术语,word,存差行,117,n
银行术语,word,储蓄结构,117,n
银行术语,word,储蓄能力,117,n
银行术语,word,储蓄凭证,117,n
银行术语,word,储蓄会计档案,117,n
银行术语,word,储蓄面,117,n
银行术语,word,储蓄会计分析,117,n
银行术语,word,储蓄事后监督,117,n
银行术语,word,储蓄内勤,117,n
银行术语,word,存款货币银行,117,n
银行术语,word,存款业务,117,n
银行术语,word,储蓄存款过户或支付,117,n
银行术语,word,存款性金融机构信贷收支统计,117,n
银行术语,word,储蓄业务审计,117,n
银行术语,word,常设借贷便利,117,n
银行术语,word,财务比率指标法,117,n
银行术语,word,出口商授信,117,n
银行术语,word,存贷款期限错配,117,n
银行术语,word,出口信用证保兑,117,n
银行术语,word,存续期缺口,117,n
银行术语,word,超短期理财产品,117,n
银行术语,word,CNAPS行号,117,n
银行术语,word,储蓄卡,117,n
银行术语,word,储蓄存款证券化,117,n
银行术语,word,存贷利差,117,n
银行术语,word,存款保险基金,117,n
银行术语,word,存款偏离度,117,n
银行术语,word,出口应收账款风险参与,117,n
银行术语,word,储蓄动机,117,n
银行术语,word,储蓄心理,117,n
银行术语,word,存款保险,117,n
银行术语,word,存款保险机构,117,n
银行术语,word,存折,117,n
银行术语,word,大额可转让定期存单,117,n
银行术语,word,电汇,117,n
银行术语,word,电话银行系统,117,n
银行术语,word,抵债资产,117,n
银行术语,word,道义劝告,117,n
银行术语,word,抵贷资产,117,n
银行术语,word,贷款准备金率,117,n
银行术语,word,贷记卡,117,n
银行术语,word,贷款头寸负债管理,117,n
银行术语,word,独立支行,117,n
银行术语,word,存款余额,117,n
银行术语,word,电话转账,117,n
银行术语,word,短期拆借市场,117,n
银行术语,word,电子资金划拨,117,n
银行术语,word,大额电子资金划拨,117,n
银行术语,word,垫款,117,n
银行术语,word,担保借款,117,n
银行术语,word,电子联行往来,117,n
银行术语,word,电子汇兑,117,n
银行术语,word,贷款质量比例,117,n
银行术语,word,单位信托存款,117,n
银行术语,word,冻结存款,117,n
银行术语,word,电子汇兑系统,117,n
银行术语,word,贷款指标,117,n
银行术语,word,定期直存款,117,n
银行术语,word,戴帽直存款,117,n
银行术语,word,代理行,117,n
银行术语,word,电子账户,117,n
银行术语,word,电子密押,117,n
银行术语,word,电子资金转账系统,117,n
银行术语,word,贷款风险比率,117,n
银行术语,word,定值保单,117,n
银行术语,word,电汇凭证,117,n
银行术语,word,电子资金传递,117,n
银行术语,word,电子对账系统,117,n
银行术语,word,贷款人受托支付,117,n
银行术语,word,呆账核销,117,n
银行术语,word,抵(质)押品管理,117,n
银行术语,word,抵债资产管理,117,n
银行术语,word,垫头,117,n
银行术语,word,对公账户,117,n
银行术语,word,电子回单柜,117,n
银行术语,word,电子银行风险,117,n
银行术语,word,代客境外理财,117,n
银行术语,word,贷款风险权重,117,n
银行术语,word,单一法人客户,117,n
银行术语,word,多单定存,117,n
银行术语,word,定期转存,117,n
银行术语,word,短期授信,117,n
银行术语,word,多头授信,117,n
银行术语,word,二级存款准备金,117,n
银行术语,word,二级资本,117,n
银行术语,word,儿童银行卡,117,n
银行术语,word,付款交单,117,n
银行术语,word,非借入准备金,117,n
银行术语,word,法定存款准备金率,117,n
银行术语,word,法定存款准备金,117,n
银行术语,word,非利息收入,117,n
银行术语,word,非预期损失,117,n
银行术语,word,放款价格,117,n
银行术语,word,附属债务,117,n
银行术语,word,非生息资产,117,n
银行术语,word,负债流动性,117,n
银行术语,word,风险加权资产,117,n
银行术语,word,负债流动性指标,117,n
银行术语,word,非存款负债,117,n
银行术语,word,发行库,117,n
银行术语,word,放款存款比率,117,n
银行术语,word,负利息,117,n
银行术语,word,风险加权总资产,117,n
银行术语,word,非银行系统,117,n
银行术语,word,附属保单,117,n
银行术语,word,负债成本,117,n
银行术语,word,浮动利率存单,117,n
银行术语,word,非金融机构支付,117,n
银行术语,word,复利期间,117,n
银行术语,word,罚息,117,n
银行术语,word,浮利分费,117,n
银行术语,word,借贷搭售,117,n
银行术语,word,复利效应,117,n
银行术语,word,浮款,117,n
银行术语,word,非对称性加息,117,n
