parent,cat,word,word_level,pos
,,管理百科,120,n
管理百科,categories,知识产权,119,n
,,经济百科,120,n
经济百科,categories,知识产权,119,n
,,金融百科,120,n
,,法律百科,120,n
法律百科,categories,知识产权,119,n
法律百科,categories,国际公约,119,n
法律百科,categories,工商法规,119,n
,,行业百科,120,n
,,综合条目,120,n
综合条目,categories,知识产权,119,n
知识产权,categories,商标,118,n
知识产权,categories,专利,118,n
知识产权,categories,知识产权法规,118,n
知识产权,categories,著作权,118,n
知识产权,word,奥林匹克知识产权,118,n
知识产权,word,避风港原则,118,n
知识产权,word,重印权,118,n
知识产权,word,抵押权登记,118,n
知识产权,word,盗版,118,n
知识产权,word,定限知识产权,118,n
知识产权,word,担保知识产权,118,n
知识产权,word,额头出汗原则,118,n
知识产权,word,附属权,118,n
知识产权,word,非职务技术成果,118,n
知识产权,word,非职务发明,118,n
知识产权,word,发明成果推广,118,n
知识产权,word,法人作品,118,n
知识产权,word,国际知识产权交易,118,n
知识产权,word,国际礼让方式 (知识产权),118,n
知识产权,word,海关知识产权管理,118,n
知识产权,word,红旗原则,118,n
知识产权,word,技术合同法,118,n
知识产权,word,即发侵权,118,n
知识产权,word,角色销售权,118,n
知识产权,word,计算机程序的外型与感觉,118,n
知识产权,word,技术保护措施,118,n
知识产权,word,技术法官,118,n
知识产权,word,科技成果权,118,n
知识产权,word,科技成果财产权,118,n
知识产权,word,跨媒体制作,118,n
知识产权,word,绿色知识产权,118,n
知识产权,word,旅游知识产权,118,n
知识产权,word,侵犯知识产权罪,118,n
知识产权,word,企业知识产权管理,118,n
知识产权,word,企业知识产权规划,118,n
知识产权,word,企业知识产权管理体系,118,n
知识产权,word,企业知识产权管理制度,118,n
知识产权,word,区域知识产权形象,118,n
知识产权,word,区域知识产权,118,n
知识产权,word,User talk:Winzhixing,118,n
知识产权,word,生物盗版,118,n
知识产权,word,301条款,118,n
知识产权,word,涉外版权冲突,118,n
知识产权,word,商业标识,118,n
知识产权,word,商业标识权利冲突,118,n
知识产权,word,数据库权利,118,n
知识产权,word,体育知识产权,118,n
知识产权,word,体育电视版权,118,n
知识产权,word,特殊标志,118,n
知识产权,word,完全知识产权,118,n
知识产权,word,网络侵权,118,n
知识产权,word,网络盗版,118,n
知识产权,word,网络知识产权,118,n
知识产权,word,医药知识产权,118,n
知识产权,word,药品知识产权,118,n
知识产权,word,原样复制,118,n
知识产权,word,知识产权贸易,118,n
知识产权,word,知识产权战略,118,n
知识产权,word,知识产权证券化,118,n
知识产权,word,知识产权转让,118,n
知识产权,word,知识产权评估,118,n
知识产权,word,知识产权权利冲突,118,n
