parent,cat,word,word_level,pos
,,管理百科,120,n
管理百科,categories,人力资源管理,119,n
,,经济百科,120,n
,,金融百科,120,n
,,法律百科,120,n
,,行业百科,120,n
,,综合条目,120,n
人力资源管理,categories,人力资源管理图像,118,n
人力资源管理,categories,工作分析,118,n
人力资源管理,categories,沟通管理,118,n
人力资源管理,categories,岗位评估,118,n
人力资源管理,categories,工作设计,118,n
人力资源管理,categories,绩效管理,118,n
人力资源管理,categories,激励,118,n
人力资源管理,categories,考勤管理,118,n
人力资源管理,categories,人力资源术语,118,n
人力资源管理,categories,人力资源规划,118,n
人力资源管理,categories,人力资源战略,118,n
人力资源管理,categories,人力资源会计,118,n
人力资源管理,categories,人事合同,118,n
人力资源管理,categories,人力资源管理案例,118,n
人力资源管理,categories,人力资源管理理论,118,n
人力资源管理,categories,人力资源管理原理,118,n
人力资源管理,categories,人力资源危机,118,n
人力资源管理,categories,人力资源成本管理,118,n
人力资源管理,categories,人才测评,118,n
人力资源管理,categories,人力资本,118,n
人力资源管理,categories,人力资源类型,118,n
人力资源管理,categories,人事政策,118,n
人力资源管理,categories,人力资源指标,118,n
人力资源管理,categories,人力资源管理工具图像,118,n
人力资源管理,categories,人力资源管理模式,118,n
人力资源管理,categories,人力资源管理制度,118,n
人力资源管理,categories,胜任素质,118,n
人力资源管理,categories,心理测验,118,n
人力资源管理,categories,薪酬管理,118,n
人力资源管理,categories,员工管理,118,n
人力资源管理,categories,职业发展,118,n
人力资源管理,categories,职业培训,118,n
人力资源管理,categories,招聘面试,118,n
人力资源管理,categories,职位,118,n
人力资源管理,categories,自我管理,118,n
人力资源管理,categories,职业阶层,118,n
人力资源管理,categories,职称,118,n
人力资源管理,categories,职务,118,n
人力资源管理,word,人力资源管理,118,n
工作分析,word,工作分析,117,n
工作分析,word,案例分析法,117,n
工作分析,word,ABC分类权重法,117,n
工作分析,word,必要性分析方法,117,n
工作分析,word,部门职责,117,n
工作分析,word,办公桌心理,117,n
工作分析,word,抽屉式管理,117,n
工作分析,word,参与观察法,117,n
工作分析,word,错误分析法,117,n
工作分析,word,测试效度,117,n
工作分析,word,典型事例法,117,n
工作分析,word,点数加权法,117,n
工作分析,word,DACUM分析法,117,n
工作分析,word,DOL分析系统,117,n
