parent,cat,word,word_level,pos
,,管理百科,120,n
管理百科,categories,企业大学,119,n
,,经济百科,120,n
,,金融百科,120,n
,,法律百科,120,n
,,行业百科,120,n
,,综合条目,120,n
综合条目,categories,企业大学,119,n
综合条目,categories,企业大学,119,n
企业大学,word,企业大学,118,n
企业大学,word,阿里学院,118,n
企业大学,word,爱立信中国学院,118,n
企业大学,word,奥康大学,118,n
企业大学,word,春兰学院,118,n
企业大学,word,持续变化模型,118,n
企业大学,word,整合管理发展系统结构模型,118,n
企业大学,word,企业大学轮模型,118,n
企业大学,word,有机战略模型,118,n
企业大学,word,迪斯尼大学,118,n
企业大学,word,DHL物流管理学院,118,n
企业大学,word,GE克劳顿管理学院,118,n
企业大学,word,汉堡包大学,118,n
企业大学,word,海尔大学,118,n
企业大学,word,惠普商学院,118,n
企业大学,word,惠普IT管理学院,118,n
企业大学,word,华为大学,118,n
企业大学,word,华立管理学院,118,n
企业大学,word,湖畔大学,118,n
企业大学,word,IBM中国渠道大学,118,n
企业大学,word,甲骨文学院,118,n
企业大学,word,金蝶大学,118,n
企业大学,word,康佳学院,118,n
企业大学,word,LG商学院,118,n
企业大学,word,联想管理学院,118,n
企业大学,word,摩托罗拉大学,118,n
企业大学,word,蒙牛商学院,118,n
企业大学,word,美特斯邦威大学,118,n
企业大学,word,美的学院,118,n
企业大学,word,美团大学,118,n
企业大学,word,平安大学,118,n
企业大学,word,苹果大学,118,n
企业大学,word,青腾大学,118,n
企业大学,word,睿博商学院,118,n
企业大学,word,神州数码教育学院,118,n
企业大学,word,SBTI企业大学,118,n
企业大学,word,"""双环""中国企业大学管理层发展模型",118,n
企业大学,word,TCL领导力开发学院,118,n
企业大学,word,通用汽车大学,118,n
企业大学,word,腾讯大学,118,n
企业大学,word,西门子管理学院,118,n
企业大学,word,携程大学,118,n
企业大学,word,伊利商学院,118,n
企业大学,word,用友大学,118,n
企业大学,word,中国移动通信管理学院,118,n
企业大学,word,轴承模型,118,n
