parent,cat,word,word_level,pos
,,管理百科,120,n
管理百科,categories,企业文化,119,n
,,经济百科,120,n
,,金融百科,120,n
,,法律百科,120,n
,,行业百科,120,n
,,综合条目,120,n
企业文化,categories,企业文化策略,118,n
企业文化,categories,企业文化理论,118,n
企业文化,categories,企业经营文化,118,n
企业文化,categories,企业文化建设,118,n
企业文化,categories,企业文化图像,118,n
企业文化,categories,知名企业文化,118,n
企业文化,word,企业文化,118,n
企业文化,word,不确定性规避,118,n
企业文化,word,保险企业文化,118,n
企业文化,word,保险文化,118,n
企业文化,word,产品文化,118,n
企业文化,word,财务管理制度文化,118,n
企业文化,word,惰性文化,118,n
企业文化,word,赌徒型文化,118,n
企业文化,word,服务营销文化,118,n
企业文化,word,国际企业文化,118,n
企业文化,word,管理性企业文化,118,n
企业文化,word,高绩效文化,118,n
企业文化,word,过程型文化,118,n
企业文化,word,个人主义与集体主义,118,n
企业文化,word,工作文化,118,n
企业文化,word,功能性工作文化,118,n
企业文化,word,个人主义,118,n
企业文化,word,个人形象资源,118,n
企业文化,word,和谐企业文化,118,n
企业文化,word,合伙文化,118,n
企业文化,word,行业文化,118,n
企业文化,word,行业价值观,118,n
企业文化,word,行业精神,118,n
企业文化,word,环境文化,118,n
企业文化,word,银行合规文化,118,n
企业文化,word,红色企业文化,118,n
企业文化,word,合规文化,118,n
企业文化,word,会社人间,118,n
企业文化,word,工作狂,118,n
企业文化,word,家文化,118,n
企业文化,word,竞争文化,118,n
企业文化,word,家族企业文化,118,n
企业文化,word,绩效文化,118,n
企业文化,word,精神领袖,118,n
企业文化,word,集体主义,118,n
企业文化,word,加班文化,118,n
企业文化,word,酒店文化,118,n
企业文化,word,班组文化建设,118,n
企业文化,word,京东人事与组织效率铁律十四条,118,n
企业文化,word,跨文化冲突,118,n
企业文化,word,客户型企业文化,118,n
企业文化,word,苦干型文化,118,n
企业文化,word,跨文化协调,118,n
企业文化,word,绿色企业形象,118,n
企业文化,word,绿色企业文化,118,n
企业文化,word,流程性工作文化,118,n
