parent,cat,word,word_level,pos
,,管理百科,120,n
,,经济百科,120,n
,,金融百科,120,n
金融百科,categories,保险,119,n
,,法律百科,120,n
,,行业百科,120,n
行业百科,categories,保险,119,n
行业百科,categories,日化,119,n
,,综合条目,120,n
综合条目,categories,排行榜,119,n
日化,categories,化妆品公司,118,n
日化,categories,日用消费品公司,118,n
日化,word,日化,118,n
日化,word,半功效型护肤品,118,n
日化,word,本土日化企业,118,n
日化,word,除臭剂,118,n
日化,word,唇膏,118,n
日化,word,除垢剂,118,n
日化,word,唇彩,118,n
日化,word,地板蜡,118,n
日化,word,碘值,118,n
日化,word,防晒剂,118,n
日化,word,发乳,118,n
日化,word,发蜡,118,n
日化,word,发胶,118,n
日化,word,肥皂,118,n
日化,word,粉底,118,n
日化,word,防晒霜,118,n
日化,word,发泡力,118,n
日化,word,非离子型洗涤剂,118,n
日化,word,干洗剂,118,n
日化,word,隔离霜,118,n
日化,word,钙皂分散剂,118,n
日化,word,功能性护肤品,118,n
日化,word,化妆品,118,n
日化,word,合成洗涤剂,118,n
日化,word,化妆品专业线,118,n
日化,word,合成洗衣粉,118,n
日化,word,护发素,118,n
日化,word,化妆水,118,n
日化,word,花露水,118,n
日化,word,护肤品,118,n
日化,word,化妆品专卖店,118,n
日化,word,匀染剂,118,n
日化,word,焗油,118,n
日化,word,睫毛膏,118,n
日化,word,洁厕剂,118,n
日化,word,口腔用品,118,n
日化,word,空气清新剂,118,n
日化,word,润发油,118,n
日化,word,两性洗涤剂,118,n
日化,word,摩丝,118,n
日化,word,沐浴露,118,n
日化,word,沐浴凝胶,118,n
日化,word,蜜粉,118,n
日化,word,美乳剂,118,n
日化,word,美白祛斑剂,118,n
日化,word,面膜,118,n
日化,word,轻垢型洗涤剂,118,n
日化,word,日化线,118,n
日化,word,柔软剂,118,n
日化,word,染发剂,118,n
日化,word,日化品牌,118,n
日化,word,润肤剂,118,n
日化,word,日化香精,118,n
日化,word,腮红,118,n
日化,word,漱口水,118,n
日化,word,色淀,118,n
日化,word,瞬间粘合剂,118,n
日化,word,生态床上用品,118,n
日化,word,烫发剂,118,n
日化,word,调理香波,118,n
日化,word,脱毛剂,118,n
日化,word,剃须膏,118,n
日化,word,洗手液,118,n
日化,word,洗洁精,118,n
日化,word,香水,118,n
日化,word,洗面奶,118,n
日化,word,洗发水,118,n
日化,word,香皂,118,n
日化,word,洗涤用品,118,n
日化,word,洗衣皂,118,n
日化,word,鞋油,118,n
日化,word,洗漱用品,118,n
日化,word,牙膏,118,n
日化,word,浴盐,118,n
日化,word,浴油,118,n
日化,word,硬挺剂,118,n
日化,word,育发剂,118,n
日化,word,眼影膏,118,n
日化,word,研磨剂,118,n
