parent,cat,word,word_level,pos
,,管理百科,120,n
管理百科,categories,信息管理,119,n
管理百科,categories,信用,119,n
,,经济百科,120,n
,,金融百科,120,n
金融百科,categories,信用,119,n
,,法律百科,120,n
,,行业百科,120,n
,,综合条目,120,n
信息管理,categories,信息管理图像,118,n
信息管理,categories,商业智能,118,n
信息管理,categories,物流信息管理,118,n
信息管理,categories,信息管理术语,118,n
信息管理,categories,信息管理系统,118,n
信息管理,categories,信息化战略,118,n
信息管理,categories,信息技术,118,n
信息管理,categories,信息管理工具,118,n
信息管理,categories,信息类型,118,n
信息管理,word,信息管理,118,n
信息管理系统,word,办公信息系统,117,n
信息管理系统,word,办公室标识系统,117,n
信息管理系统,word,采购管理系统,117,n
信息管理系统,word,车间管理系统,117,n
信息管理系统,word,成本管理系统,117,n
信息管理系统,word,产品信息系统,117,n
信息管理系统,word,财务信息系统,117,n
信息管理系统,word,垂直分销系统,117,n
信息管理系统,word,C4ISR,117,n
信息管理系统,word,采购与应付系统,117,n
信息管理系统,word,财务系统,117,n
信息管理系统,word,成本预警系统,117,n
信息管理系统,word,CDD数据库,117,n
信息管理系统,word,超媒体数据库,117,n
信息管理系统,word,采购退回,117,n
信息管理系统,word,产品电子代码,117,n
信息管理系统,word,城市地价动态监测系统,117,n
信息管理系统,word,车载资讯系统,117,n
信息管理系统,word,乘客信息系统,117,n
信息管理系统,word,电信业务运营支撑系统,117,n
信息管理系统,word,订单管理系统,117,n
信息管理系统,word,电子汇兑系统,117,n
信息管理系统,word,电子资金转账系统,117,n
信息管理系统,word,订单处理系统,117,n
信息管理系统,word,电子数据处理系统,117,n
信息管理系统,word,电子系统,117,n
信息管理系统,word,风险评审技术,117,n
信息管理系统,word,风险管理信息系统,117,n
信息管理系统,word,分布式决策支持系统,117,n
信息管理系统,word,服务传递系统,117,n
信息管理系统,word,分布式系统,117,n
信息管理系统,word,工作流管理系统,117,n
信息管理系统,word,国际营销信息系统,117,n
信息管理系统,word,工作流管理信息系统,117,n
信息管理系统,word,功能建模,117,n
信息管理系统,word,个性化推荐系统,117,n
信息管理系统,word,工作计划系统,117,n
信息管理系统,word,国际营销情报系统,117,n
信息管理系统,word,国际营销调研系统,117,n
信息管理系统,word,国际营销分析系统,117,n
信息管理系统,word,过程分析法,117,n
信息管理系统,word,国际联机检索,117,n
信息管理系统,word,个人征信系统,117,n
信息管理系统,word,供应商管理系统,117,n
信息管理系统,word,会员系统,117,n
信息管理系统,word,货代管理系统,117,n
信息管理系统,word,护理信息系统,117,n
信息管理系统,word,经理信息系统,117,n
信息管理系统,word,决策支持系统,117,n
信息管理系统,word,结构化布线系统,117,n
信息管理系统,word,金旅工程,117,n
信息管理系统,word,经销商管理系统,117,n
信息管理系统,word,教育信息系统,117,n
信息管理系统,word,教育信息管理系统,117,n
信息管理系统,word,进销存管理系统,117,n
信息管理系统,word,会计信息系统,117,n
信息管理系统,word,跨组织信息系统,117,n
信息管理系统,word,客户服务系统,117,n
信息管理系统,word,会计事务处理系统,117,n
信息管理系统,word,会计信息系统评价,117,n
信息管理系统,word,可视图文,117,n
信息管理系统,word,旅游市场营销信息系统,117,n
信息管理系统,word,绿色建筑能效管理系统,117,n
信息管理系统,word,MIS,117,n
信息管理系统,word,目标管理系统,117,n
信息管理系统,word,内容管理系统,117,n
信息管理系统,word,能源管理系统,117,n
信息管理系统,word,企业应用集成,117,n
信息管理系统,word,群体决策支持系统,117,n
信息管理系统,word,全球定位系统,117,n
信息管理系统,word,企业大学系统,117,n
信息管理系统,word,全球信息系统,117,n
信息管理系统,word,全球导航卫星系统,117,n
信息管理系统,word,企业信息生态系统,117,n
信息管理系统,word,辅助全球卫星定位系统,117,n
信息管理系统,word,企业征信系统,117,n
信息管理系统,word,人力资源信息系统,117,n
信息管理系统,word,容灾系统,117,n
信息管理系统,word,人力资本信息系统,117,n
信息管理系统,word,电子绩效支持系统,117,n
信息管理系统,word,REA模型,117,n
信息管理系统,word,市场调研信息系统,117,n
信息管理系统,word,360度回馈信息系统,117,n
信息管理系统,word,数据库管理系统,117,n
信息管理系统,word,设备管理系统,117,n
信息管理系统,word,试验数据管理系统,117,n
信息管理系统,word,数据库系统,117,n
信息管理系统,word,数据仓库模型,117,n
信息管理系统,word,市场预测信息系统,117,n
信息管理系统,word,数据采集系统,117,n
信息管理系统,word,社会信息系统,117,n
信息管理系统,word,事务型信息系统,117,n
信息管理系统,word,市场信息系统,117,n
信息管理系统,word,水平分销系统,117,n
信息管理系统,word,社会经济信息管理,117,n
信息管理系统,word,SAP系统,117,n
信息管理系统,word,关系数据库管理系统,117,n
信息管理系统,word,统计信息系统,117,n
信息管理系统,word,网络营销系统,117,n
信息管理系统,word,网络财务系统,117,n
信息管理系统,word,外部资源管理系统 (计划),117,n
信息管理系统,word,信息检索系统,117,n
信息管理系统,word,信息系统,117,n
信息管理系统,word,销售信息系统,117,n
信息管理系统,word,信息处理系统,117,n
信息管理系统,word,信息网络系统,117,n
信息管理系统,word,信息型信息系统,117,n
信息管理系统,word,信用码征信系统,117,n
信息管理系统,word,营销信息系统,117,n
信息管理系统,word,移动定位系统,117,n
信息管理系统,word,移动定位服务,117,n
信息管理系统,word,营销情报系统,117,n
信息管理系统,word,业务处理系统,117,n
信息管理系统,word,业务建模,117,n
信息管理系统,word,预算管理系统,117,n
信息管理系统,word,医院信息系统,117,n
信息管理系统,word,异构数据库,117,n
信息管理系统,word,远程信息处理系统,117,n
信息管理系统,word,员工信息管理系统,117,n
信息管理系统,word,专家系统,117,n
信息管理系统,word,智能决策支持系统,117,n
信息管理系统,word,职业生涯开发系统,117,n
信息管理系统,word,职业生涯管理系统,117,n
信息管理系统,word,账务处理系统,117,n
信息管理系统,word,制造信息系统,117,n
信息管理系统,word,专家数据库系统,117,n
信息管理系统,word,组织决策支持系统,117,n
信息管理系统,word,资金集中管理系统,117,n
信息管理系统,word,招聘管理系统,117,n
信息管理系统,word,战略型信息系统,117,n
信息管理系统,word,征信数据库,117,n
信息管理系统,word,自动求职跟踪系统,117,n
信息管理术语,word,肮脏数据,117,n
信息管理术语,word,暗数据,117,n
信息管理术语,word,本地数据库,117,n
信息管理术语,word,编码,117,n
信息管理术语,word,半结构化知识系统,117,n
信息管理术语,word,半监督学习,117,n
信息管理术语,word,采样定理,117,n
信息管理术语,word,存储过程,117,n
信息管理术语,word,粗糙集,117,n
信息管理术语,word,CALS计划,117,n
信息管理术语,word,策略信息,117,n
信息管理术语,word,查全率,117,n
信息管理术语,word,查准率,117,n
信息管理术语,word,超媒体方式,117,n
信息管理术语,word,参考数据库,117,n
信息管理术语,word,传播扭曲效应,117,n
信息管理术语,word,持续数据保护,117,n
信息管理术语,word,城市建设档案,117,n
信息管理术语,word,成长型企业信息化,117,n
信息管理术语,word,电话会议,117,n
信息管理术语,word,电视会议,117,n
信息管理术语,word,电子信息源,117,n
信息管理术语,word,都柏林核心元素集,117,n
信息管理术语,word,大众信息流,117,n
信息管理术语,word,大数据,117,n
信息管理术语,word,动态数据压缩,117,n
信息管理术语,word,电信会议,117,n
信息管理术语,word,第三方信息流管理,117,n
信息管理术语,word,电子图书,117,n
信息管理术语,word,多媒体文档数据库,117,n
信息管理术语,word,单用户会计核算软件,117,n
信息管理术语,word,多用户会计核算软件,117,n
信息管理术语,word,电子空间,117,n
信息管理术语,word,大数据战略,117,n
信息管理术语,word,大数据知识服务,117,n
信息管理术语,word,大数据分析,117,n
信息管理术语,word,档案资源,117,n
信息管理术语,word,档案信息资源,117,n
信息管理术语,word,多媒体信息检索,117,n
信息管理术语,word,多媒体信息,117,n
信息管理术语,word,电子信息工程,117,n
信息管理术语,word,动态口令,117,n
信息管理术语,word,单机信息资源,117,n
信息管理术语,word,档案数字化,117,n
信息管理术语,word,电子监理,117,n
信息管理术语,word,电子发现,117,n
信息管理术语,word,电子通讯网络,117,n
信息管理术语,word,EIP系统,117,n
信息管理术语,word,分类检索语言,117,n
信息管理术语,word,服务信息,117,n
信息管理术语,word,非法测绘,117,n
信息管理术语,word,非文献信息源,117,n
信息管理术语,word,分布式数据库,117,n
信息管理术语,word,分布式事务,117,n
信息管理术语,word,分布式工作流管理技术,117,n
信息管理术语,word,工作流,117,n
信息管理术语,word,公共信息资源管理,117,n
信息管理术语,word,工作流管理,117,n
信息管理术语,word,工作流引擎,117,n
信息管理术语,word,个人信息管理,117,n
信息管理术语,word,公共事业信息管理,117,n
信息管理术语,word,工程数据管理,117,n
信息管理术语,word,个体信息交流,117,n
信息管理术语,word,个人信息源,117,n
信息管理术语,word,光盘检索,117,n
信息管理术语,word,个性化信息服务,117,n
信息管理术语,word,个性化信息检索,117,n
信息管理术语,word,过度分享,117,n
信息管理术语,word,骨干数据,117,n
信息管理术语,word,管理服务提供商,117,n
信息管理术语,word,会展信息化管理,117,n
信息管理术语,word,宏观信息管理,117,n
信息管理术语,word,环境扫描,117,n
信息管理术语,word,混合数据库,117,n
信息管理术语,word,行业专利专题数据库,117,n
信息管理术语,word,合作过滤,117,n
信息管理术语,word,呼叫中心数字化管理,117,n
信息管理术语,word,ITIL标准,117,n
信息管理术语,word,IT规划,117,n
信息管理术语,word,IT黑洞,117,n
信息管理术语,word,IT融合,117,n
信息管理术语,word,信息受理,117,n
信息管理术语,word,ICO,117,n
信息管理术语,word,价格信息管理,117,n
信息管理术语,word,价格信息,117,n
