parent,cat,word,word_level,pos
,,管理百科,120,n
管理百科,categories,审计,119,n
,,经济百科,120,n
,,金融百科,120,n
金融百科,categories,信托,119,n
,,法律百科,120,n
,,行业百科,120,n
,,综合条目,120,n
审计,categories,财务管理审计,118,n
审计,categories,管理审计,118,n
审计,categories,内部审计,118,n
审计,categories,审计方法,118,n
审计,categories,审计风险,118,n
审计,categories,审计计划,118,n
审计,categories,审计报告,118,n
审计,categories,审计术语,118,n
审计,categories,审计类型,118,n
审计,categories,审计方式,118,n
审计,categories,审计制度,118,n
审计,word,审计,118,n
审计,word,重要性水平,118,n
信托,categories,信托种类,118,n
信托,categories,信托术语,118,n
信托,categories,信托公司,118,n
审计风险,word,审计风险,117,n
审计风险,word,抽样风险,117,n
审计风险,word,非抽样风险,117,n
审计风险,word,固定资产审计风险,117,n
审计风险,word,国家审计风险,117,n
审计风险,word,计算机审计风险,117,n
审计风险,word,经营风险审计,117,n
审计风险,word,经济责任审计风险,117,n
审计风险,word,可接受审计风险,117,n
审计风险,word,离任审计风险,117,n
审计风险,word,内部审计风险,117,n
审计风险,word,评估审计风险,117,n
审计风险,word,审计检查风险,117,n
审计风险,word,审计控制风险,117,n
审计风险,word,审计道德风险,117,n
审计风险,word,审计职业风险,117,n
审计风险,word,审计项目风险,117,n
审计风险,word,审计风险检查,117,n
审计风险,word,特别风险,117,n
审计风险,word,终极审计风险,117,n
审计风险,word,重大错报风险,117,n
审计方法,word,审计方法,117,n
审计方法,word,并行审计技术,117,n
审计方法,word,报表项目法,117,n
审计方法,word,合理性测试法,117,n
审计方法,word,标准对比审计法,117,n
审计方法,word,初步审计策略,117,n
审计方法,word,穿行试验法,117,n
审计方法,word,存货截止测试,117,n
审计方法,word,测试表法,117,n
审计方法,word,抽样审计法,117,n
审计方法,word,程序检查法,117,n
审计方法,word,重制法,117,n
审计方法,word,多功能审计方案,117,n
审计方法,word,调查询问法,117,n
审计方法,word,定性审计方法,117,n
审计方法,word,对比审计法,117,n
审计方法,word,发票辨别法,117,n
审计方法,word,符合性测试,117,n
审计方法,word,风险因素分析法,117,n
审计方法,word,分析性测试,117,n
审计方法,word,分组计算审计法,117,n
审计方法,word,范围检查法,117,n
审计方法,word,辅助审计技术,117,n
审计方法,word,红旗标志法,117,n
审计方法,word,基本审计技术,117,n
审计方法,word,具体审计技术,117,n
审计方法,word,较低的控制风险估计水平法,117,n
审计方法,word,控制测试,117,n
审计方法,word,控制设计测试,117,n
审计方法,word,控制执行测试,117,n
审计方法,word,会计资料检查法,117,n
审计方法,word,流程图描述法,117,n
审计方法,word,Low-bailing,117,n
审计方法,word,模拟数据法,117,n
审计方法,word,内部控制自评,117,n
审计方法,word,全面审计法,117,n
审计方法,word,任意抽查法,117,n
审计方法,word,实质性测试,117,n
审计方法,word,审计调查,117,n
审计方法,word,审计查询,117,n
审计方法,word,审计技术方法,117,n
审计方法,word,审计战略方法,117,n
审计方法,word,审计分析方法,117,n
审计方法,word,实物检查法,117,n
审计方法,word,审计询问,117,n
审计方法,word,审计手续方法,117,n
