parent,cat,word,word_level,pos
,,管理百科,120,n
管理百科,categories,公共关系,119,n
,,经济百科,120,n
,,金融百科,120,n
,,法律百科,120,n
,,行业百科,120,n
,,综合条目,120,n
公共关系,categories,公共关系图像,118,n
公共关系,categories,公关公司,118,n
公共关系,categories,公文,118,n
公共关系,categories,公关策略,118,n
公共关系,categories,公关危机,118,n
公共关系,categories,公关术语,118,n
公共关系,categories,公众类型,118,n
公共关系,categories,公共关系类型,118,n
公共关系,categories,商业活动,118,n
公共关系,categories,谈判,118,n
公共关系,word,公共关系,118,n
公共关系,word,巴纳姆时期,118,n
公关危机,word,公关危机,117,n
公关危机,word,公共性危机,117,n
公关危机,word,产品质量危机,117,n
公关危机,word,非人为公关危机,117,n
公关危机,word,公共危机事件,117,n
公关危机,word,连续性危机,117,n
公关危机,word,媒体危机,117,n
公关危机,word,内部公关危机,117,n
公关危机,word,人为公关危机,117,n
公关危机,word,事故性危机,117,n
公关危机,word,受害性危机,117,n
公关危机,word,素质危机,117,n
公关危机,word,商誉危机,117,n
公关危机,word,史翠珊效应,117,n
公关危机,word,突变危机,117,n
公关危机,word,外部公关危机,117,n
公关危机,word,无形公关危机,117,n
公关危机,word,误解性危机,117,n
公关危机,word,显在危机,117,n
公关危机,word,有形公关危机,117,n
公关危机,word,灾害性危机,117,n
公关危机,word,灾变危机,117,n
公关危机,word,政府关系危机,117,n
公关策略,word,公共关系策略,117,n
公关策略,word,变换组合法,117,n
公关策略,word,榜样法,117,n
公关策略,word,兵行诡道法,117,n
公关策略,word,冲击式劝导,117,n
公关策略,word,导引式沟通,117,n
公关策略,word,淡化处理策略,117,n
公关策略,word,服务主题包装策略,117,n
公关策略,word,服务规范运作策略,117,n
公关策略,word,服务适度展示策略,117,n
公关策略,word,公共关系调查法,117,n
公关策略,word,宏扬优势法,117,n
公关策略,word,活动宣传策略,117,n
公关策略,word,唤起恐惧策略,117,n
公关策略,word,后发型策略,117,n
公关策略,word,轰动效应,117,n
公关策略,word,借题发挥法,117,n
公关策略,word,浸润法,117,n
公关策略,word,借势法,117,n
公关策略,word,类比策划法,117,n
公关策略,word,灵感激发法,117,n
公关策略,word,弥补缺点法,117,n
公关策略,word,明星宣传策略,117,n
公关策略,word,逆行式劝导,117,n
公关策略,word,奇正相法,117,n
公关策略,word,情谊联络策略,117,n
公关策略,word,情感交流策略,117,n
公关策略,word,劝导法,117,n
公关策略,word,如实宣传策略,117,n
公关策略,word,疏浚式沟通,117,n
公关策略,word,同中求异法,117,n
公关策略,word,体态语言规范策略,117,n
公关策略,word,微笑表达策略,117,n
公关策略,word,危机领导法,117,n
公关策略,word,形象危机防范,117,n
公关策略,word,宣传性公关模式,117,n
公关策略,word,先机型策略,117,n
公关策略,word,心理换位法,117,n
公关策略,word,移花接木法,117,n
公关策略,word,以攻为守法,117,n
公关策略,word,以诚换诚法,117,n
公关策略,word,语言感化策略,117,n
公关策略,word,诱引法 (公关),117,n
公关策略,word,因素组合法 （公关）,117,n
公关策略,word,预热策略,117,n
公关策略,word,语意级差法,117,n
公关策略,word,组合策划法,117,n
公关策略,word,赞美贴近策略,117,n
公关策略,word,择时造势法,117,n
公关策略,word,目标延伸法,117,n
公关策略,word,直泻式劝导,117,n
公关策略,word,造势法,117,n
公文,word,闭幕词,117,n
公文,word,备忘录,117,n
公文,word,报告,117,n
公文,word,办法(文书),117,n
公文,word,白皮书,117,n
公文,word,传真,117,n
公文,word,调档函,117,n
公文,word,公关公文,117,n
公文,word,公关信函,117,n
公文,word,祝词,117,n
公文,word,公关危机处理书,117,n
公文,word,规定,117,n
公文,word,公文催办,117,n
公文,word,公文查办,117,n
公文,word,公文批办,117,n
公文,word,公文办理程序,117,n
公文,word,公文常用特定用语简表,117,n
公文,word,公文立卷,117,n
公文,word,公文流转,117,n
公文,word,国情咨文,117,n
公文,word,贺信(电),117,n
公文,word,会议公文,117,n
公文,word,红头文件,117,n
公文,word,介绍信,117,n
公文,word,简报,117,n
公文,word,讲话稿,117,n
公文,word,经济公文,117,n
公文,word,技术公文,117,n
公文,word,军事公文,117,n
公文,word,决定 (公文),117,n
公文,word,经济蓝皮书,117,n
公文,word,开幕词,117,n
公文,word,开业启事,117,n
公文,word,科技公文,117,n
公文,word,礼仪类文书,117,n
公文,word,绿皮书,117,n
公文,word,命令 (令),117,n
公文,word,公文拟办,117,n
公文,word,聘书,117,n
公文,word,评估报告,117,n
公文,word,批复,117,n
公文,word,批答函,117,n
公文,word,拍品评估报告,117,n
公文,word,请柬,117,n
公文,word,启事,117,n
公文,word,迁址启事,117,n
公文,word,请示,117,n
公文,word,请批函,117,n
公文,word,涉外商务信函,117,n
公文,word,商业启事,117,n
公文,word,商业声明,117,n
公文,word,商务决定,117,n
公文,word,商务公函,117,n
公文,word,生活演讲稿,117,n
公文,word,手写式介绍信,117,n
公文,word,商洽函,117,n
公文,word,司法公文,117,n
公文,word,税务令函,117,n
公文,word,商调函,117,n
公文,word,商务信函,117,n
公文,word,推荐信,117,n
公文,word,通用公文,117,n
公文,word,通告,117,n
公文,word,通知,117,n
公文,word,通报,117,n
公文,word,条例,117,n
公文,word,问答函,117,n
公文,word,外交公文,117,n
公文,word,文书,117,n
公文,word,文书管理,117,n
公文,word,文书档案,117,n
公文,word,文书档案管理,117,n
公文,word,文书归档,117,n
公文,word,文书登记,117,n
公文,word,文书分办,117,n
公文,word,文书封发,117,n
公文,word,文书签收,117,n
公文,word,信息类公文,117,n
公文,word,行文规则,117,n
公文,word,行文关系,117,n
公文,word,行文方式,117,n
公文,word,演讲稿,117,n
公文,word,印刷式介绍信,117,n
公文,word,意见,117,n
公文,word,议案,117,n
公文,word,证明信,117,n
公文,word,招商启事,117,n
公文,word,征集启事,117,n
公文,word,政治类演讲稿,117,n
公文,word,专用公文,117,n
公文,word,知照函,117,n
公文,word,指导性意见,117,n
公文,word,章程,117,n
公关公司,categories,公关公司标志,117,n
公关公司,word,奥美公共关系国际集团,117,n
