parent,cat,word,word_level,pos
,,管理百科,120,n
,,经济百科,120,n
,,金融百科,120,n
,,法律百科,120,n
,,行业百科,120,n
行业百科,categories,化工,119,n
,,综合条目,120,n
化工,categories,化工公司,118,n
化工,word,化学工业,118,n
化工,word,爆炸极限,118,n
化工,word,饱和蒸汽压,118,n
化工,word,苯胺点,118,n
化工,word,表面活性剂,118,n
化工,word,保湿剂,118,n
化工,word,被膜剂,118,n
化工,word,泵送剂,118,n
化工,word,催化重整,118,n
化工,word,萃取精馏,118,n
化工,word,萃取剂,118,n
化工,word,除草剂,118,n
化工,word,除臭剂,118,n
化工,word,纯碱工业,118,n
化工,word,持久性有机污染物,118,n
化工,word,磁性材料,118,n
化工,word,超导材料,118,n
化工,word,超高温材料,118,n
化工,word,磁性纳米材料,118,n
化工,word,成核剂,118,n
化工,word,超分散剂,118,n
化工,word,触变剂,118,n
化工,word,催干剂,118,n
化工,word,除垢剂,118,n
化工,word,单效蒸发,118,n
化工,word,多效蒸发,118,n
化工,word,电化学工业,118,n
化工,word,电子化学品,118,n
化工,word,电子封装材料,118,n
化工,word,碘值,118,n
化工,word,二次成核,118,n
化工,word,氟化工,118,n
化工,word,防腐剂,118,n
化工,word,分散染料,118,n
化工,word,浮选剂,118,n
化工,word,纺织化学品,118,n
化工,word,非晶态材料,118,n
化工,word,封装材料,118,n
化工,word,复合纳米材料,118,n
化工,word,非离子型表面活性剂,118,n
化工,word,防老剂,118,n
化工,word,发泡剂,118,n
化工,word,防雾剂,118,n
化工,word,分散剂,118,n
化工,word,防晒剂,118,n
化工,word,发色剂,118,n
化工,word,防冻剂,118,n
化工,word,放大效应,118,n
化工,word,硅胶,118,n
化工,word,共沸精馏,118,n
化工,word,感光材料,118,n
化工,word,功能高分子材料,118,n
化工,word,高分子絮凝剂,118,n
化工,word,高性能结构材料,118,n
化工,word,光催化材料,118,n
化工,word,改性塑料,118,n
化工,word,工程塑料,118,n
化工,word,功能性空气过滤材料,118,n
化工,word,高性能塑料合金,118,n
化工,word,工程塑料合金,118,n
化工,word,高分子纳米复合材料,118,n
化工,word,贵金属纳米材料,118,n
化工,word,光稳定剂,118,n
化工,word,固化剂,118,n
化工,word,干洗剂,118,n
化工,word,固硫剂,118,n
化工,word,高效减水剂,118,n
化工,word,钙皂分散剂,118,n
化工,word,挥发性有机化合物,118,n
化工,word,合成气,118,n
化工,word,环烷烃,118,n
化工,word,化工轻油,118,n
化工,word,合成材料助剂,118,n
化工,word,合成橡胶,118,n
化工,word,化妆品,118,n
化工,word,化学肥料,118,n
化工,word,还原染料,118,n
化工,word,活性染料,118,n
化工,word,合成染料,118,n
化工,word,合成洗涤剂,118,n
化工,word,合成润滑油,118,n
