parent,cat,word,word_level,pos
,,管理百科,120,n
,,经济百科,120,n
,,金融百科,120,n
,,法律百科,120,n
法律百科,categories,商法学,119,n
,,行业百科,120,n
,,综合条目,120,n
商法学,word,单方商行为,118,n
商法学,word,附属商行为,118,n
商法学,word,国有商法人,118,n
商法学,word,行纪商,118,n
商法学,word,基本商行为,118,n
商法学,word,集体商法人,118,n
商法学,word,居间商,118,n
商法学,word,开业登记,118,n
商法学,word,民商合一,118,n
商法学,word,民商分立,118,n
商法学,word,商行为,118,n
商法学,word,商主体,118,n
商法学,word,商事法,118,n
商法学,word,商事法律关系,118,n
商法学,word,商事能力,118,n
商法学,word,商法人,118,n
商法学,word,商辅助人,118,n
商法学,word,商法学,118,n
商法学,word,双方商行为,118,n
商法学,word,私营商法人,118,n
商法学,word,商个人,118,n
商法学,word,商事买卖,118,n
商法学,word,商事名称权,118,n
商法学,word,商事登记效力,118,n
商法学,word,商事登记机关,118,n
商法学,word,商事变更登记,118,n
商法学,word,商事营业能力,118,n
商法学,word,推定商行为,118,n
商法学,word,相对商行为,118,n
商法学,word,绝对商行为,118,n
商法学,word,中华人民共和国外商投资法,118,n
