parent,cat,word,word_level,pos
,,管理百科,120,n
,,经济百科,120,n
经济百科,categories,国际经济合作,119,n
经济百科,categories,经济效益,119,n
经济百科,categories,市场壁垒,119,n
经济百科,categories,生产要素,119,n
经济百科,categories,市场规则,119,n
,,金融百科,120,n
,,法律百科,120,n
,,行业百科,120,n
,,综合条目,120,n
生产要素,word,生产要素,118,n
生产要素,word,不变资本,118,n
生产要素,word,产品,118,n
生产要素,word,初级产品,118,n
生产要素,word,长期,118,n
生产要素,word,产业资本国际化,118,n
生产要素,word,产品变异,118,n
生产要素,word,插花地,118,n
生产要素,word,城市边角地,118,n
生产要素,word,短期,118,n
生产要素,word,地主土地所有制,118,n
生产要素,word,法人资本,118,n
生产要素,word,固定资本,118,n
生产要素,word,个别资本,118,n
生产要素,word,国有资本,118,n
生产要素,word,国家土地所有制,118,n
生产要素,word,工业制成品,118,n
生产要素,word,环境资本,118,n
生产要素,word,货币资本国际化,118,n
生产要素,word,生产资本国际化,118,n
生产要素,word,借贷资本国际化,118,n
生产要素,word,基本建设转入,118,n
生产要素,word,价值实现,118,n
生产要素,word,可变资本,118,n
生产要素,word,流通资本,118,n
生产要素,word,流动资本,118,n
生产要素,word,劳动效率,118,n
生产要素,word,劳动对象,118,n
生产要素,word,劳动资料,118,n
生产要素,word,劳动分工,118,n
生产要素,word,劳动力过剩,118,n
生产要素,word,劳动力市场均衡,118,n
生产要素,word,劳动力多元化,118,n
生产要素,word,劳动手段,118,n
生产要素,word,劳动力,118,n
生产要素,word,劳动力信息,118,n
生产要素,word,劳动力价值,118,n
生产要素,word,劳动资本,118,n
生产要素,word,劳动力套利,118,n
生产要素,word,劳动积累,118,n
生产要素,word,民族资本,118,n
生产要素,word,民间社会资本,118,n
生产要素,word,农业剩余劳动力,118,n
生产要素,word,农村工业产品,118,n
生产要素,word,农业劳动积累,118,n
生产要素,word,农业劳动力,118,n
生产要素,word,农村剩余劳动力,118,n
生产要素,word,企业社会资本,118,n
生产要素,word,全球产品,118,n
生产要素,word,人才资本,118,n
生产要素,word,软知本,118,n
生产要素,word,社会资本,118,n
生产要素,word,商品资本,118,n
生产要素,word,生产资本,118,n
生产要素,word,生产资料,118,n
生产要素,word,私人劳动,118,n
生产要素,word,社会劳动,118,n
生产要素,word,生产集中,118,n
生产要素,word,生产要素充裕,118,n
生产要素,word,生产要素密集度逆转,118,n
生产要素,word,生产要素积累,118,n
生产要素,word,生产要素需求,118,n
生产要素,word,生产要素供给,118,n
生产要素,word,生产要素结构,118,n
生产要素,word,生产要素拥挤,118,n
生产要素,word,生产工具,118,n
生产要素,word,生产要素最优组合,118,n
生产要素,word,生产现场,118,n
生产要素,word,社会主义积累,118,n
