parent,cat,word,word_level,pos
,,管理百科,120,n
,,经济百科,120,n
,,金融百科,120,n
,,法律百科,120,n
,,行业百科,120,n
行业百科,categories,报刊杂志,119,n
行业百科,categories,培训,119,n
行业百科,categories,汽车,119,n
,,综合条目,120,n
汽车,categories,客车公司,118,n
汽车,categories,汽车公司,118,n
汽车,word,汽车,118,n
汽车,word,安全气囊,118,n
汽车,word,安全带,118,n
汽车,word,变速箱,118,n
汽车,word,CDV车,118,n
汽车,word,CUV车,118,n
汽车,word,车载电视,118,n
汽车,word,车联网,118,n
汽车,word,车型,118,n
汽车,word,纯电动汽车,118,n
汽车,word,车域网,118,n
汽车,word,车辆自组网,118,n
汽车,word,出租车牌照,118,n
汽车,word,出租车,118,n
汽车,word,出租车承包挂靠制,118,n
汽车,word,出租车份子钱,118,n
汽车,word,车奴,118,n
汽车,word,电瓶,118,n
汽车,word,打车软件,118,n
汽车,word,电动汽车,118,n
汽车,word,DSRC,118,n
汽车,word,防抱死制动系统,118,n
汽车,word,分时租车,118,n
汽车,word,概念车,118,n
汽车,word,购车摇号,118,n
汽车,word,活塞,118,n
汽车,word,混合动力汽车,118,n
汽车,word,后视镜,118,n
汽车,word,合成润滑油,118,n
汽车,word,互联网汽车,118,n
汽车,word,合资自主品牌,118,n
汽车,word,黑车,118,n
汽车,word,合资车,118,n
汽车,word,黄标车,118,n
汽车,word,互联网造车,118,n
汽车,word,空气阻力系数,118,n
汽车,word,绿色汽车,118,n
汽车,word,离合器,118,n
汽车,word,零整比系数,118,n
汽车,word,MPV车,118,n
汽车,word,农用汽车,118,n
汽车,word,皮卡车,118,n
汽车,word,排量,118,n
汽车,word,拼车,118,n
汽车,word,汽车金融,118,n
汽车,word,汽车空气动力学,118,n
汽车,word,汽车底盘,118,n
汽车,word,气缸,118,n
汽车,word,汽车召回,118,n
汽车,word,汽车节能,118,n
汽车,word,汽车团购,118,n
汽车,word,汽车零部件,118,n
汽车,word,汽车运用效率指标,118,n
汽车,word,汽车消费,118,n
汽车,word,汽车保险理赔,118,n
汽车,word,汽车工业,118,n
汽车,word,汽车后市场,118,n
汽车,word,汽车众筹,118,n
汽车,word,燃料电池,118,n
汽车,word,燃料电池电动汽车,118,n
汽车,word,4S店,118,n
汽车,word,SUV车,118,n
汽车,word,SRV车,118,n
汽车,word,SAV车,118,n
汽车,word,刹车片,118,n
汽车,word,双离合器变速器,118,n
汽车,word,3D打印汽车,118,n
汽车,word,拖拉机,118,n
汽车,word,V2V通信,118,n
汽车,word,无人驾驶汽车,118,n
汽车,word,网约车,118,n
汽车,word,无人驾驶出租车,118,n
汽车,word,新能源汽车,118,n
汽车,word,限牌,118,n
汽车,word,小排量汽车,118,n
