parent,cat,word,word_level,pos
,,管理百科,120,n
,,经济百科,120,n
,,金融百科,120,n
,,法律百科,120,n
,,行业百科,120,n
行业百科,categories,家居,119,n
,,综合条目,120,n
家居,categories,家居用品公司,118,n
家居,categories,建材,118,n
家居,categories,家具,118,n
家居,word,家居,118,n
家居,word,包工包料,118,n
家居,word,包清工,118,n
家居,word,包工辅料,118,n
家居,word,初装修,118,n
家居,word,床上用品,118,n
家居,word,公装,118,n
家居,word,家具,118,n
家居,word,集成家居,118,n
家居,word,家装,118,n
家居,word,家居设计,118,n
家居,word,家居设计师,118,n
家居,word,精装修,118,n
家居,word,家居智能化,118,n
家居,word,绿色家居,118,n
家居,word,绿色家电,118,n
家居,word,配筋率,118,n
家居,word,网络家电,118,n
家居,word,信息家电,118,n
家居,word,住宅装饰装修,118,n
家居,word,智能家居,118,n
家居,word,智能家电,118,n
家居,word,装修流程,118,n
建材,word,建材,117,n
建材,word,工程塑料合金,117,n
建材,word,混凝土外加剂,117,n
建材,word,建材工业,117,n
建材,word,建材物流,117,n
建材,word,铝合金,117,n
建材,word,绿色建材,117,n
建材,word,石灰,117,n
建材,word,塑料建材,117,n
建材,word,铁合金,117,n
家居用品公司,categories,家居用品公司标志,117,n
家居用品公司,word,爱生雅集团,117,n
家居用品公司,word,德国诺沃芬集团,117,n
家居用品公司,word,德国欧倍德公司,117,n
家居用品公司,word,美国劳氏公司,117,n
家居用品公司,word,美国科勒公司,117,n
家居用品公司,word,瑞典宜家家居公司,117,n
家居用品公司,word,苏泊尔集团,117,n
家居用品公司,word,辉煌水暖公司,117,n
家居用品公司,word,席梦思公司,117,n
家居用品公司,word,英国翠丰集团,117,n
家居用品公司,word,亚萨合莱,117,n
