parent,cat,word,word_level,pos
,,管理百科,120,n
管理百科,categories,广告,119,n
,,经济百科,120,n
,,金融百科,120,n
,,法律百科,120,n
,,行业百科,120,n
行业百科,categories,广告,119,n
,,综合条目,120,n
广告,categories,广告公司,118,n
广告,categories,广告人物,118,n
广告,categories,广告术语,118,n
广告,categories,广告理论,118,n
广告,categories,广告奖,118,n
广告,categories,公关公司,118,n
广告,categories,广告协会,118,n
广告,categories,广告类型,118,n
广告,categories,广告形式,118,n
广告,categories,广告要素,118,n
广告,categories,广告策略,118,n
广告,categories,广告收费模式,118,n
广告,categories,广告预算,118,n
广告,categories,广告创意,118,n
广告,categories,广告评估,118,n
广告,categories,广告指标,118,n
广告,categories,广告媒体,118,n
广告,categories,广告效果,118,n
广告,categories,媒介公司,118,n
广告,word,广告,118,n
广告,word,错失恐惧症,118,n
广告,word,软性推销派,118,n
广告,word,四大联想律,118,n
广告,word,硬性推销派,118,n
广告理论,categories,广告理论图像,117,n
广告理论,categories,广告预算理论,117,n
广告理论,categories,广告创意理论,117,n
广告理论,word,5W理论,117,n
广告理论,word,AIDAS原理,117,n
广告理论,word,奥克的四步创意模式,117,n
广告理论,word,AIDMA法则,117,n
广告理论,word,B/W模式,117,n
广告理论,word,Bedell模型,117,n
广告理论,word,补隙定位,117,n
广告理论,word,产品彩色矩阵,117,n
广告理论,word,纯暴露理论,117,n
广告理论,word,定位理论,117,n
广告理论,word,达彼思的品牌精髓/轮盘,117,n
广告理论,word,DAGMAR模式,117,n
广告理论,word,大卫·奥格威的广告准则,117,n
广告理论,word,低卷入学习模式,117,n
广告理论,word,对真实的社会建构,117,n
广告理论,word,二阶段认知反应模型,117,n
广告理论,word,FCB方格,117,n
广告理论,word,弗洛伊德的需求理论,117,n
广告理论,word,共鸣论,117,n
广告理论,word,广告定位,117,n
广告理论,word,归类评价模式,117,n
广告理论,word,广告效果累积的二因素说,117,n
广告理论,word,关心点理论,117,n
广告理论,word,广告效果模型,117,n
广告理论,word,哈贝马斯的公共领域理论,117,n
广告理论,word,监看制,117,n
广告理论,word,库恩广告时机模型,117,n
广告理论,word,克鲁门的三打理论,117,n
广告理论,word,L&S模式,117,n
广告理论,word,理夫斯“UP”评估模型,117,n
广告理论,word,拉扎斯菲尔德的两级传播论,117,n
广告理论,word,赖利夫妇的传播系统模式,117,n
广告理论,word,魔弹论,117,n
广告理论,word,马莱兹克的系统模式,117,n
广告理论,word,品牌形象论,117,n
广告理论,word,品牌个性论,117,n
广告理论,word,培养理论,117,n
广告理论,word,品名定位,117,n
广告理论,word,情感销售主张,117,n
广告理论,word,抢先定位,117,n
广告理论,word,强化定位,117,n
广告理论,word,强大效果论,117,n
广告理论,word,认知反应模式,117,n
广告理论,word,知识反映分析理论,117,n
广告理论,word,认知结构模式,117,n
广告理论,word,说服的传播模型,117,n
广告理论,word,斯塔齐的“NETAPPS”评估模型,117,n
广告理论,word,施拉姆公式,117,n
广告理论,word,使用与满足理论,117,n
广告理论,word,受众选择“3S”论,117,n
广告理论,word,适度效果论,117,n
广告理论,word,TG&AL理念,117,n
广告理论,word,态度改变理论,117,n
广告理论,word,USP,117,n
广告理论,word,威廉·伯恩巴克的实施过程重心法,117,n
广告理论,word,沃尔夫“PFA”评估模型,117,n
广告理论,word,威廉·麦奎尔的预防接种理论,117,n
广告理论,word,韦斯特利-麦克莱恩模式,117,n
广告理论,word,详尽可能性模型,117,n
广告理论,word,讯息模式法,117,n
广告理论,word,消除不满论,117,n
广告理论,word,选择理论,117,n
广告理论,word,形象定位,117,n
广告理论,word,心理定位,117,n
广告理论,word,香农-施拉姆模式,117,n
广告理论,word,压力反应论,117,n
广告理论,word,有限效果论,117,n
广告理论,word,原生广告,117,n
广告理论,word,植田T理论,117,n
广告理论,word,智威汤逊全方位创建品牌,117,n
广告理论,word,主动学习论,117,n
广告术语,categories,广告术语图像,117,n
广告术语,word,AE,117,n
广告术语,word,Ad Exchange,117,n
广告术语,word,保牌广告目标,117,n
广告术语,word,差别阈限,117,n
广告术语,word,传播学,117,n
广告术语,word,创意传播管理,117,n
广告术语,word,传者,117,n
广告术语,word,超范围经营广告业务,117,n
广告术语,word,程序化购买,117,n
广告术语,word,传播障碍,117,n
广告术语,word,传播隔阂,117,n
广告术语,word,大众传播,117,n
广告术语,word,广告代理费,117,n
广告术语,word,多语言排版,117,n
广告术语,word,大众传播学,117,n
广告术语,word,大众传播媒介机构,117,n
广告术语,word,电视广告制作,117,n
广告术语,word,电视文化,117,n
广告术语,word,电视广告语,117,n
广告术语,word,电视产品,117,n
广告术语,word,电视节目,117,n
广告术语,word,大众文化,117,n
广告术语,word,单个媒体策略,117,n
广告术语,word,打击伪冒广告策略,117,n
广告术语,word,第三方广告联盟,117,n
广告术语,word,点击欺诈,117,n
广告术语,word,大众传播者,117,n
广告术语,word,大广告时代,117,n
广告术语,word,第二传播,117,n
广告术语,word,代际营销,117,n
广告术语,word,二次售卖,117,n
广告术语,word,分众传播,117,n
广告术语,word,房地产广告策划,117,n
广告术语,word,非法经营广告,117,n
广告术语,word,非法设置户外广告,117,n
广告术语,word,发行量稽核机构,117,n
广告术语,word,覆盖域,117,n
广告术语,word,广告术语英汉对照,117,n
广告术语,word,广告预算,117,n
广告术语,word,广告信息决策,117,n
广告术语,word,广告媒体决策,117,n
广告术语,word,广告心理学,117,n
广告术语,word,广告策划,117,n
广告术语,word,公关传播,117,n
广告术语,word,广告内容最低标准,117,n
广告术语,word,广告调查,117,n
