parent,cat,word,word_level,pos
,,管理百科,120,n
,,经济百科,120,n
,,金融百科,120,n
,,法律百科,120,n
,,行业百科,120,n
行业百科,categories,建筑,119,n
,,综合条目,120,n
建筑,categories,建筑材料公司,118,n
建筑,categories,建筑设计所,118,n
建筑,categories,建材,118,n
建筑,word,建筑,118,n
建筑,word,玻璃,118,n
建筑,word,标高,118,n
建筑,word,变形缝,118,n
建筑,word,办公空间规划,118,n
建筑,word,办公辅助空间,118,n
建筑,word,板柱结构,118,n
建筑,word,博览建筑,118,n
建筑,word,办公室内部设计,118,n
建筑,word,承重墙,118,n
建筑,word,采光井,118,n
建筑,word,初装修,118,n
建筑,word,餐饮建筑,118,n
建筑,word,产业建筑,118,n
建筑,word,传统邻里开发,118,n
建筑,word,城市建筑短命症,118,n
建筑,word,垂直城市,118,n
建筑,word,地下工程,118,n
建筑,word,地标,118,n
建筑,word,定位轴线,118,n
建筑,word,低碳建筑,118,n
建筑,word,大量性建筑,118,n
建筑,word,大型性建筑,118,n
建筑,word,滴水线,118,n
建筑,word,带型城市,118,n
建筑,word,房屋构件,118,n
建筑,word,非承重墙,118,n
建筑,word,方格形城市,118,n
建筑,word,分户验收,118,n
建筑,word,构筑物,118,n
建筑,word,钢筋混凝土,118,n
建筑,word,隔墙,118,n
建筑,word,构造柱,118,n
建筑,word,钢筋,118,n
建筑,word,隔断,118,n
建筑,word,工业建筑,118,n
建筑,word,钢结构,118,n
建筑,word,拱结构,118,n
建筑,word,工程承发包,118,n
建筑,word,工程实际成本,118,n
建筑,word,公共建筑,118,n
建筑,word,工程计量,118,n
建筑,word,供热计量,118,n
建筑,word,工程规费,118,n
建筑,word,广亩城市,118,n
建筑,word,户型,118,n
建筑,word,混凝土,118,n
建筑,word,建筑工程,118,n
建筑,word,建筑安装工程,118,n
建筑,word,建筑法,118,n
建筑,word,居住面积系数,118,n
建筑,word,家庭装饰工程,118,n
建筑,word,基础拉梁,118,n
建筑,word,脚手架,118,n
建筑,word,建筑小品,118,n
建筑,word,建筑平均层数,118,n
建筑,word,建筑总高度,118,n
建筑,word,建筑用地面积,118,n
建筑,word,建筑红线,118,n
建筑,word,建设用地面积,118,n
建筑,word,地基,118,n
建筑,word,建筑模数,118,n
建筑,word,建筑设计,118,n
建筑,word,建筑标准化,118,n
建筑,word,建筑构造,118,n
建筑,word,健康住宅,118,n
建筑,word,节能住宅,118,n
建筑,word,居住建筑,118,n
建筑,word,剪力墙结构,118,n
建筑,word,剪力墙,118,n
建筑,word,框剪结构,118,n
建筑,word,建筑企业,118,n
建筑,word,建设工程投标,118,n
建筑,word,房屋工程保险,118,n
建筑,word,建筑能耗,118,n
建筑,word,建筑节能,118,n
