parent,cat,word,word_level,pos
,,管理百科,120,n
管理百科,categories,成本管理,119,n
管理百科,categories,知识产权,119,n
,,经济百科,120,n
经济百科,categories,知识产权,119,n
,,金融百科,120,n
,,法律百科,120,n
法律百科,categories,知识产权,119,n
,,行业百科,120,n
,,综合条目,120,n
综合条目,categories,知识产权,119,n
知识产权,categories,商标,118,n
知识产权,categories,专利,118,n
知识产权,categories,知识产权法规,118,n
知识产权,categories,著作权,118,n
知识产权,word,奥林匹克知识产权,118,n
知识产权,word,避风港原则,118,n
知识产权,word,重印权,118,n
知识产权,word,抵押权登记,118,n
知识产权,word,盗版,118,n
知识产权,word,定限知识产权,118,n
知识产权,word,担保知识产权,118,n
知识产权,word,额头出汗原则,118,n
知识产权,word,附属权,118,n
知识产权,word,非职务技术成果,118,n
知识产权,word,非职务发明,118,n
知识产权,word,发明成果推广,118,n
知识产权,word,法人作品,118,n
知识产权,word,国际知识产权交易,118,n
知识产权,word,国际礼让方式 (知识产权),118,n
知识产权,word,海关知识产权管理,118,n
知识产权,word,红旗原则,118,n
知识产权,word,技术合同法,118,n
知识产权,word,即发侵权,118,n
知识产权,word,角色销售权,118,n
知识产权,word,计算机程序的外型与感觉,118,n
知识产权,word,技术保护措施,118,n
知识产权,word,技术法官,118,n
知识产权,word,科技成果权,118,n
知识产权,word,科技成果财产权,118,n
知识产权,word,跨媒体制作,118,n
知识产权,word,绿色知识产权,118,n
知识产权,word,旅游知识产权,118,n
知识产权,word,侵犯知识产权罪,118,n
知识产权,word,企业知识产权管理,118,n
知识产权,word,企业知识产权规划,118,n
知识产权,word,企业知识产权管理体系,118,n
知识产权,word,企业知识产权管理制度,118,n
知识产权,word,区域知识产权形象,118,n
知识产权,word,区域知识产权,118,n
知识产权,word,User talk:Winzhixing,118,n
知识产权,word,生物盗版,118,n
知识产权,word,301条款,118,n
知识产权,word,涉外版权冲突,118,n
知识产权,word,商业标识,118,n
知识产权,word,商业标识权利冲突,118,n
知识产权,word,数据库权利,118,n
知识产权,word,体育知识产权,118,n
知识产权,word,体育电视版权,118,n
知识产权,word,特殊标志,118,n
知识产权,word,完全知识产权,118,n
知识产权,word,网络侵权,118,n
知识产权,word,网络盗版,118,n
知识产权,word,网络知识产权,118,n
知识产权,word,医药知识产权,118,n
知识产权,word,药品知识产权,118,n
知识产权,word,原样复制,118,n
知识产权,word,知识产权贸易,118,n
知识产权,word,知识产权战略,118,n
知识产权,word,知识产权证券化,118,n
知识产权,word,知识产权转让,118,n
知识产权,word,知识产权评估,118,n
知识产权,word,知识产权权利冲突,118,n
知识产权,word,专有出版权,118,n
知识产权,word,职务成果,118,n
知识产权,word,知识产权请求权,118,n
知识产权,word,知识产权服务,118,n
知识产权,word,自主知识产权,118,n
知识产权,word,知识产权资产,118,n
知识产权,word,知识产权管理,118,n
知识产权,word,知识产权客体,118,n
知识产权,word,知识产权诉讼,118,n
知识产权,word,知识产权保护,118,n
知识产权,word,知识产权质押,118,n
知识产权,word,职务技术成果,118,n
知识产权,word,职务发明,118,n
知识产权,word,知识产权审计,118,n
知识产权,word,知识产权资本,118,n
知识产权,word,知识产权资本化,118,n
知识产权,word,知识产权许可,118,n
知识产权,word,知识产权制度,118,n
知识产权,word,知识产权预警,118,n
知识产权,word,知识产权预警机制,118,n
知识产权,word,政府知识产权管理,118,n
知识产权,word,知识产权信息管理,118,n
知识产权,word,知识产权信息,118,n
知识产权,word,专利预警机制,118,n
知识产权,word,知识产权保密,118,n
知识产权,word,知识产权素养,118,n
知识产权,word,知识产权权能,118,n
知识产权,word,智慧创作物,118,n
知识产权,word,智力成果,118,n
知识产权,word,知识产权变动,118,n
知识产权,word,知识产权共有,118,n
知识产权,word,知识产权主体,118,n
知识产权,word,知识产权利用,118,n
知识产权,word,知识产权国际保护,118,n
知识产权,word,知识产权纠纷,118,n
知识产权,word,知识产权代理,118,n
知识产权,word,知识产权担保,118,n
知识产权,word,知识产权商业化,118,n
知识产权,word,知识产权担保融资,118,n
知识产权,word,知识产权民事保护,118,n
知识产权,word,知识产权刑事保护,118,n
知识产权,word,知识霸权,118,n
知识产权,word,知识产权滥用,118,n
知识产权,word,知识产权法院,118,n
知识产权,word,知识产权拒绝许可,118,n
知识产权,word,知识产权鉴定,118,n
知识产权,word,职务作品,118,n
知识产权,word,知识产权类公证,118,n
知识产权,word,知识产权文化,118,n
知识产权,word,知识产权质押评估,118,n
知识产权,word,植物新品种权,118,n
知识产权,word,自由版权,118,n
知识产权,word,知识产权集群管理,118,n
知识产权,word,知识产权公共服务,118,n
知识产权,word,知识产权指数,118,n
知识产权,word,知识产权产业,118,n
知识产权,word,知识产权运营,118,n
知识产权,word,知识产权尽职调查,118,n
成本管理,categories,成本管理类型,118,n
成本管理,categories,人力资源成本管理,118,n
成本管理,categories,生产成本管理,118,n
成本管理,categories,物流成本,118,n
成本管理,categories,营业成本,118,n
成本管理,categories,质量成本管理,118,n
成本管理,word,成本管理,118,n
成本管理,word,标准成本中心,118,n
成本管理,word,边际资金成本,118,n
成本管理,word,班组经济核算,118,n
成本管理,word,并购成本,118,n
成本管理,word,并购整合成本,118,n
成本管理,word,部门成本计划,118,n
成本管理,word,成本控制,118,n
成本管理,word,成本预测,118,n
成本管理,word,成本分析,118,n
成本管理,word,成本管理系统,118,n
成本管理,word,产成品成本,118,n
成本管理,word,成本核算,118,n
成本管理,word,成本考核,118,n
成本管理,word,成本计划,118,n
成本管理,word,成本核算成本,118,n
成本管理,word,成本决策,118,n
成本管理,word,成本归集,118,n
成本管理,word,成本调整,118,n
成本管理,word,成本控制管理,118,n
成本管理,word,成本分配,118,n
成本管理,word,成本责任流,118,n
成本管理,word,成本差异分析,118,n
成本管理,word,产品全生命周期成本,118,n
成本管理,word,成本企划,118,n
成本管理,word,策略性成本管理,118,n
成本管理,word,财务危机成本,118,n
成本管理,word,成本效能,118,n
成本管理,word,成本管理理论,118,n
成本管理,word,成本抑减,118,n
成本管理,word,初始投资成本,118,n
成本管理,word,成本管理咨询,118,n
成本管理,word,储存成本,118,n
成本管理,word,成本控制即时化,118,n
成本管理,word,成本管理体系,118,n
成本管理,word,成本计划完成情况分析,118,n
成本管理,word,成本计划管理体系,118,n
成本管理,word,成本意识,118,n
成本管理,word,成本筑入,118,n
成本管理,word,重置成本计量,118,n
成本管理,word,成本避免,118,n
成本管理,word,成本节省,118,n
成本管理,word,成本责任,118,n
成本管理,word,成本函数,118,n
成本管理,word,成本方程,118,n
成本管理,word,成本反馈,118,n
成本管理,word,成本预警系统,118,n
成本管理,word,成本费用定额,118,n
成本管理,word,成本控制方法,118,n
成本管理,word,成本否决,118,n
成本管理,word,产品包装成本,118,n
成本管理,word,成本费用决策,118,n
成本管理,word,成本费用分析,118,n
成本管理,word,成本费用计划,118,n
成本管理,word,成本费用控制,118,n
成本管理,word,成本控制技术,118,n
成本管理,word,成本管理模式,118,n
成本管理,word,成本定额管理,118,n
成本管理,word,成本核算程序,118,n
成本管理,word,成本核算原则,118,n
成本管理,word,成本费用管理,118,n
成本管理,word,成本控制报告,118,n
成本管理,word,成本规划,118,n
成本管理,word,成本控制系统,118,n
成本管理,word,产品成本控制,118,n
成本管理,word,成本归口分级管理,118,n
成本管理,word,成本限额控制,118,n
成本管理,word,成本舞弊,118,n
成本管理,word,仓储成本控制,118,n
成本管理,word,餐饮成本控制,118,n
成本管理,word,餐饮成本核算,118,n
成本管理,word,餐饮成本分析,118,n
成本管理,word,成本改进,118,n
成本管理,word,成本方针,118,n
成本管理,word,成本策划,118,n
成本管理,word,极限成本,118,n
成本管理,word,成本扭曲,118,n
成本管理,word,成本弹性,118,n
成本管理,word,出口总成本,118,n
成本管理,word,沉没成本误区,118,n
成本管理,word,长期投资成本,118,n
成本管理,word,持续性成本,118,n
成本管理,word,成本费用粘性,118,n
成本管理,word,成本保证,118,n
成本管理,word,成本核算对象,118,n
成本管理,word,成本结构分析,118,n
成本管理,word,定额成本制度,118,n
成本管理,word,定额变动差异,118,n
成本管理,word,定额差异,118,n
成本管理,word,定额耗用量,118,n
成本管理,word,订购／生产准备成本,118,n
成本管理,word,购入成本,118,n
成本管理,word,单位股本资本成本,118,n
成本管理,word,单一使用量比率分配实际成本,118,n
成本管理,word,电力成本,118,n
成本管理,word,股本成本,118,n
成本管理,word,工程成本,118,n
成本管理,word,功能评价系数,118,n
成本管理,word,工序效益分析法,118,n
成本管理,word,供热成本,118,n
成本管理,word,高等教育成本分担,118,n
成本管理,word,工程费用控制,118,n
成本管理,word,固定机会成本,118,n
成本管理,word,和谐成本管理,118,n
成本管理,word,无边界成本管理,118,n
成本管理,word,活动成本分析,118,n
成本管理,word,合约规划,118,n
成本管理,word,经济成本,118,n
成本管理,word,计划成本核算,118,n
成本管理,word,价值工程分析,118,n
成本管理,word,经营管理费用,118,n
成本管理,word,降低成本,118,n
成本管理,word,经营成本核算,118,n
成本管理,word,建设成本降低率,118,n
成本管理,word,教育成本核算,118,n
成本管理,word,教育成本控制,118,n
成本管理,word,工程成本控制,118,n
成本管理,word,价值指数,118,n
成本管理,word,监督成本,118,n
成本管理,word,建设成本,118,n
成本管理,word,价值链成本,118,n
成本管理,word,开簿成本会计,118,n
成本管理,word,可控性原则,118,n
成本管理,word,历史成本计量,118,n
成本管理,word,领导决策成本,118,n
成本管理,word,旅游企业成本,118,n
成本管理,word,旅游企业成本控制,118,n
成本管理,word,浪费源,118,n
成本管理,word,零整比系数,118,n
成本管理,word,绿色建筑增量成本,118,n
成本管理,word,劳动力流动成本,118,n
成本管理,word,内部失败成本,118,n
