parent,cat,word,word_level,pos
,,管理百科,120,n
,,经济百科,120,n
,,金融百科,120,n
金融百科,categories,拍卖,119,n
,,法律百科,120,n
,,行业百科,120,n
行业百科,categories,拍卖,119,n
,,综合条目,120,n
拍卖,word,拍卖,118,n
拍卖,word,按现状拍卖,118,n
拍卖,word,保留价规则,118,n
拍卖,word,变卖,118,n
拍卖,word,标准增量式拍卖,118,n
拍卖,word,不动产拍卖,118,n
拍卖,word,版权拍卖,118,n
拍卖,word,保留竞价,118,n
拍卖,word,次价密封投标拍卖,118,n
拍卖,word,出卖人,118,n
拍卖,word,产权拍卖,118,n
拍卖,word,产权拍卖市场,118,n
拍卖,word,船舶拍卖,118,n
拍卖,word,电子拍卖,118,n
拍卖,word,第二价格密封拍卖,118,n
拍卖,word,第一价格密封拍卖,118,n
拍卖,word,定向拍卖,118,n
拍卖,word,抵押物拍卖,118,n
拍卖,word,单项资产拍卖,118,n
拍卖,word,动产拍卖,118,n
拍卖,word,多物品拍卖,118,n
拍卖,word,电话竞拍,118,n
拍卖,word,代理出价,118,n
拍卖,word,单物品拍卖,118,n
拍卖,word,多属性拍卖,118,n
拍卖,word,担保拍卖,118,n
拍卖,word,低价竞拍,118,n
拍卖,word,单一价格拍卖,118,n
拍卖,word,反拍卖技术,118,n
拍卖,word,封闭式拍卖,118,n
拍卖,word,房地产拍卖,118,n
拍卖,word,复式拍卖,118,n
拍卖,word,法定拍卖,118,n
拍卖,word,非定向拍卖,118,n
拍卖,word,服装拍卖,118,n
拍卖,word,法院处置权限定原则,118,n
拍卖,word,法院主导拍卖程序原则,118,n
拍卖,word,法院拍卖,118,n
拍卖,word,粉丝网络社区拍卖,118,n
拍卖,word,公开喊价,118,n
拍卖,word,国有资产产权拍卖,118,n
拍卖,word,公开拍卖原则,118,n
拍卖,word,公正拍卖原则,118,n
拍卖,word,公物拍卖,118,n
拍卖,word,公物拍卖人,118,n
拍卖,word,国家优先购买权,118,n
拍卖,word,股权拍卖,118,n
拍卖,word,公开竞价,118,n
拍卖,word,国债拍卖,118,n
拍卖,word,荷兰式拍卖,118,n
拍卖,word,合并拍卖,118,n
拍卖,word,价高者得规则,118,n
拍卖,word,禁止参与竞买规则,118,n
拍卖,word,竞买协议书,118,n
拍卖,word,竞买保证金,118,n
拍卖,word,竞买登记,118,n
拍卖,word,竞争性拍卖,118,n
拍卖,word,竞买人,118,n
拍卖,word,竞价阶梯,118,n
拍卖,word,竞买号牌,118,n
拍卖,word,竞买保证原则,118,n
拍卖,word,流拍,118,n
拍卖,word,留置物拍卖,118,n
拍卖,word,联合拍卖,118,n
拍卖,word,买受人,118,n
拍卖,word,买方叫价拍卖,118,n
拍卖,word,密封式报价,118,n
