parent,cat,word,word_level,pos
,,管理百科,120,n
管理百科,categories,招投标,119,n
,,经济百科,120,n
,,金融百科,120,n
,,法律百科,120,n
,,行业百科,120,n
行业百科,categories,招投标,119,n
,,综合条目,120,n
招投标,categories,投标类型,118,n
招投标,categories,招投标术语,118,n
招投标,categories,招投标策略,118,n
招投标,categories,招标类型,118,n
招投标,word,招标与投标,118,n
招投标,word,拆分招标,118,n
招标类型,word,电子招投标,117,n
招标类型,word,服务招标,117,n
招标类型,word,费率招标,117,n
招标类型,word,国际招投标,117,n
招标类型,word,规避招标,117,n
招标类型,word,公开招标,117,n
招标类型,word,国际竞争性招标,117,n
招标类型,word,公开招标选购,117,n
招标类型,word,国内竞争性招标,117,n
招标类型,word,公开竞争性招标,117,n
招标类型,word,国际工程招标,117,n
招标类型,word,国际有限招标,117,n
招标类型,word,工程招标,117,n
招标类型,word,国内工程招标投标,117,n
招标类型,word,国债混合式招标,117,n
招标类型,word,工程监理招标,117,n
招标类型,word,广告招标,117,n
招标类型,word,荷兰式招标,117,n
招标类型,word,货物招标,117,n
招标类型,word,竞争性招标,117,n
招标类型,word,价格招标,117,n
招标类型,word,集中招标,117,n
招标类型,word,缴款期招标,117,n
招标类型,word,技术招标,117,n
招标类型,word,计量项目招标,117,n
招标类型,word,框架协议招标,117,n
招标类型,word,两段招标,117,n
招标类型,word,美国式招标,117,n
招标类型,word,秘密招标,117,n
招标类型,word,平行招标,117,n
招标类型,word,强制招标,117,n
招标类型,word,数量招标,117,n
招标类型,word,施工招标,117,n
招标类型,word,收益率招标,117,n
招标类型,word,审计招标,117,n
招标类型,word,特邀招标,117,n
招标类型,word,无标底招标,117,n
招标类型,word,物业管理招标,117,n
招标类型,word,委托招标,117,n
招标类型,word,项目法人招标,117,n
招标类型,word,邀请招标,117,n
招标类型,word,自行招标,117,n
招标类型,word,咨询服务招标,117,n
招投标策略,word,A+B值评标法,117,n
招投标策略,word,A标法,117,n
招投标策略,word,不平衡报价法,117,n
招投标策略,word,B标法,117,n
招投标策略,word,低价竞标,117,n
招投标策略,word,工程量清单招标,117,n
招投标策略,word,国际工程投标,117,n
招投标策略,word,合理最低价评标法,117,n
