parent,cat,word,word_level,pos
,,管理百科,120,n
管理百科,categories,支付系统,119,n
管理百科,categories,支付系统,119,n
管理百科,categories,招投标,119,n
,,经济百科,120,n
,,金融百科,120,n
,,法律百科,120,n
,,行业百科,120,n
行业百科,categories,支付系统,119,n
行业百科,categories,招投标,119,n
行业百科,categories,支付系统,119,n
,,综合条目,120,n
综合条目,categories,商学院,119,n
综合条目,categories,商学院,119,n
支付系统,word,电子支付系统,118,n
支付系统,word,安心付,118,n
支付系统,word,安付通,118,n
支付系统,word,ATM跨行转账,118,n
支付系统,word,Apple Pay,118,n
支付系统,word,百付宝,118,n
支付系统,word,财付通,118,n
支付系统,word,超级网银,118,n
支付系统,word,CNAPS行号,118,n
支付系统,word,电子钱包,118,n
支付系统,word,大额实时支付系统,118,n
支付系统,word,电子支票系统,118,n
支付系统,word,电视支付系统,118,n
支付系统,word,第二代支付系统,118,n
支付系统,word,电子现金支付系统,118,n
支付系统,word,EBPP,118,n
支付系统,word,二清机构,118,n
支付系统,word,国库集中支付系统,118,n
支付系统,word,公路计量支付系统,118,n
支付系统,word,柜面通,118,n
支付系统,word,行名行号管理系统,118,n
支付系统,word,后支付系统,118,n
支付系统,word,净额支付系统,118,n
支付系统,word,集中代收付系统,118,n
支付系统,word,境内外币支付系统,118,n
支付系统,word,净额定时支付系统,118,n
支付系统,word,金融支付服务,118,n
支付系统,word,金融支付清算系统,118,n
支付系统,word,开账与结算计划,118,n
支付系统,word,卡基支付,118,n
支付系统,word,离线交易系统,118,n
支付系统,word,POS系统,118,n
支付系统,word,Paypal,118,n
支付系统,word,移动POS支付系统,118,n
支付系统,word,凭证支付系统,118,n
支付系统,word,全国电子联行系统,118,n
支付系统,word,全额实时支付系统,118,n
支付系统,word,人脸识别支付系统,118,n
支付系统,word,人民币跨境支付系统,118,n
支付系统,word,首信易,118,n
支付系统,word,手机支付系统,118,n
支付系统,word,手机支付卡,118,n
支付系统,word,同城清算系统,118,n
支付系统,word,统一支付系统,118,n
支付系统,word,VTM,118,n
支付系统,word,网上清算跨行支付系统,118,n
支付系统,word,网上支付系统,118,n
支付系统,word,信用卡支付系统,118,n
支付系统,word,虚拟POS系统,118,n
支付系统,word,余额宝,118,n
支付系统,word,银校直联无现金支付系统,118,n
支付系统,word,央行支付系统,118,n
支付系统,word,银行支付系统,118,n
支付系统,word,银联在线支付,118,n
支付系统,word,易宝支付,118,n
支付系统,word,联动优势,118,n
支付系统,word,预支付系统,118,n
支付系统,word,自动柜员机,118,n
支付系统,word,支付宝,118,n
支付系统,word,中国现代化支付系统,118,n
支付系统,word,支票影像交换系统,118,n
支付系统,word,自动清算所,118,n
支付系统,word,支付系统风险,118,n
支付系统,word,支付系统流动性风险,118,n
支付系统,word,支付指令,118,n
支付系统,word,指纹支付,118,n
支付系统,word,支付系统操作风险,118,n
支付系统,word,支付系统清算账户,118,n
支付系统,word,支付脱媒,118,n
支付系统,word,支付工具,118,n
支付系统,word,支付媒介,118,n
支付系统,word,账户支付系统,118,n
支付系统,word,在线交易系统,118,n
支付系统,word,主机卡模拟,118,n
支付系统,word,智能交易,118,n
招投标,categories,投标类型,118,n
招投标,categories,招投标术语,118,n
招投标,categories,招投标策略,118,n
招投标,categories,招标类型,118,n
招投标,word,招标与投标,118,n
招投标,word,拆分招标,118,n
商学院,categories,国内商学院,118,n
商学院,categories,MBA排名,118,n
商学院,categories,商学院标志,118,n
商学院,word,团队学院,118,n
商学院,word,爱荷华大学Tippie商学院,118,n
