parent,cat,word,word_level,pos
,,管理百科,120,n
,,经济百科,120,n
,,金融百科,120,n
金融百科,categories,期货,119,n
金融百科,categories,外汇,119,n
金融百科,categories,货币,119,n
,,法律百科,120,n
,,行业百科,120,n
行业百科,categories,外汇,119,n
,,综合条目,120,n
货币,categories,货币单位,118,n
货币,categories,货币市场,118,n
货币,categories,货币术语,118,n
货币,categories,货币政策工具,118,n
货币,categories,货币政策,118,n
货币,categories,货币理论,118,n
货币,categories,货币制度,118,n
货币,categories,货币类型,118,n
货币,categories,货币职能,118,n
货币,word,货币,118,n
外汇,categories,货币单位,118,n
外汇,categories,汇率,118,n
外汇,categories,汇率制度,118,n
外汇,categories,汇率政策,118,n
外汇,categories,外汇术语,118,n
外汇,categories,外汇公司,118,n
外汇,categories,外汇市场,118,n
外汇,categories,外汇风险,118,n
外汇,word,外汇,118,n
期货,categories,期货术语,118,n
期货,categories,期货交易所,118,n
期货,categories,期货技术理论,118,n
期货,categories,期货制度,118,n
期货,categories,期货指数,118,n
期货,categories,期货合约,118,n
期货,categories,期货类型,118,n
期货,categories,期货公司,118,n
期货,categories,套期保值,118,n
货币政策工具,categories,三大货币政策工具,117,n
货币政策工具,word,不动产信用控制,117,n
货币政策工具,word,补偿性货币政策,117,n
货币政策工具,word,存款准备金制度,117,n
货币政策工具,word,窗口指导,117,n
货币政策工具,word,常规性货币政策工具,117,n
货币政策工具,word,操作时滞,117,n
货币政策工具,word,短期国债,117,n
货币政策工具,word,单一规则,117,n
货币政策工具,word,定向票据,117,n
货币政策工具,word,多项挂钩法,117,n
货币政策工具,word,单项挂钩法,117,n
货币政策工具,word,道义劝说,117,n
货币政策工具,word,放松银根,117,n
货币政策工具,word,非优惠利率,117,n
货币政策工具,word,房地产信贷管制,117,n
货币政策工具,word,负利率政策,117,n
货币政策工具,word,货币政策时滞,117,n
货币政策工具,word,货币政策工具,117,n
货币政策工具,word,货币量层次划分,117,n
货币政策工具,word,货币供给调控机制,117,n
货币政策工具,word,间接信用控制,117,n
货币政策工具,word,间接信用管制,117,n
货币政策工具,word,经常性融资便利,117,n
货币政策工具,word,竞争性贬值,117,n
货币政策工具,word,价格型货币政策工具,117,n
货币政策工具,word,间接信用,117,n
货币政策工具,word,价格性工具,117,n
货币政策工具,word,麦卡勒姆规则,117,n
货币政策工具,word,内部时滞,117,n
货币政策工具,word,市场时滞,117,n
货币政策工具,word,数量型货币政策工具,117,n
货币政策工具,word,泰勒规则,117,n
货币政策工具,word,贴现政策,117,n
货币政策工具,word,外部时滞,117,n
货币政策工具,word,消费者信用控制,117,n
货币政策工具,word,相机抉择货币政策,117,n
货币政策工具,word,选择性货币政策工具,117,n
