parent,cat,word,word_level,pos
,,管理百科,120,n
管理百科,categories,财务法规,119,n
,,经济百科,120,n
,,金融百科,120,n
金融百科,categories,金融法规,119,n
,,法律百科,120,n
法律百科,categories,法律术语,119,n
法律百科,categories,金融法规,119,n
法律百科,categories,财务法规,119,n
,,行业百科,120,n
,,综合条目,120,n
综合条目,categories,法律术语,119,n
财务法规,categories,国际会计准则,118,n
财务法规,categories,内部审计准则,118,n
财务法规,categories,内部会计控制规范,118,n
财务法规,categories,企业会计准则,118,n
财务法规,word,财务法规,118,n
财务法规,word,《金融企业会计制度》,118,n
财务法规,word,《金融企业财务规则》,118,n
财务法规,word,《会计人员职权条例》,118,n
财务法规,word,《会计基础工作规范》,118,n
财务法规,word,《科学事业单位财务制度》,118,n
财务法规,word,《科学事业单位会计制度》,118,n
财务法规,word,《会计档案管理办法》,118,n
财务法规,word,《企业财务通则》,118,n
财务法规,word,《企业财务会计报告条例》,118,n
财务法规,word,《企业会计制度》,118,n
财务法规,word,《事业单位财务规则》,118,n
财务法规,word,《施工企业会计核算办法》,118,n
财务法规,word,《小企业会计制度》,118,n
财务法规,word,《小企业会计制度》/总说明,118,n
财务法规,word,《小企业会计制度》/会计报表格式,118,n
财务法规,word,《行政单位财务规则》,118,n
财务法规,word,《行政单位会计制度》,118,n
财务法规,word,《中华人民共和国会计法》,118,n
财务法规,word,《中华人民共和国注册会计师法》,118,n
财务法规,word,《总会计师条例》,118,n
财务法规,word,《增值税专用发票使用规定》,118,n
财务法规,word,《中央企业财务预算管理暂行办法》,118,n
法律术语,categories,法律术语图像,118,n
法律术语,word,按份之债,118,n
法律术语,word,安全生产立法,118,n
法律术语,word,不可避免披露原则,118,n
法律术语,word,不当得利,118,n
法律术语,word,保证期间,118,n
法律术语,word,表见代理,118,n
法律术语,word,不完全履行,118,n
法律术语,word,补偿性赔偿,118,n
法律术语,word,不得对抗第三人,118,n
法律术语,word,不真正连带债务,118,n
法律术语,word,不动产权益,118,n
法律术语,word,变相涨价,118,n
法律术语,word,本国法人,118,n
法律术语,word,被授权组织,118,n
法律术语,word,包装装潢权,118,n
法律术语,word,不动产执行措施,118,n
法律术语,word,不继续占有,118,n
法律术语,word,不可分物,118,n
法律术语,word,不可消耗物,118,n
法律术语,word,本身违法原则,118,n
法律术语,word,避风港原则,118,n
法律术语,word,不当得利返还请求权,118,n
法律术语,word,不可分之债,118,n
法律术语,word,不正当价格行为,118,n
法律术语,word,保险销售误导行为,118,n
法律术语,word,表见法律行为,118,n
法律术语,word,表见代表,118,n
法律术语,word,表见债权让与,118,n
法律术语,word,驳回保护,118,n
法律术语,word,不动产瑕疵登记责任,118,n
法律术语,word,保险人说明义务,118,n
法律术语,word,必要设施原则,118,n
法律术语,word,不动产附合,118,n
法律术语,word,不法原因给付,118,n
法律术语,word,不要式法律行为,118,n
法律术语,word,备案审查,118,n
法律术语,word,被执行人财产申报制度,118,n
法律术语,word,保证时效,118,n
法律术语,word,补充责任,118,n
法律术语,word,不动产善意取得,118,n
法律术语,word,不成文法,118,n
法律术语,word,不得强迫自证其罪,118,n
法律术语,word,被执行人,118,n
法律术语,word,蛋壳脑袋规则,118,n
法律术语,word,承揽法律关系,118,n
法律术语,word,惩罚性赔偿,118,n
法律术语,word,串供,118,n
法律术语,word,冲突规范,118,n
法律术语,word,产业政策法,118,n
法律术语,word,存单纠纷,118,n
法律术语,word,财产保全,118,n
法律术语,word,沉默欺诈,118,n
法律术语,word,产品责任,118,n
法律术语,word,产品质量责任,118,n
法律术语,word,财产保全担保,118,n
法律术语,word,船舶碰撞,118,n
法律术语,word,财政法律关系,118,n
法律术语,word,产品瑕疵责任,118,n
法律术语,word,产品缺陷责任,118,n
法律术语,word,产品疏忽责任,118,n
法律术语,word,岔路口条款,118,n
法律术语,word,除权判决,118,n
法律术语,word,财团法人,118,n
法律术语,word,劳务之债,118,n
法律术语,word,财产关系,118,n
法律术语,word,纯粹经济损失,118,n
法律术语,word,参与分配制度,118,n
法律术语,word,财经法制,118,n
法律术语,word,产品质量纠纷,118,n
法律术语,word,城镇土地使用税法,118,n
法律术语,word,储蓄存款过户或支付,118,n
法律术语,word,财政监督法,118,n
法律术语,word,法院传票,118,n
法律术语,word,裁定管辖,118,n
法律术语,word,财产性权利,118,n
法律术语,word,财产性损害,118,n
法律术语,word,从物,118,n
法律术语,word,从债务,118,n
法律术语,word,从属之债,118,n
法律术语,word,乘人之危合同,118,n
法律术语,word,除斥期间,118,n
法律术语,word,财政腐败,118,n
法律术语,word,成人教育立法,118,n
法律术语,word,长臂管辖权,118,n
法律术语,word,重复侵权行为,118,n
法律术语,word,程序保障,118,n
法律术语,word,产权契约,118,n
法律术语,word,财产刑,118,n
法律术语,word,财产性利益,118,n
法律术语,word,财产悬赏,118,n
法律术语,word,从权利,118,n
法律术语,word,成文法,118,n
法律术语,word,出资评估不实,118,n
法律术语,word,查封,118,n
法律术语,word,财产扣押,118,n
法律术语,word,财产冻结,118,n
法律术语,word,程序法,118,n
法律术语,word,从业禁止,118,n
法律术语,word,产品责任法,118,n
法律术语,word,错案责任追究制,118,n
法律术语,word,抽象损失,118,n
法律术语,word,财产侵权,118,n
法律术语,word,财产代管人,118,n
法律术语,word,程序正义,118,n
法律术语,word,对价,118,n
法律术语,word,单位犯罪,118,n
法律术语,word,单方允诺,118,n
法律术语,word,代理证书,118,n
法律术语,word,第三人清偿,118,n
法律术语,word,代物清偿,118,n
法律术语,word,对抗第三人,118,n
法律术语,word,当然退伙,118,n
法律术语,word,督促程序,118,n
法律术语,word,单独保证,118,n
法律术语,word,单独代理,118,n
法律术语,word,第三债务人,118,n
法律术语,word,独任法人,118,n
法律术语,word,独立财产,118,n
法律术语,word,独立责任,118,n
法律术语,word,担保主体,118,n
法律术语,word,担保权利,118,n
法律术语,word,担保义务,118,n
法律术语,word,担保标的,118,n
法律术语,word,第二审程序,118,n
法律术语,word,第一审程序,118,n
法律术语,word,典当法,118,n
法律术语,word,典当法律关系,118,n
法律术语,word,地域管辖,118,n
法律术语,word,等价有偿原则,118,n
法律术语,word,单独继承,118,n
法律术语,word,代位继承,118,n
法律术语,word,大陆法系,118,n
法律术语,word,等同原则,118,n
法律术语,word,定着物,118,n
法律术语,word,多数人之债,118,n
法律术语,word,大规模侵权,118,n
法律术语,word,代书遗嘱,118,n
法律术语,word,抵押贷款合同公证,118,n
法律术语,word,定期金,118,n
法律术语,word,单方法律行为,118,n
法律术语,word,代理人复任权,118,n
法律术语,word,多余指定原则,118,n
法律术语,word,电子商务立法,118,n
法律术语,word,多数人侵权责任,118,n
法律术语,word,抵押权不可分性,118,n
法律术语,word,代位执行,118,n
法律术语,word,抢夺罪,118,n
法律术语,word,电子民主,118,n
法律术语,word,单方解除权,118,n
法律术语,word,当事人主义,118,n
法律术语,word,兜底条款,118,n
法律术语,word,第三人,118,n
