parent,cat,word,word_level,pos
,,管理百科,120,n
管理百科,categories,流程管理,119,n
,,经济百科,120,n
,,金融百科,120,n
,,法律百科,120,n
,,行业百科,120,n
,,综合条目,120,n
流程管理,categories,业务流程管理,118,n
流程管理,word,部门间流程,118,n
流程管理,word,部门内流程,118,n
流程管理,word,非核心流程,118,n
流程管理,word,工作流程管理,118,n
流程管理,word,工作流程,118,n
流程管理,word,个人间流程,118,n
流程管理,word,核心流程,118,n
流程管理,word,跨组织流程,118,n
流程管理,word,组织流程,118,n
流程管理,word,流程开发,118,n
流程管理,word,流程管理2.0,118,n
流程管理,word,流程成熟度,118,n
流程管理,word,流程穿越,118,n
流程管理,word,流程E化,118,n
流程管理,word,流程可视化,118,n
流程管理,word,流程管理咨询,118,n
流程管理,word,企业流程管理测评,118,n
流程管理,word,电子商务流程再造,118,n
流程管理,word,业务流程管理,118,n
流程管理,word,业务流程,118,n
业务流程管理,categories,业务流程管理图像,117,n
业务流程管理,word,BPR,117,n
业务流程管理,word,产品开发流程,117,n
业务流程管理,word,产品概念开发流程,117,n
业务流程管理,word,服务流程再造,117,n
业务流程管理,word,核心流程再设计,117,n
业务流程管理,word,绩效管理流程,117,n
业务流程管理,word,价值链再造,117,n
业务流程管理,word,流程分析模型,117,n
业务流程管理,word,流程资本,117,n
业务流程管理,word,流程制造,117,n
业务流程管理,word,流程优化,117,n
业务流程管理,word,流程规范,117,n
业务流程管理,word,企业再造,117,n
业务流程管理,word,企业流程管理,117,n
业务流程管理,word,全新设计法,117,n
业务流程管理,word,生产流程再造,117,n
业务流程管理,word,生产流程分析法 (风险),117,n
业务流程管理,word,Siop,117,n
业务流程管理,word,生产作业流程,117,n
业务流程管理,word,售后服务流程,117,n
业务流程管理,word,售后服务流程再造,117,n
业务流程管理,word,市场拓展流程,117,n
业务流程管理,word,系统改造法,117,n
业务流程管理,word,信息流程,117,n
业务流程管理,word,业务流程改进,117,n
业务流程管理,word,业务模式重组,117,n
业务流程管理,word,业务流程建模和仿真,117,n
业务流程管理,word,业务流程外包,117,n
业务流程管理,word,业务集成方法论,117,n
业务流程管理,word,业务连续性管理,117,n
业务流程管理,word,业务连续性计划,117,n
业务流程管理,word,业务连续性,117,n
业务流程管理,word,业务流程分析,117,n
业务流程管理,word,业务活动监控,117,n
业务流程管理,word,业务流程图,117,n
业务流程管理,word,业务流程设计,117,n
业务流程管理,word,业务蓝图,117,n
业务流程管理,word,业务流程管理成熟度模型,117,n
业务流程管理,word,业务模式,117,n
业务流程管理,word,业务领先模型,117,n
业务流程管理,word,业务监控,117,n
业务流程管理,word,业务导向,117,n
业务流程管理,word,业务引擎,117,n
业务流程管理,word,业务瓶颈,117,n
业务流程管理,word,资源垄断模式,117,n
