parent,cat,word,word_level,pos
,,管理百科,120,n
管理百科,categories,电子商务,119,n
,,经济百科,120,n
,,金融百科,120,n
,,法律百科,120,n
,,行业百科,120,n
行业百科,categories,电子商务,119,n
行业百科,categories,房地产,119,n
行业百科,categories,金融投资,119,n
,,综合条目,120,n
电子商务,categories,电子商务图像,118,n
电子商务,categories,电子政务,118,n
电子商务,word,电子商务,118,n
电子商务,word,AMC模式,118,n
电子商务,word,B2C,118,n
电子商务,word,B2B,118,n
电子商务,word,BAB,118,n
电子商务,word,B2B2C,118,n
电子商务,word,B2M,118,n
电子商务,word,D2C,118,n
电子商务,word,B2S,118,n
电子商务,word,比特税,118,n
电子商务,word,保险电子商务,118,n
电子商务,word,BUC平台,118,n
电子商务,word,比较购物网站,118,n
电子商务,word,B2F,118,n
电子商务,word,B2B2B,118,n
电子商务,word,百草味,118,n
电子商务,word,C2C,118,n
电子商务,word,CA中心,118,n
电子商务,word,C2B,118,n
电子商务,word,C2B2S模式,118,n
电子商务,word,垂直电子商务,118,n
电子商务,word,餐饮O2O,118,n
电子商务,word,C2M,118,n
电子商务,word,诚信网站认证,118,n
电子商务,word,炒信,118,n
电子商务,word,C2C2B,118,n
电子商务,word,C2B2C,118,n
电子商务,word,电子钱包,118,n
电子商务,word,电子交易,118,n
电子商务,word,电子拍卖,118,n
电子商务,word,电子商务师,118,n
电子商务,word,第四方商务,118,n
电子商务,word,电子货币,118,n
电子商务,word,电子商务系统,118,n
电子商务,word,电子商务环境,118,n
电子商务,word,电子贸易,118,n
电子商务,word,电子协作,118,n
电子商务,word,电子缴税,118,n
电子商务,word,电子商务站点,118,n
电子商务,word,电子商务管理,118,n
电子商务,word,电子商务3.0,118,n
电子商务,word,电话钱包,118,n
电子商务,word,电子商务项目,118,n
电子商务,word,电子商务解决方案,118,n
电子商务,word,电子消费,118,n
电子商务,word,电子商务采购,118,n
电子商务,word,电子税务,118,n
电子商务,word,电子商务托管,118,n
电子商务,word,社区电子商务,118,n
电子商务,word,电子商务服务业,118,n
电子商务,word,电子商务服务业集群,118,n
电子商务,word,电子经纪人,118,n
电子商务,word,电子商务外包,118,n
电子商务,word,电子零售,118,n
电子商务,word,电子商务技术,118,n
电子商务,word,电子商业汇票,118,n
电子商务,word,电子客票,118,n
电子商务,word,电子零售系统,118,n
电子商务,word,电子商务法,118,n
电子商务,word,多媒体电子商务,118,n
电子商务,word,电子商务网站,118,n
电子商务,word,电子商务平台,118,n
电子商务,word,第三方电子商务平台,118,n
电子商务,word,独立商城,118,n
电子商务,word,电子商务模式,118,n
电子商务,word,电子商务税收,118,n
电子商务,word,动态电子商务,118,n
电子商务,word,电子服务质量,118,n
电子商务,word,电子商务立法,118,n
电子商务,word,电子商务企业集群注册,118,n
电子商务,word,电子商务诚信,118,n
电子商务,word,电子商务系统分析,118,n
电子商务,word,电商生态系统,118,n
电子商务,word,电子商务安全,118,n
电子商务,word,代理盲签名,118,n
电子商务,word,电子商务发展指数,118,n
电子商务,word,电子商务代运营,118,n
电子商务,word,电子商城,118,n
电子商务,word,电商金融,118,n
电子商务,word,电子商务策略,118,n
电子商务,word,电子商务物流技术,118,n
电子商务,word,多属策略,118,n
电子商务,word,电子商务专利,118,n
电子商务,word,大宗商品电子交易,118,n
电子商务,word,电商时代,118,n
电子商务,word,电子签字,118,n
电子商务,word,电子商务经济体,118,n
电子商务,word,电子商务化,118,n
电子商务,word,订单转化率,118,n
电子商务,word,订单协同,118,n
电子商务,word,电商直播,118,n
电子商务,word,EDI,118,n
电子商务,word,恶意差评,118,n
电子商务,word,E-WTP,118,n
电子商务,word,服务商品电子商务,118,n
电子商务,word,非接触式智能卡,118,n
电子商务,word,非加密存储器卡,118,n
电子商务,word,非金融卡,118,n
电子商务,word,服务机构电子商务网站,118,n
电子商务,word,F2O电子商务模式,118,n
电子商务,word,F2C,118,n
电子商务,word,反向O2O,118,n
电子商务,word,飞猪,118,n
电子商务,word,国际结算电子化,118,n
电子商务,word,顾客主导型电子商务模式,118,n
电子商务,word,公钥基础设施,118,n
电子商务,word,国际电子商务系统,118,n
电子商务,word,光卡,118,n
电子商务,word,功能等同原则,118,n
电子商务,word,GMV,118,n
电子商务,word,合作型商务,118,n
电子商务,word,HTTP协议,118,n
电子商务,word,会展电子商务,118,n
电子商务,word,行业电子商务网站,118,n
电子商务,word,海外购物,118,n
电子商务,word,后电商时代,118,n
电子商务,word,间接电子商务,118,n
电子商务,word,金卡工程,118,n
电子商务,word,金桥工程,118,n
电子商务,word,金关工程,118,n
电子商务,word,接触式智能卡,118,n
电子商务,word,加密存储器卡,118,n
电子商务,word,金融卡,118,n
电子商务,word,基本型商务网站,118,n
电子商务,word,技术中立原则,118,n
电子商务,word,金字工程,118,n
电子商务,word,聚划算,118,n
电子商务,word,客户认证,118,n
电子商务,word,框计算,118,n
电子商务,word,跨境电子商务,118,n
电子商务,word,客户服务型电子商务网站,118,n
电子商务,word,可信时间戳,118,n
电子商务,word,考拉海购,118,n
电子商务,word,旅游电子商务,118,n
电子商务,word,流通型商务网站,118,n
电子商务,word,M2M,118,n
电子商务,word,M2C,118,n
电子商务,word,媒体电商化,118,n
电子商务,word,盲签名,118,n
电子商务,word,农业电子商务,118,n
电子商务,word,农村电子商务,118,n
电子商务,word,内容电商,118,n
电子商务,word,O2O营销模式,118,n
电子商务,word,O2P营销模式,118,n
电子商务,word,O2C,118,n
电子商务,word,P2P互动营销,118,n
电子商务,word,P2P电子商务,118,n
电子商务,word,拍码购物,118,n
电子商务,word,P2G,118,n
电子商务,word,平台竞争,118,n
电子商务,word,平台交叉驱逐,118,n
电子商务,word,企业内部电子商务,118,n
电子商务,word,全程电子商务模式,118,n
电子商务,word,全球电子商务,118,n
电子商务,word,软件定义网络,118,n
电子商务,word,SET协议,118,n
电子商务,word,SSL协议,118,n
电子商务,word,数字钱包,118,n
电子商务,word,数字签名,118,n
电子商务,word,SaaS,118,n
电子商务,word,数字证书,118,n
电子商务,word,社会化电子商务,118,n
电子商务,word,生鲜电商,118,n
电子商务,word,生产型商务网站,118,n
电子商务,word,电子商务流程再造,118,n
电子商务,word,S2C营销模式,118,n
电子商务,word,时间戳,118,n
电子商务,word,时间戳协议,118,n
电子商务,word,社区O2O,118,n
电子商务,word,沙集模式,118,n
电子商务,word,数字服务税,118,n
电子商务,word,社交电商,118,n
电子商务,word,铁路电子商务,118,n
电子商务,word,T2O电子商务模式,118,n
电子商务,word,谈判支持系统,118,n
电子商务,word,淘宝转化率,118,n
电子商务,word,淘票票,118,n
电子商务,word,V币,118,n
电子商务,word,网上购物,118,n
电子商务,word,网上订阅模式,118,n
电子商务,word,物联网,118,n
电子商务,word,网上商城系统,118,n
电子商务,word,网上销售,118,n
电子商务,word,网上购物车,118,n
电子商务,word,Work2.0,118,n
电子商务,word,完全电子商务运作型网站,118,n
电子商务,word,微店,118,n
电子商务,word,网络经纪,118,n
电子商务,word,微商,118,n
电子商务,word,网络代理商,118,n
电子商务,word,网上技术交易市场,118,n
电子商务,word,虚拟社群,118,n
电子商务,word,X2X模式,118,n
电子商务,word,小额支付业务,118,n
电子商务,word,协同电子商务,118,n
电子商务,word,宣传型电子商务网站,118,n
电子商务,word,虚拟品牌社区,118,n
电子商务,word,虚拟物流电子商务信息服务平台,118,n
房地产,categories,房地产公司,118,n
房地产,categories,房产类型,118,n
房地产,word,房地产,118,n
房地产,word,安居定期险,118,n
房地产,word,标定地价,118,n
房地产,word,标准宗地,118,n
房地产,word,不动产负担,118,n
房地产,word,不动产权益,118,n
房地产,word,半成本租金,118,n
房地产,word,标准租金,118,n
房地产,word,补地价,118,n
房地产,word,搬迁补助费,118,n
房地产,word,标准绿色住宅,118,n
房地产,word,办公空间规划,118,n
房地产,word,办公辅助空间,118,n
房地产,word,不动产估价,118,n
房地产,word,不动产价格,118,n
房地产,word,不动产估价师,118,n
房地产,word,标准房屋法,118,n
房地产,word,暴力拆迁,118,n
房地产,word,被上楼,118,n
房地产,word,被动房,118,n
房地产,word,拆迁,118,n
房地产,word,重置价格,118,n
房地产,word,重复销售定价技术,118,n
房地产,word,诚意金,118,n
房地产,word,创意地产,118,n
房地产,word,拆迁补偿,118,n
房地产,word,拆迁安置费,118,n
房地产,word,产业地产,118,n
房地产,word,产权证书,118,n
房地产,word,层高,118,n
房地产,word,城市住宅市场,118,n
房地产,word,成本租金,118,n
房地产,word,成新折扣法,118,n
房地产,word,拆迁户,118,n
房地产,word,拆迁人,118,n
房地产,word,拆迁期限,118,n
房地产,word,城市居住区,118,n
房地产,word,强制拆迁,118,n
房地产,word,城市综合体,118,n
房地产,word,出租价,118,n
房地产,word,成套住宅建筑面积,118,n
房地产,word,错层住宅,118,n
房地产,word,城市基础设施配套费,118,n
房地产,word,城市规划,118,n
房地产,word,车位配比率,118,n
