parent,cat,word,word_level,pos
,,管理百科,120,n
管理百科,categories,知识产权法规,119,n
,,经济百科,120,n
经济百科,categories,知识产权法规,119,n
,,金融百科,120,n
,,法律百科,120,n
法律百科,categories,知识产权法规,119,n
法律百科,categories,国际示范法,119,n
法律百科,categories,民事法规,119,n
,,行业百科,120,n
,,综合条目,120,n
综合条目,categories,知识产权法规,119,n
知识产权法规,categories,商标法规,118,n
知识产权法规,categories,专利法规,118,n
知识产权法规,categories,著作权法规,118,n
知识产权法规,word,《奥林匹克标志保护条例》,118,n
知识产权法规,word,《保护工业产权巴黎公约》,118,n
知识产权法规,word,《避免双重征收版税马德里多边条约》,118,n
知识产权法规,word,《保护表演者、音像制品制作者和广播组织罗马公约》,118,n
知识产权法规,word,《保护文学艺术作品伯尔尼公约》,118,n
知识产权法规,word,反仿冒贸易协议,118,n
知识产权法规,word,《世界知识产权组织版权条约》,118,n
知识产权法规,word,《世界版权公约》,118,n
知识产权法规,word,《世界博览会标志保护条例》,118,n
知识产权法规,word,《世界知识产权组织表演和录音制品条约》,118,n
知识产权法规,word,《特殊标志管理条例》,118,n
知识产权法规,word,《与贸易有关的知识产权协定》,118,n
民事法规,word,《中华人民共和国继承法》,118,n
国际示范法,word,《发展中国家商标、商号和不正当竞争行为示范法》,118,n
国际示范法,word,《联合国国际贸易法委员会电子商务示范法》,118,n
国际示范法,word,《联合国国际贸易法委员会国际商事仲裁示范法》,118,n
国际示范法,word,《联合国国际贸易法委员会跨国界破产示范法》,118,n
著作权法规,word,《韩国著作权法》,117,n
著作权法规,word,《计算机软件保护条例》,117,n
著作权法规,word,《中华人民共和国著作权法》,117,n
著作权法规,word,《著作权集体管理条例》,117,n
著作权法规,word,《中华人民共和国著作权法实施条例》,117,n
专利法规,word,专利合作条约,117,n
专利法规,word,《专利代理条例》,117,n
专利法规,word,《中华人民共和国专利法实施细则》,117,n
商标法规,word,《比荷卢经济联盟商标公约》,117,n
商标法规,word,《比荷卢经济联盟统一商标法》,117,n
商标法规,word,《驰名商标认定和保护规定》,117,n
商标法规,word,《欧洲共同体商标条例》,117,n
商标法规,word,《商标公告》,117,n
商标法规,word,《商标国际注册马德里协定》,117,n
商标法规,word,《商标国际注册马德里协定有关议定书》,117,n
商标法规,word,《商标注册条约》,117,n
商标法规,word,《商标评审规则》,117,n
商标法规,word,《商标法条约》,117,n
商标法规,word,《中华人民共和国商标法》,117,n
商标法规,word,《中华人民共和国商标法实施条例》,117,n
