parent,cat,word,word_level,pos
,,管理百科,120,n
管理百科,categories,知识管理,119,n
,,经济百科,120,n
,,金融百科,120,n
,,法律百科,120,n
,,行业百科,120,n
,,综合条目,120,n
知识管理,categories,知识管理工具,118,n
知识管理,categories,知识管理术语,118,n
知识管理,categories,知识管理理论,118,n
知识管理,categories,知识类型,118,n
知识管理,word,知识管理,118,n
知识类型,word,编码知识,117,n
知识类型,word,陈述性知识,117,n
知识类型,word,程序性知识,117,n
知识类型,word,策略性知识,117,n
知识类型,word,灰性知识,117,n
知识类型,word,技能知识,117,n
知识类型,word,情境知识,117,n
知识类型,word,条件性知识,117,n
知识类型,word,显性知识,117,n
知识类型,word,显性技术知识,117,n
知识类型,word,隐性知识,117,n
知识类型,word,隐性技术知识,117,n
知识类型,word,意会知识,117,n
知识管理理论,word,范式,117,n
知识管理理论,word,蒂奇纳的知识沟理论,117,n
知识管理理论,word,上限效果理论,117,n
知识管理理论,word,企业知识理论,117,n
知识管理理论,word,斯威比的知识管理理论,117,n
知识管理理论,word,知识价值论,117,n
知识管理理论,word,图式理论,117,n
知识管理理论,word,习惯领域理论,117,n
知识管理理论,word,知识管理两阶段论,117,n
知识管理理论,word,知识管理理论流派,117,n
知识管理理论,word,知识治理理论,117,n
知识管理理论,word,知识资本理论,117,n
知识管理理论,word,知识资本计量理论,117,n
知识管理理论,word,知识资本协同,117,n
知识管理理论,word,知识信息论,117,n
知识管理理论,word,知识资本论,117,n
知识管理理论,word,知识鸿沟,117,n
知识管理术语,categories,知识管理术语图像,117,n
知识管理术语,word,知识管理术语英汉对照,117,n
知识管理术语,word,宝塔型知识结构,117,n
知识管理术语,word,出口学习效应,117,n
知识管理术语,word,EKMS柔性,117,n
知识管理术语,word,分散网络化制造,117,n
知识管理术语,word,复合型人才知识结构,117,n
知识管理术语,word,发现权,117,n
知识管理术语,word,个人知识管理,117,n
知识管理术语,word,公共知识管理,117,n
知识管理术语,word,国家知识管理战略,117,n
知识管理术语,word,工具性知识,117,n
知识管理术语,word,知识运营学,117,n
知识管理术语,word,合法的边缘性参与,117,n
知识管理术语,word,技术知识管理,117,n
知识管理术语,word,集成情境知识管理,117,n
知识管理术语,word,知本家,117,n
知识管理术语,word,知识孤岛,117,n
知识管理术语,word,客户知识管理,117,n
知识管理术语,word,科学知识生产,117,n
知识管理术语,word,康奈尔笔记系统,117,n
知识管理术语,word,空间知识溢出,117,n
知识管理术语,word,幕帘型知识结构,117,n
知识管理术语,word,平衡知识管理,117,n
知识管理术语,word,批判性反思,117,n
知识管理术语,word,企业知识熵,117,n
知识管理术语,word,企业知识生命周期,117,n
知识管理术语,word,企业知识门户,117,n
知识管理术语,word,企业知识仓库,117,n
知识管理术语,word,企业知识缺口,117,n
知识管理术语,word,企业知识状态,117,n
