parent,cat,word,word_level,pos
,,管理百科,120,n
管理百科,categories,经济危机,119,n
,,经济百科,120,n
经济百科,categories,经济危机,119,n
经济百科,categories,经济租金,119,n
经济百科,categories,经济机制,119,n
,,金融百科,120,n
,,法律百科,120,n
,,行业百科,120,n
,,综合条目,120,n
经济危机,categories,经济危机理论,118,n
经济危机,word,经济危机,118,n
经济危机,word,阿根廷金融危机,118,n
经济危机,word,被动型经济危机,118,n
经济危机,word,巴西金融危机,118,n
经济危机,word,第一次石油危机,118,n
经济危机,word,第二次石油危机,118,n
经济危机,word,第三次石油危机,118,n
经济危机,word,经济大萧条,118,n
经济危机,word,结构性危机,118,n
经济危机,word,粮食危机,118,n
经济危机,word,世界经济危机,118,n
经济危机,word,商业危机,118,n
经济危机,word,中间性危机,118,n
经济危机,word,周期性危机,118,n
经济危机,word,昭和经济危机,118,n
经济机制,word,经济机制,118,n
经济机制,word,风险机制,118,n
经济机制,word,供求机制,118,n
经济机制,word,工资机制,118,n
经济机制,word,国际经济传递机制,118,n
经济机制,word,国际经济机制,118,n
经济机制,word,汇率机制,118,n
经济机制,word,货币调节机制,118,n
经济机制,word,宏观调控机制,118,n
经济机制,word,汇率调节机制,118,n
经济机制,word,竞争机制,118,n
经济机制,word,价格机制,118,n
经济机制,word,价格调节机制,118,n
经济机制,word,价格形成机制,118,n
经济机制,word,计划机制,118,n
经济机制,word,价格发现机制,118,n
经济机制,word,政府机制,118,n
经济机制,word,社会参与机制,118,n
经济机制,word,节约型社会价格机制,118,n
经济机制,word,价格联动机制,118,n
经济机制,word,利率机制,118,n
经济机制,word,旅游市场机制,118,n
经济机制,word,劳动力市场机制,118,n
经济机制,word,利率调节机制,118,n
经济机制,word,旅游供求机制,118,n
经济机制,word,旅游竞争机制,118,n
经济机制,word,欧洲稳定机制,118,n
经济机制,word,欧洲汇率机制,118,n
经济机制,word,市场机制,118,n
经济机制,word,市场压力机制,118,n
经济机制,word,收入调节机制,118,n
经济机制,word,市场动力机制,118,n
经济机制,word,市场传导机制,118,n
经济机制,word,调节机制,118,n
经济机制,word,投资宏观调控机制,118,n
经济机制,word,效益优先原则,118,n
经济机制,word,自由价格机制,118,n
经济机制,word,政府管理机制,118,n
经济租金,categories,寻租,118,n
经济租金,word,经济租金,118,n
经济租金,word,抽租,118,n
经济租金,word,非生产性租金,118,n
经济租金,word,可占用性准租,118,n
经济租金,word,垄断租金,118,n
经济租金,word,李嘉图租金,118,n
经济租金,word,企业创租,118,n
经济租金,word,设租,118,n
经济租金,word,生产性租金,118,n
经济租金,word,寻租,118,n
经济租金,word,稀缺租金,118,n
经济租金,word,熊彼特租金,118,n
经济租金,word,寻租性非效率,118,n
经济租金,word,内耗性非效率,118,n
经济租金,word,知识租,118,n
经济租金,word,政治租,118,n
经济租金,word,准地租,118,n
经济租金,word,配额租,118,n
经济危机理论,word,哈贝马斯的经济危机理论,117,n
经济危机理论,word,凯恩斯的经济危机理论,117,n
经济危机理论,word,马克思的经济危机理论,117,n
经济危机理论,word,熊皮特的经济危机理论,117,n
经济危机理论,word,西斯蒙第的经济危机理论,117,n
经济危机理论,word,消费不足危机论,117,n
寻租,word,会计寻租,117,n
寻租,word,教育寻租,117,n
寻租,word,金融寻租,117,n
寻租,word,立法寻租,117,n
寻租,word,媒介寻租,117,n
寻租,word,权力寻租,117,n
寻租,word,审计寻租,117,n
寻租,word,数据寻租,117,n
寻租,word,寻租理论,117,n
寻租,word,寻租性腐败,117,n
寻租,word,新闻寻租,117,n
寻租,word,寻租成本,117,n
寻租,word,学术寻租,117,n
寻租,word,寻租竞争,117,n
寻租,word,信息寻租,117,n
寻租,word,政府寻租,117,n
