parent,cat,word,word_level,pos
,,管理百科,120,n
,,经济百科,120,n
经济百科,categories,经济术语,119,n
经济百科,categories,经济指数,119,n
经济百科,categories,经济模式,119,n
,,金融百科,120,n
,,法律百科,120,n
,,行业百科,120,n
,,综合条目,120,n
综合条目,categories,经济术语,119,n
经济模式,categories,区域经济模式,118,n
经济模式,word,经济模式,118,n
经济模式,word,布鲁斯模式,118,n
经济模式,word,产业结构升级模式,118,n
经济模式,word,低碳经济,118,n
经济模式,word,东亚模式,118,n
经济模式,word,粉红经济,118,n
经济模式,word,高效生态经济,118,n
经济模式,word,官办官营,118,n
经济模式,word,共享出行,118,n
经济模式,word,共享办公,118,n
经济模式,word,混合经济体制,118,n
经济模式,word,计划经济,118,n
经济模式,word,经济运作模式,118,n
经济模式,word,经济发展模式,118,n
经济模式,word,科尔奈模式,118,n
经济模式,word,刘易斯模式,118,n
经济模式,word,厉以宁搅拌机模式,118,n
经济模式,word,兰格模式,118,n
经济模式,word,论坛经济,118,n
经济模式,word,利率体制,118,n
经济模式,word,礼品经济,118,n
经济模式,word,劳动,118,n
经济模式,word,林业经济发展模式,118,n
经济模式,word,旅游循环经济,118,n
经济模式,word,蒙德拉贡,118,n
经济模式,word,社会市场经济模式,118,n
经济模式,word,市场经济,118,n
经济模式,word,社会民主主义经济模式,118,n
经济模式,word,社交网络经济,118,n
经济模式,word,三区联动,118,n
经济模式,word,社会主义集权模式,118,n
经济模式,word,锡克模式,118,n
经济模式,word,新美国模式,118,n
经济模式,word,循环经济模式,118,n
经济模式,word,现代市场经济,118,n
经济模式,word,雁行模式,118,n
经济模式,word,自由市场经济模式,118,n
经济模式,word,政府主导型市场经济,118,n
经济模式,word,中国模式,118,n
经济模式,word,知识分享经济,118,n
经济模式,word,资源依赖型经济,118,n
经济指数,categories,价格指数,118,n
经济指数,word,ASHA指数,118,n
经济指数,word,阿玛蒂亚·森的贫困指数,118,n
经济指数,word,阿特金森指数,118,n
经济指数,word,贝恩指数,118,n
经济指数,word,必胜客指数,118,n
经济指数,word,边际产品转换率,118,n
经济指数,word,边际产量,118,n
经济指数,word,BDI指数,118,n
经济指数,word,比价指数,118,n
经济指数,word,采购经理人指数,118,n
经济指数,word,CEO信心指数,118,n
经济指数,word,产品成本指数,118,n
经济指数,word,出口增长优势指数,118,n
经济指数,word,城乡居民收入差距指数,118,n
经济指数,word,床垫指数,118,n
经济指数,word,中国沿海(散货)运价指数,118,n
经济指数,word,产品信息化指数,118,n
经济指数,word,城市生活指数,118,n
经济指数,word,戴尔指数,118,n
经济指数,word,德国IFO商业景气指数,118,n
经济指数,word,道琼斯可持续发展指数,118,n
经济指数,word,单项商品比价指数,118,n
