parent,cat,word,word_level,pos
,,管理百科,120,n
,,经济百科,120,n
经济百科,categories,经济理论,119,n
经济百科,categories,经济学术语,119,n
经济百科,categories,规模经济,119,n
,,金融百科,120,n
,,法律百科,120,n
,,行业百科,120,n
,,综合条目,120,n
综合条目,categories,经济理论,119,n
综合条目,categories,经济学术语,119,n
规模经济,categories,规模经济理论,118,n
规模经济,word,规模经济,118,n
规模经济,word,成本不变行业,118,n
规模经济,word,成本递增行业,118,n
规模经济,word,成本递减行业,118,n
规模经济,word,城市规模经济,118,n
规模经济,word,城市化经济,118,n
规模经济,word,差别规模经济,118,n
规模经济,word,地方化经济,118,n
规模经济,word,范围经济,118,n
规模经济,word,范围不经济,118,n
规模经济,word,规模收益递增,118,n
规模经济,word,规模经济效益,118,n
规模经济,word,规模报酬递增,118,n
规模经济,word,规模不经济,118,n
规模经济,word,规模收益,118,n
规模经济,word,内部规模经济,118,n
规模经济,word,规模报酬,118,n
规模经济,word,规模变量,118,n
规模经济,word,规模收益不变,118,n
规模经济,word,规模收益递减,118,n
规模经济,word,规模报酬递减,118,n
规模经济,word,规模报酬不变,118,n
规模经济,word,工厂规模经济,118,n
规模经济,word,规模经济政策,118,n
规模经济,word,行业规模经济,118,n
规模经济,word,集聚经济效益,118,n
规模经济,word,集聚经济,118,n
规模经济,word,聚集经济,118,n
规模经济,word,聚集不经济,118,n
规模经济,word,经营规模经济,118,n
规模经济,word,技术外部性,118,n
规模经济,word,马歇尔冲突‎,118,n
规模经济,word,内部不经济,118,n
规模经济,word,内在经济,118,n
规模经济,word,内在不经济,118,n
规模经济,word,内部经济,118,n
规模经济,word,农业规模经济,118,n
规模经济,word,平方-立方法则,118,n
规模经济,word,企业规模经济,118,n
规模经济,word,生产规模经济,118,n
规模经济,word,生产力规模经济,118,n
规模经济,word,生产外部性,118,n
规模经济,word,外部经济,118,n
规模经济,word,外部不经济,118,n
规模经济,word,消费外部性,118,n
规模经济,word,正外部性,118,n
经济学术语,categories,产权,118,n
经济学术语,categories,产业,118,n
经济学术语,categories,地租,118,n
经济学术语,categories,供给,118,n
经济学术语,categories,国民收入,118,n
经济学术语,categories,就业,118,n
经济学术语,categories,垄断,118,n
经济学术语,categories,税收,118,n
经济学术语,categories,收入,118,n
经济学术语,categories,失业,118,n
经济学术语,categories,社会再生产,118,n
经济学术语,categories,统计,118,n
经济学术语,categories,通货,118,n
经济学术语,categories,信用,118,n
经济学术语,categories,需求,118,n
经济学术语,categories,消费,118,n
经济学术语,categories,租赁,118,n
经济学术语,word,奥林匹克经济学,118,n
经济学术语,word,边际支出曲线,118,n
经济学术语,word,边际量,118,n
经济学术语,word,长期生产函数,118,n
经济学术语,word,CES生产函数,118,n
