parent,cat,word,word_level,pos
,,管理百科,120,n
管理百科,categories,经济风险,119,n
,,经济百科,120,n
经济百科,categories,经济统计指标,119,n
经济百科,categories,经济统计指标,119,n
经济百科,categories,经济形态,119,n
经济百科,categories,经济风险,119,n
经济百科,categories,经济指标,119,n
经济百科,categories,经济发展战略,119,n
,,金融百科,120,n
,,法律百科,120,n
,,行业百科,120,n
,,综合条目,120,n
综合条目,categories,经济统计指标,119,n
经济风险,word,筹资风险,118,n
经济风险,word,股票价格风险,118,n
经济风险,word,境外投资风险,118,n
经济风险,word,经营风险,118,n
经济风险,word,市场竞争风险,118,n
经济风险,word,商品价格风险,118,n
经济风险,word,生产风险,118,n
经济风险,word,收支性筹资风险,118,n
经济风险,word,网络经济风险,118,n
经济风险,word,虚拟经济风险,118,n
经济风险,word,销售风险,118,n
经济风险,word,现金性筹资风险,118,n
经济风险,word,资金回收风险,118,n
经济统计指标,categories,经济统计指标图像,118,n
经济统计指标,word,出口商品供货值,118,n
经济统计指标,word,出口交货值,118,n
经济统计指标,word,出口成交,118,n
经济统计指标,word,出口交货,118,n
经济统计指标,word,出口商品国内销售统计,118,n
经济统计指标,word,出口商品调拨统计,118,n
经济统计指标,word,出口物量指数,118,n
经济统计指标,word,出口物价指数,118,n
经济统计指标,word,对外贸易机构商品购、销、存统计,118,n
经济统计指标,word,对外贸易业务统计分析,118,n
经济统计指标,word,服务性消费支出,118,n
经济统计指标,word,房价收入比,118,n
经济统计指标,word,工业产品实物销售量,118,n
经济统计指标,word,更新改造投资,118,n
经济统计指标,word,货物和服务净出口,118,n
经济统计指标,word,居民消费水平,118,n
经济统计指标,word,经济技术开发能力,118,n
经济统计指标,word,进出口物值指数,118,n
经济统计指标,word,进出口物量指数,118,n
经济统计指标,word,进口订货统计,118,n
经济统计指标,word,进口到货统计,118,n
经济统计指标,word,经济统计指标,118,n
经济统计指标,word,经济统计指标体系,118,n
经济统计指标,word,旅游外汇收入,118,n
经济统计指标,word,旅游外汇纯收入,118,n
经济统计指标,word,劳务性旅游收入,118,n
经济统计指标,word,商品购进总额,118,n
经济统计指标,word,商品销售总额,118,n
经济统计指标,word,商品性旅游收入,118,n
经济统计指标,word,外贸商品库存统计,118,n
经济统计指标,word,物价统计,118,n
经济统计指标,word,中国外贸出口先导指数,118,n
经济发展战略,word,经济发展战略,118,n
经济发展战略,word,比较优势战略,118,n
经济发展战略,word,北煤南运,118,n
经济发展战略,word,变通发展战略,118,n
经济发展战略,word,出口替代战略,118,n
经济发展战略,word,出口导向贸易战略,118,n
经济发展战略,word,初级产品出口战略,118,n
经济发展战略,word,川气东送工程,118,n
经济发展战略,word,创新驱动发展战略,118,n
经济发展战略,word,多角型经济发展战略,118,n
经济发展战略,word,对外贸易发展战略,118,n
经济发展战略,word,赶超战略,118,n
经济发展战略,word,工业经济发展战略,118,n
经济发展战略,word,国民收入倍增计划,118,n
经济发展战略,word,混合型贸易战略,118,n
经济发展战略,word,进口替代贸易战略,118,n
经济发展战略,word,经济战略,118,n
经济发展战略,word,经济战略管理,118,n
经济发展战略,word,经济增长战略,118,n
经济发展战略,word,基本需求战略,118,n
经济发展战略,word,跨越式发展,118,n
经济发展战略,word,开放型战略,118,n
经济发展战略,word,陆海统筹,118,n
经济发展战略,word,贸易发展战略,118,n
经济发展战略,word,内撑外开型贸易战略,118,n
经济发展战略,word,农业经济发展战略,118,n
经济发展战略,word,南水北调,118,n
经济发展战略,word,南北对话,118,n
经济发展战略,word,能源发展战略,118,n
经济发展战略,word,欧盟2020战略,118,n
经济发展战略,word,区域经济开发战略,118,n
经济发展战略,word,青藏铁路,118,n
经济发展战略,word,生产力发展战略,118,n
经济发展战略,word,三峡工程,118,n
经济发展战略,word,石油战略储备,118,n
经济发展战略,word,替代能源储备,118,n
经济发展战略,word,梯度发展战略,118,n
经济发展战略,word,外向型经济发展战略,118,n
经济发展战略,word,外溢发展战略,118,n
经济发展战略,word,消费发展战略,118,n
经济发展战略,word,效益型战略,118,n
经济发展战略,word,新型战略,118,n
经济发展战略,word,西部大开发,118,n
经济发展战略,word,西气东输,118,n
经济发展战略,word,西电东送,118,n
经济发展战略,word,西煤东运,118,n
经济发展战略,word,新能源战略,118,n
经济发展战略,word,资源导向贸易战略,118,n
经济发展战略,word,战略性招聘,118,n
经济发展战略,word,中部崛起战略,118,n
经济发展战略,word,中国三大战略,118,n
经济指标,categories,经济指标图像,118,n
经济指标,word,API原油库存,118,n
经济指标,word,边际收益率,118,n
经济指标,word,边际生产率,118,n
经济指标,word,边际替代率,118,n
经济指标,word,边际消费倾向,118,n
经济指标,word,边际技术替代率,118,n
经济指标,word,边际进口倾向,118,n
经济指标,word,边际产品价值,118,n
经济指标,word,边际要素成本,118,n
经济指标,word,边际收益产品,118,n
经济指标,word,巴拉萨指数,118,n
经济指标,word,出口创汇率,118,n
经济指标,word,出口商品盈亏率,118,n
经济指标,word,城镇化率,118,n
经济指标,word,出口费用水平,118,n
经济指标,word,出口均衡率,118,n
经济指标,word,出口合同履约率,118,n
经济指标,word,出口商品流转速度,118,n
经济指标,word,财政收入增长率,118,n
经济指标,word,储蓄率,118,n
经济指标,word,差额投资收益率,118,n
经济指标,word,创汇偿还率,118,n
经济指标,word,产业内贸易指数,118,n
经济指标,word,城市承载力,118,n
经济指标,word,创值率,118,n
经济指标,word,城市成长力系数,118,n
经济指标,word,地均GDP,118,n
经济指标,word,动态投资收益率,118,n
经济指标,word,单要素生产率,118,n
经济指标,word,动态生产率指数,118,n
经济指标,word,非经济活动率,118,n
经济指标,word,GDP,118,n
经济指标,word,国民生产总值,118,n
经济指标,word,国民生产净值,118,n
经济指标,word,工业总产值,118,n
经济指标,word,工业产品产量,118,n
经济指标,word,GDP增长率,118,n
经济指标,word,国内生产净值,118,n
经济指标,word,个人储蓄率,118,n
经济指标,word,工业化率,118,n
经济指标,word,国内生产福利总值,118,n
经济指标,word,国内生产福利总值核算体系,118,n
经济指标,word,国产化率,118,n
经济指标,word,工农业出口产值比重,118,n
经济指标,word,GDP缺口,118,n
经济指标,word,GDP崇拜,118,n
经济指标,word,高储蓄率,118,n
经济指标,word,国际化指数,118,n
经济指标,word,古德哈特定律,118,n
经济指标,word,合意增长率,118,n
经济指标,word,黑色GDP,118,n
经济指标,word,环境承载力,118,n
经济指标,word,环境经济帐户,118,n
经济指标,word,行业利润率,118,n
经济指标,word,经济附加值,118,n
经济指标,word,经济增长率,118,n
经济指标,word,基准收益率,118,n
经济指标,word,经济指标,118,n
经济指标,word,技术经济指标,118,n
经济指标,word,计划指标,118,n
经济指标,word,经济净现值,118,n
经济指标,word,经济内部收益率,118,n
经济指标,word,经济净现值率,118,n
经济指标,word,经济外汇净现值,118,n
经济指标,word,经济换汇成本,118,n
经济指标,word,经济节汇成本,118,n
经济指标,word,进口商品盈亏率,118,n
经济指标,word,进口汇换率,118,n
经济指标,word,进口费用水平,118,n
经济指标,word,经济效果评价指标,118,n
经济指标,word,经济效益费用比,118,n
经济指标,word,静态效益指标,118,n
经济指标,word,静态投资收益率,118,n
经济指标,word,绝对经济效益指标,118,n
经济指标,word,静态差额投资收益率,118,n
经济指标,word,技术经济指标体系,118,n
经济指标,word,静态生产率,118,n
经济指标,word,截止收益率,118,n
经济指标,word,技术效益指标,118,n
经济指标,word,进出口水平,118,n
经济指标,word,计划规模,118,n
经济指标,word,经济效益评价指标,118,n
经济指标,word,经济政策不确定性指数,118,n
经济指标,word,跨国化指数,118,n
