parent,cat,word,word_level,pos
,,管理百科,120,n
,,经济百科,120,n
,,金融百科,120,n
,,法律百科,120,n
法律百科,categories,美国法规,119,n
法律百科,categories,中华人民共和国法规,119,n
,,行业百科,120,n
,,综合条目,120,n
综合条目,categories,综合条目图像,119,n
中华人民共和国法规,word,《不动产登记暂行条例》,118,n
中华人民共和国法规,word,《党政机关公文处理工作条例》,118,n
中华人民共和国法规,word,《国家行政机关公文处理办法》,118,n
中华人民共和国法规,word,《国务院关于经营者集中申报标准的规定》,118,n
中华人民共和国法规,word,《互联网新闻信息服务管理规定》,118,n
中华人民共和国法规,word,《互联网信息服务管理办法》,118,n
中华人民共和国法规,word,《结汇、售汇及付汇管理规定》,118,n
中华人民共和国法规,word,《基金会管理条例》,118,n
中华人民共和国法规,word,《会计专业职务试行条例》,118,n
中华人民共和国法规,word,《农村资金互助社管理暂行规定》,118,n
中华人民共和国法规,word,《票据管理实施办法》,118,n
中华人民共和国法规,word,《侵害消费者权益行为处罚办法》,118,n
中华人民共和国法规,word,《企业年金办法》,118,n
中华人民共和国法规,word,《人民币合格境外机构投资者境内证券投资试点办法》,118,n
中华人民共和国法规,word,《外商投资创业投资企业管理规定》,118,n
中华人民共和国法规,word,《网络预约出租汽车经营服务管理暂行办法》,118,n
中华人民共和国法规,word,信息安全法,118,n
中华人民共和国法规,word,《现金管理暂行条例》,118,n
中华人民共和国法规,word,《中华人民共和国海商法》,118,n
中华人民共和国法规,word,《中华人民共和国税收征收管理法》,118,n
中华人民共和国法规,word,《中华人民共和国票据法》,118,n
中华人民共和国法规,word,《中华人民共和国仲裁法》,118,n
中华人民共和国法规,word,《中华人民共和国消费者权益保护法》,118,n
中华人民共和国法规,word,《中华人民共和国专利法》,118,n
中华人民共和国法规,word,《中华人民共和国产品质量法》,118,n
中华人民共和国法规,word,《中华人民共和国公司法》,118,n
中华人民共和国法规,word,《中华人民共和国劳动法》,118,n
中华人民共和国法规,word,《中华人民共和国拍卖法》,118,n
中华人民共和国法规,word,《中华人民共和国保险法》,118,n
中华人民共和国法规,word,《中华人民共和国银行业监督管理法》,118,n
中华人民共和国法规,word,《中华人民共和国律师法》,118,n
中华人民共和国法规,word,《中华人民共和国反垄断法》,118,n
中华人民共和国法规,word,《中华人民共和国会计法》,118,n
中华人民共和国法规,word,《中华人民共和国就业促进法》,118,n
中华人民共和国法规,word,《中华人民共和国物权法》,118,n
中华人民共和国法规,word,《中华人民共和国著作权法》,118,n
中华人民共和国法规,word,《中华人民共和国企业破产法》,118,n
中华人民共和国法规,word,《中华人民共和国证券法》,118,n
中华人民共和国法规,word,《中华人民共和国反不正当竞争法》,118,n
中华人民共和国法规,word,《中华人民共和国担保法》,118,n
