parent,cat,word,word_level,pos
,,管理百科,120,n
,,经济百科,120,n
,,金融百科,120,n
金融百科,categories,融资,119,n
,,法律百科,120,n
,,行业百科,120,n
,,综合条目,120,n
融资,categories,融资术语,118,n
融资,categories,融资模式,118,n
融资,word,资金融通,118,n
融资模式,word,A2P,117,n
融资模式,word,A2I模式,117,n
融资模式,word,BOT模式,117,n
融资模式,word,保理,117,n
融资模式,word,BT模式,117,n
融资模式,word,不动产证券化,117,n
融资模式,word,不良资产证券化,117,n
融资模式,word,补偿贸易融资,117,n
融资模式,word,保险投资证券化,117,n
融资模式,word,BOOT模式,117,n
融资模式,word,BOO模式,117,n
融资模式,word,BTO模式,117,n
融资模式,word,保险融资,117,n
融资模式,word,BLT模式,117,n
融资模式,word,不完全保理,117,n
融资模式,word,背对背保理,117,n
融资模式,word,本币贸易融资,117,n
融资模式,word,保理费用,117,n
融资模式,word,标准仓单质押融资,117,n
融资模式,word,背对背信用证融资,117,n
融资模式,word,不动产抵押融资,117,n
融资模式,word,保持距离型融资,117,n
融资模式,word,出口保理,117,n
融资模式,word,出口贴现,117,n
融资模式,word,产业政策投资,117,n
融资模式,word,仓单融资,117,n
融资模式,word,出口信用证押汇,117,n
融资模式,word,长期筹资,117,n
融资模式,word,长期负债筹资,117,n
融资模式,word,财务筹资,117,n
融资模式,word,出口托收押汇,117,n
融资模式,word,存货融资,117,n
融资模式,word,出口方融资,117,n
融资模式,word,船舶融资租赁,117,n
融资模式,word,厂商银,117,n
融资模式,word,财政融资,117,n
融资模式,word,船舶融资,117,n
融资模式,word,出口信保融资,117,n
融资模式,word,出口信用证项下贴现,117,n
融资模式,word,存货质押融资,117,n
融资模式,word,采购链融资,117,n
融资模式,word,存货担保融资,117,n
融资模式,word,产业供应链融资,117,n
融资模式,word,打包放款,117,n
融资模式,word,贷款证券化,117,n
融资模式,word,德隆模式,117,n
融资模式,word,典当融资,117,n
融资模式,word,地方政策性投融资,117,n
融资模式,word,短期筹资,117,n
融资模式,word,短期融资,117,n
融资模式,word,大宗商品融资,117,n
融资模式,word,结构性贸易融资,117,n
融资模式,word,单保理模式,117,n
融资模式,word,定期直存款,117,n
融资模式,word,戴帽直存款,117,n
融资模式,word,短期国际贸易融资,117,n
融资模式,word,短期债务融资,117,n
融资模式,word,DBFO模式,117,n
融资模式,word,到期保理,117,n
融资模式,word,代理保理,117,n
融资模式,word,打捆贷款,117,n
融资模式,word,动产质押融资,117,n
融资模式,word,大宗商品贸易融资,117,n
融资模式,word,订单融资,117,n
融资模式,word,动产抵押融资,117,n
融资模式,word,动态动产质押融资,117,n
融资模式,word,福费廷,117,n
融资模式,word,房地产证券化,117,n
融资模式,word,负债融资,117,n
