parent,cat,word,word_level,pos
,,管理百科,120,n
,,经济百科,120,n
经济百科,categories,财政,119,n
,,金融百科,120,n
,,法律百科,120,n
,,行业百科,120,n
,,综合条目,120,n
财政,categories,财政政策,118,n
财政,categories,财政术语,118,n
财政,categories,财政理论,118,n
财政,categories,财政税收法规,118,n
财政,categories,财政预算,118,n
财政,categories,财政支出,118,n
财政,categories,财政收入,118,n
财政,categories,财政补贴,118,n
财政,categories,财政乘数,118,n
财政,categories,社会保障,118,n
财政,categories,外债,118,n
财政税收法规,word,财政法,117,n
财政税收法规,word,财政管理体制法,117,n
财政税收法规,word,财政监督法,117,n
财政税收法规,word,德国税收通则,117,n
财政税收法规,word,分税制财政管理体制法,117,n
财政税收法规,word,税收法律,117,n
财政税收法规,word,国际税法,117,n
财政税收法规,word,汇总征税,117,n
财政税收法规,word,流转税法,117,n
财政税收法规,word,两税法,117,n
财政税收法规,word,税法,117,n
财政税收法规,word,税收争讼法,117,n
财政税收法规,word,税收程序法,117,n
财政税收法规,word,税收实体法,117,n
财政税收法规,word,税收救济法,117,n
财政税收法规,word,涉外税法,117,n
财政税收法规,word,行为目的税法,117,n
财政税收法规,word,税收责任法,117,n
财政税收法规,word,税收法规,117,n
财政税收法规,word,税务行政规范,117,n
财政税收法规,word,税务规章,117,n
财政税收法规,word,税收基本法,117,n
财政税收法规,word,税收单行法,117,n
财政税收法规,word,税收通则法,117,n
财政税收法规,word,税收处罚法,117,n
财政税收法规,word,新企业所得税法,117,n
财政税收法规,word,预算法,117,n
财政税收法规,word,《中华人民共和国企业所得税法》,117,n
财政税收法规,word,《中华人民共和国预算法》,117,n
财政税收法规,word,《中华人民共和国外商投资企业和外国企业所得税法》,117,n
财政税收法规,word,《中华人民共和国营业税暂行条例实施细则》,117,n
财政税收法规,word,《中华人民共和国营业税暂行条例》,117,n
财政税收法规,word,《中华人民共和国增值税暂行条例》,117,n
财政税收法规,word,《中华人民共和国增值税暂行条例实施细则》,117,n
财政税收法规,word,《中华人民共和国消费税暂行条例》,117,n
财政税收法规,word,《中华人民共和国消费税暂行条例实施细则》,117,n
财政税收法规,word,《政府采购信息公告管理办法》,117,n
财政税收法规,word,《中华人民共和国企业所得税法实施条例》,117,n
财政理论,categories,财政理论图像,117,n
财政理论,word,埃克斯坦的受益原则分权论,117,n
财政理论,word,财政分权理论,117,n
财政理论,word,财政交换论,117,n
财政理论,word,财政联邦主义,117,n
财政理论,word,传统财政平衡学,117,n
财政理论,word,财政支出增长的发展模型,117,n
财政理论,word,赤字融资,117,n
财政理论,word,福利型社会保障模式,117,n
财政理论,word,非均衡增长模型,117,n
财政理论,word,国家财政危机理论,117,n
财政理论,word,公共财政理论,117,n
