parent,cat,word,word_level,pos
,,管理百科,120,n
,,经济百科,120,n
经济百科,categories,资本家,119,n
经济百科,categories,经济类型,119,n
经济百科,categories,经济法规,119,n
,,金融百科,120,n
,,法律百科,120,n
法律百科,categories,经济法规,119,n
,,行业百科,120,n
,,综合条目,120,n
经济法规,word,国际投资法,118,n
经济法规,word,《全国经济普查条例》,118,n
经济法规,word,《中华人民共和国统计法》,118,n
经济法规,word,《中华人民共和国农民专业合作社法》,118,n
经济法规,word,《中华人民共和国统计法实施细则》,118,n
经济类型,word,本土经济,118,n
经济类型,word,毕业经济,118,n
经济类型,word,创业型经济,118,n
经济类型,word,成长经济,118,n
经济类型,word,城市商流,118,n
经济类型,word,初级公有制,118,n
经济类型,word,地摊经济,118,n
经济类型,word,代工经济,118,n
经济类型,word,二次元经济,118,n
经济类型,word,非公有制经济,118,n
经济类型,word,非国有经济,118,n
经济类型,word,复杂经济学,118,n
经济类型,word,国有经济,118,n
经济类型,word,个体经济,118,n
经济类型,word,公有制经济,118,n
经济类型,word,股份制经济,118,n
经济类型,word,国际经济,118,n
经济类型,word,国家经济,118,n
经济类型,word,高级公有制,118,n
经济类型,word,橄榄型经济,118,n
经济类型,word,混合所有制经济,118,n
经济类型,word,集体经济,118,n
经济类型,word,教育经济,118,n
经济类型,word,联营经济,118,n
经济类型,word,冷凉经济,118,n
经济类型,word,联结经济,118,n
经济类型,word,民营经济,118,n
经济类型,word,民生经济,118,n
经济类型,word,民本经济,118,n
经济类型,word,盲盒经济,118,n
经济类型,word,农村私营经济,118,n
经济类型,word,全民所有制经济,118,n
经济类型,word,浅碟经济,118,n
经济类型,word,签证经济,118,n
经济类型,word,氢经济,118,n
经济类型,word,人文经济,118,n
经济类型,word,人群经济,118,n
经济类型,word,私营经济,118,n
经济类型,word,社会主义经济,118,n
经济类型,word,速度经济,118,n
经济类型,word,市级经济,118,n
经济类型,word,私营建筑经济,118,n
经济类型,word,外资经济,118,n
经济类型,word,新型集体经济,118,n
经济类型,word,小型开放经济,118,n
经济类型,word,夜经济,118,n
经济类型,word,运输经济,118,n
经济类型,word,资本主义经济,118,n
经济类型,word,诸侯经济,118,n
资本家,word,资产阶级,118,n
资本家,word,商业资本家,118,n
资本家,word,无限制资本家,118,n
资本家,word,产业资本家,118,n
资本家,word,职能资本家,118,n
