parent,cat,word,word_level,pos
,,管理百科,120,n
,,经济百科,120,n
,,金融百科,120,n
金融百科,categories,金融机构,119,n
金融百科,categories,基金,119,n
金融百科,categories,期权,119,n
,,法律百科,120,n
,,行业百科,120,n
行业百科,categories,基金,119,n
,,综合条目,120,n
综合条目,categories,金融机构,119,n
期权,categories,期权术语,118,n
期权,categories,期权理论,118,n
期权,categories,期权类型,118,n
期权,categories,期权投资策略,118,n
期权,word,期权,118,n
金融机构,categories,保险公司,118,n
金融机构,categories,国际金融机构,118,n
金融机构,categories,金融机构图像,118,n
金融机构,categories,金融监管机构,118,n
金融机构,categories,期货交易所,118,n
金融机构,categories,商业银行,118,n
金融机构,categories,投资银行,118,n
金融机构,categories,证券交易所,118,n
金融机构,categories,专业银行,118,n
金融机构,categories,中央银行,118,n
金融机构,categories,证券公司,118,n
金融机构,word,金融机构,118,n
金融机构,word,存款性金融机构,118,n
金融机构,word,产业开发政策性金融机构,118,n
金融机构,word,非银行金融机构,118,n
金融机构,word,非存款性金融机构,118,n
金融机构,word,房地产金融机构,118,n
金融机构,word,法人经纪人,118,n
金融机构,word,非政策性金融机构,118,n
金融机构,word,互助储蓄银行,118,n
金融机构,word,黄金集团,118,n
金融机构,word,合资金融机构,118,n
金融机构,word,借贷机构,118,n
金融机构,word,金融市场管理机构,118,n
金融机构,word,金融情报机构,118,n
金融机构,word,境外金融机构,118,n
金融机构,word,科技中介机构,118,n
金融机构,word,民营金融机构,118,n
金融机构,word,票券公司,118,n
金融机构,word,汽车金融公司,118,n
金融机构,word,契约型金融机构,118,n
金融机构,word,社区金融服务组织,118,n
金融机构,word,四行二局一库,118,n
金融机构,word,外资金融机构,118,n
金融机构,word,小微金融,118,n
金融机构,word,信息化金融机构,118,n
金融机构,word,一行三会,118,n
金融机构,word,政策性金融机构,118,n
金融机构,word,中小金融机构,118,n
金融机构,word,专业信用机构,118,n
金融机构,word,准金融机构,118,n
金融机构,word,中国投资银行,118,n
基金,categories,基金术语,118,n
基金,categories,基金指数,118,n
基金,categories,基金绩效评价工具,118,n
基金,categories,基金类型,118,n
基金,categories,基金产品,118,n
基金,categories,基金投资策略,118,n
基金,categories,基金术语图像,118,n
基金,word,基金,118,n
基金,word,组合基金产品,118,n
期权类型,word,百慕大期权,117,n
期权类型,word,保险期权,117,n
期权类型,word,白银期权,117,n
期权类型,word,场外期权,117,n
期权类型,word,场内期权,117,n
期权类型,word,长期股票期权,117,n
期权类型,word,差价期权,117,n
期权类型,word,打包期权,117,n
期权类型,word,对角差价,117,n
期权类型,word,掉期期权,117,n
期权类型,word,二元期权,117,n
期权类型,word,ETF期权,117,n
期权类型,word,复合期权,117,n
期权类型,word,封顶期权,117,n
