parent,cat,word,word_level,pos
,,管理百科,120,n
,,经济百科,120,n
,,金融百科,120,n
金融百科,categories,债券,119,n
金融百科,categories,金融监管,119,n
金融百科,categories,金融法规,119,n
,,法律百科,120,n
法律百科,categories,金融法规,119,n
,,行业百科,120,n
行业百科,categories,债券,119,n
,,综合条目,120,n
金融法规,categories,保险法规,118,n
金融法规,categories,银行法规,118,n
金融法规,categories,证券法规,118,n
金融法规,word,赤道原则,118,n
金融法规,word,《成品油市场管理办法》,118,n
金融法规,word,《多德-弗兰克法案》,118,n
金融法规,word,《格拉斯-斯蒂格尔法案》,118,n
金融法规,word,《金融资产管理公司条例》,118,n
金融法规,word,《金融机构撤销条例》,118,n
金融法规,word,《金融企业会计制度》,118,n
金融法规,word,《结汇、售汇及付汇管理规定》,118,n
金融法规,word,金融法,118,n
金融法规,word,金融刑法,118,n
金融法规,word,《会计专业职务试行条例》,118,n
金融法规,word,《农村资金互助社管理暂行规定》,118,n
金融法规,word,《企业境外投资管理办法》,118,n
金融法规,word,萨班斯·奥克斯利法案,118,n
金融法规,word,《上市公司股权激励管理办法》,118,n
金融法规,word,《外商投资创业投资企业管理规定》,118,n
金融法规,word,威廉姆斯法,118,n
金融法规,word,《外债统计监测实施细则》,118,n
金融法规,word,信托法,118,n
金融法规,word,《消费金融公司试点管理办法》,118,n
金融法规,word,《中华人民共和国物权法》,118,n
金融法规,word,《中华人民共和国担保法》,118,n
金融法规,word,《中华人民共和国信托法》,118,n
金融法规,word,《中华人民共和国反洗钱法》,118,n
金融法规,word,《中华人民共和国外资保险公司管理条例》,118,n
金融法规,word,《中华人民共和国外汇管理条例》,118,n
金融法规,word,《中华人民共和国外资金融机构管理条例》,118,n
金融法规,word,《住房置业担保管理试行办法》,118,n
金融法规,word,《中央企业境外国有资产监督管理暂行办法》,118,n
金融法规,word,《中央企业境外国有产权管理暂行办法》,118,n
金融法规,word,《中华人民共和国外债统计监测暂行规定》,118,n
金融监管,categories,银行监管,118,n
金融监管,word,金融监管,118,n
金融监管,word,BIS管制,118,n
金融监管,word,非现场稽核,118,n
金融监管,word,腐败租金,118,n
金融监管,word,风险为本,118,n
金融监管,word,功能性金融监管,118,n
金融监管,word,国际间接投资管制,118,n
金融监管,word,管理稽核,118,n
金融监管,word,公告监管,118,n
金融监管,word,规则监管,118,n
金融监管,word,后续稽核,118,n
金融监管,word,互联网金融监管,118,n
金融监管,word,金融监察,118,n
金融监管,word,金融监督,118,n
金融监管,word,金融检查,118,n
金融监管,word,金融稽核,118,n
金融监管,word,金融市场管理,118,n
金融监管,word,金银管理,118,n
金融监管,word,金融资产管理公司,118,n
金融监管,word,金融管制,118,n
金融监管,word,金融危机管理,118,n
