parent,cat,word,word_level,pos
,,管理百科,120,n
,,经济百科,120,n
,,金融百科,120,n
,,法律百科,120,n
,,行业百科,120,n
行业百科,categories,零售,119,n
,,综合条目,120,n
零售,categories,零售理论,118,n
零售,categories,零售业态,118,n
零售,categories,卖场超市,118,n
零售,word,零售,118,n
零售,word,动线,118,n
零售,word,店铺设计,118,n
零售,word,店铺开发,118,n
零售,word,店铺陈列,118,n
零售,word,店铺管理,118,n
零售,word,店长,118,n
零售,word,孤立商店,118,n
零售,word,规划的购物中心,118,n
零售,word,购物服务,118,n
零售,word,柜台,118,n
零售,word,国有零售商店,118,n
零售,word,共赢型终端,118,n
零售,word,价格吊牌,118,n
零售,word,减价标记,118,n
零售,word,零售商,118,n
零售,word,零售经营者,118,n
零售,word,零售营销,118,n
零售,word,零售观念,118,n
零售,word,零售国际化,118,n
零售,word,零售终端,118,n
零售,word,零售网络,118,n
零售,word,零售渠道,118,n
零售,word,零售商利润率,118,n
零售,word,零售服务,118,n
零售,word,零售采购,118,n
零售,word,零售变革,118,n
零售,word,零售方式发展,118,n
零售,word,零售组织文化,118,n
零售,word,零售管理,118,n
零售,word,零售定位,118,n
零售,word,零售技术革命,118,n
零售,word,零售活动组合,118,n
零售,word,零售加价率,118,n
零售,word,零售商目标市场,118,n
零售,word,零售商业物业结构,118,n
零售,word,拦截型终端,118,n
零售,word,零售疗法,118,n
零售,word,卖场服务,118,n
零售,word,排面陈列,118,n
零售,word,普通终端,118,n
零售,word,商店形象,118,n
零售,word,垂直零售商店,118,n
零售,word,商场管理,118,n
零售,word,收银台,118,n
零售,word,社交零售,118,n
零售,word,完全服务零售,118,n
零售,word,无界零售,118,n
零售,word,宣传型终端,118,n
零售,word,促销型终端,118,n
零售,word,娱乐式零售,118,n
零售,word,营业员,118,n
零售,word,主题式零售,118,n
零售,word,终端通路,118,n
零售,word,自动扶梯,118,n
零售,word,租赁商品部,118,n
零售,word,最低成本供应商战略,118,n
零售,word,终端壁垒,118,n
零售,word,终端维护,118,n
卖场超市,categories,卖场超市标志,117,n
卖场超市,word,澳大利亚科尔斯迈尔公司,117,n
卖场超市,word,Woolworths,117,n
卖场超市,word,Argos,117,n
卖场超市,word,阿尔迪,117,n
卖场超市,word,Alimentation Couche-Tard公司,117,n
卖场超市,word,澳大利亚伍尔沃斯公司,117,n
卖场超市,word,比利时德尔海兹集团,117,n
卖场超市,word,百安居,117,n
卖场超市,word,Brazilian Distribution公司,117,n
卖场超市,word,八佰伴,117,n
卖场超市,word,德国艾德卡公司,117,n
卖场超市,word,大润发,117,n
卖场超市,word,法国法切莱公司,117,n
卖场超市,word,荷兰SHV集团,117,n
卖场超市,word,荷兰阿霍德集团,117,n
