parent,cat,word,word_level,pos
中信并购投资基金（深圳）合伙企业（有限合伙）,list,SD6315,120,n
中信并购投资基金（深圳）合伙企业（有限合伙）,list,中信并购基金管理有限公司,120,n
中信并购投资基金（深圳）合伙企业（有限合伙）,list,中信银行股份有限公司,120,n
中投长春国家光电信息创业投资基金(有限合伙）,list,SD1807,120,n
中投长春国家光电信息创业投资基金(有限合伙）,list,中投长春创业投资基金管理有限公司,120,n
中投长春国家光电信息创业投资基金(有限合伙）,list,兴业银行股份有限公司,120,n
无锡国联领翔中小企业成长投资中心（有限合伙）,list,SD2445,120,n
无锡国联领翔中小企业成长投资中心（有限合伙）,list,国联通宝资本投资有限责任公司,120,n
无锡国联领翔中小企业成长投资中心（有限合伙）,list,中国农业银行股份有限公司,120,n
银河粤科（广东）产业投资基金（有限合伙）,list,SD2847,120,n
银河粤科（广东）产业投资基金（有限合伙）,list,银河粤科私募基金管理有限公司,120,n
银河粤科（广东）产业投资基金（有限合伙）,list,兴业银行股份有限公司,120,n
苏州工业园区天惠食品产业投资合伙企业（有限合伙）,list,SD3318,120,n
苏州工业园区天惠食品产业投资合伙企业（有限合伙）,list,平安财智投资管理有限公司,120,n
苏州工业园区天惠食品产业投资合伙企业（有限合伙）,list,平安银行股份有限公司,120,n
吉林省现代农业和新兴产业投资基金有限公司,list,SD3490,120,n
吉林省现代农业和新兴产业投资基金有限公司,list,海通吉禾私募股权投资基金管理有限责任公司,120,n
吉林省现代农业和新兴产业投资基金有限公司,list,中国民生银行股份有限公司,120,n
河南中证开元创业投资基金（有限合伙）,list,SD4014,120,n
河南中证开元创业投资基金（有限合伙）,list,河南中证开元私募基金管理有限公司,120,n
河南中证开元创业投资基金（有限合伙）,list,中国银行股份有限公司,120,n
深圳平安天成股权投资基金合伙企业（有限合伙）,list,SD4070,120,n
深圳平安天成股权投资基金合伙企业（有限合伙）,list,平安财智投资管理有限公司,120,n
深圳平安天成股权投资基金合伙企业（有限合伙）,list,平安银行股份有限公司,120,n
辽宁海通新能源低碳产业股权投资基金有限公司,list,SD2870,120,n
辽宁海通新能源低碳产业股权投资基金有限公司,list,海通新能源私募股权投资管理有限公司,120,n
辽宁海通新能源低碳产业股权投资基金有限公司,list,中国民生银行股份有限公司,120,n
西安航天新能源产业基金投资有限公司,list,SD3205,120,n
西安航天新能源产业基金投资有限公司,list,海通创新私募基金管理有限公司,120,n
西安航天新能源产业基金投资有限公司,list,上海浦东发展银行股份有限公司,120,n
锦绣中原（洛阳）创业投资中心（有限合伙）,list,SD3255,120,n
锦绣中原（洛阳）创业投资中心（有限合伙）,list,海通创新私募基金管理有限公司,120,n
锦绣中原（洛阳）创业投资中心（有限合伙）,list,招商银行股份有限公司,120,n
天津海通创新股权投资合伙企业（有限合伙）,list,SD3719,120,n
天津海通创新股权投资合伙企业（有限合伙）,list,海通创新私募基金管理有限公司,120,n
天津海通创新股权投资合伙企业（有限合伙）,list,中国光大银行股份有限公司,120,n
山西中小企业创业投资基金（有限合伙）,list,SD3285,120,n
山西中小企业创业投资基金（有限合伙）,list,山证投资有限责任公司,120,n
山西中小企业创业投资基金（有限合伙）,list,兴业银行股份有限公司,120,n
上海文化产业股权投资基金合伙企业（有限合伙）,list,SD3275,120,n
上海文化产业股权投资基金合伙企业（有限合伙）,list,海通创意资本管理有限公司,120,n
